Thu Aug 13 16:48:09 PDT 2015 --  Can’t wait to see what @SamsungMobileUS unveils during Unpacked! #TheNextBigThing
Sat Dec 28 11:55:13 PST 2013 --  I'm listening to "I Lost It" by Kenny Chesney on Pandora http://pdora.co/1jUjAu6  #pandora
Thu Dec 19 14:56:28 PST 2013 --  Tbt! #back #when #i #was #young #and #carefree #summertime2011 #staugustine #is #beautiful #tan… http://instagram.com/p/iHuLHRBdj0/ 
Tue Dec 17 18:08:19 PST 2013 --  Wonderful night with Miss Nicole! #nofilter #natural #love #dis #girl #happy #tuesday #happy #holidays… http://instagram.com/p/iC6prThdhM/ 
Tue Dec 10 06:55:48 PST 2013 --  I'm listening to "Red Ragtop" by Tim McGraw on Pandora http://pdora.co/18z6RlX  #pandora
Fri Dec 06 18:01:17 PST 2013 --  Just decorated the tree with my love! Now cuddle time with my baby! #decorating #the #christmas #tree… http://instagram.com/p/hmlDLghdgy/ 
Wed Nov 27 13:39:19 PST 2013 --  http://instagram.com/p/hO8SzcBdq-/ 
Wed Nov 27 11:05:02 PST 2013 --  Loving fall fashion this year #leather #jacket #plaid #infinity #scarf #studded #combat #boots #big… http://instagram.com/p/hOqX3vBdrF/ 
Tue Nov 26 10:43:31 PST 2013 --  Rainy day! Ready to go home to St. Augustine #home #sweet #home #to #see #family #and #friends http://instagram.com/p/hMDOm_hdtO/ 
Fri Nov 22 17:29:53 PST 2013 --  Loving the MAC Rebel lipstick! #happy #coming #home #from #shopping #for #my #babygirl #love #MAC… http://instagram.com/p/hCYlXlBdsn/ 
Mon Nov 18 16:37:51 PST 2013 --  Dinner with my baby for our anniversary! #dinner #better #half #love #him #so #much #baby #bump… http://instagram.com/p/g4FSyahdpY/ 
Thu Nov 14 08:02:34 PST 2013 --  Throwback! Kinda blurry. #fall #2011 #Casanova #handsome #best #horse #ranch #around #boots #soffees http://instagram.com/p/gs3BiVBdnZ/ 
Thu Nov 14 07:58:03 PST 2013 --  Throwback! Spring 2012! #beach #with #my #baybay #bluewater #mango #yum #the #old #days #miss #this… http://instagram.com/p/gs2hTFhdmu/ 
Wed Nov 13 18:31:55 PST 2013 --  Forgotten In The Filth. Wonderful message tonight, you killed it Charles! #embrace #the #filth… http://instagram.com/p/grU8ndBdtc/ 
Fri Nov 08 11:03:17 PST 2013 --  Flash Back Friday! #shooting #AR15 #best #brother #ever #quality #time #with #the #family #what #we… http://instagram.com/p/gdut4hhdoi/ 
Thu Nov 07 09:54:06 PST 2013 --  Tbt! #my #better #half #we #are #so #cute @kniskernsean http://instagram.com/p/gbCeOlhdgV/ 
Thu Nov 07 09:51:15 PST 2013 --  Throwin it way back to senior year! #Blackfords #class #friends #since #kindergarden #goofing #off #in… http://instagram.com/p/gbCAr5hdvx/ 
Thu Nov 07 08:40:01 PST 2013 --  I just him so much! #precious #puppy #love #my #teddy #my #cuddle #buddy #all #day #errday http://instagram.com/p/ga50Y_BdkQ/ 
Mon Nov 04 11:51:30 PST 2013 --  I'm listening to "My Little Girl" by Tim McGraw on Pandora http://pdora.co/17Ihmqm  #pandora
Sat Nov 02 11:40:56 PDT 2013 --  I'm listening to "When I Get Where I'm Going" by Brad Paisley (Featuring Dolly Parton) on Pandora http://pdora.co/1iD9eZn  #pandora
Fri Nov 01 07:58:27 PDT 2013 --  The lovely Paula! #love #the #people #i #work #with #Paula #so #cute #halloween2013 http://instagram.com/p/gLRp9shdhB/ 
Fri Nov 01 07:56:14 PDT 2013 --  Candy Corn Witch and Boston Fan! #Halloween2013 #working #CaddyShack #fun #day #witch #boston http://instagram.com/p/gLRUE6hdgX/ 
Tue Oct 29 10:55:29 PDT 2013 --  I'm listening to "You're Gonna Miss This" by Trace Adkins on Pandora http://pdora.co/17uRNsB  #pandora
Sat Oct 26 11:36:59 PDT 2013 --  I'm listening to "Push" by Matchbox Twenty on Pandora http://pdora.co/16CKVFM  #pandora
Thu Oct 24 09:44:25 PDT 2013 --  Throwing it back to the Sneakers day! #sportsbar #life #good #times #miss #my #stripes #from #time #to… http://instagram.com/p/f23UWGBdg8/ 
Tue Oct 22 13:34:55 PDT 2013 --  2nd sonogram! Farther along than I thought! #sonogram #thirteen #weeks #two #days #so #anxious #love… http://instagram.com/p/fyH8pSBdsV/ 
Sun Oct 20 16:23:45 PDT 2013 --  Cuddled up! #lounging #resting #long #day #at #the #hospital #so #happy #everythings #okay #love #my… http://instagram.com/p/ftRxBQhdni/ 
Thu Oct 17 15:29:41 PDT 2013 --  We will always love you, gone but never forgotten! #tbt #rip #brody #our #puppy #that #never #made #it… http://instagram.com/p/fldKz3Bdvo/ 
Wed Oct 16 15:14:25 PDT 2013 --  "I don't believe that anybody feels the way I do about you now" #wonderwall #oasis #music #love http://instagram.com/p/fi2ljHhdmJ/ 
Wed Oct 16 14:00:26 PDT 2013 --  I'm listening to "Wonderwall" by Oasis on Pandora http://bit.ly/18mMWcK  #pandora
Tue Oct 15 11:44:31 PDT 2013 --  Going to run errands! #errands #towncenter #busy #day #rainy #cool #weather #love #the #fall http://instagram.com/p/ff5-7yhdgH/ 
Sat Oct 12 11:46:00 PDT 2013 --  I'm listening to "Wherever You Will Go" by The Calling on Pandora http://bit.ly/1g9Tjpx  #pandora
Wed Oct 09 08:27:12 PDT 2013 --  Teddy loves this weather! #fuffy #loving #the #chilly #weather #autumn #fall #60's #windows #open #jea… http://instagram.com/p/fQGflYhdn0/ 
Tue Oct 08 19:09:15 PDT 2013 --  I have a problem... http://instagram.com/p/fOraSHhdiZ/ 
Tue Oct 08 17:18:56 PDT 2013 --  Heaven! #dulcedeleche #icecream #amazing #sweet #sweet #cravings #prego #probs #nomnomnom http://instagram.com/p/fOec1Hhdv4/ 
Tue Oct 08 12:02:21 PDT 2013 --  The sexiest man alive. #mcm #jamesfranco #the #king #funny #classy #gorgeous #marry #me @jamesfrancotv http://instagram.com/p/fN6ZUmhdpg/ 
Wed Oct 02 19:53:30 PDT 2013 --  Tonight was an awesome message! #churchlife @celebration_org @claytondbaird pic.twitter.com/NpTV0twJZm
Tue Oct 01 17:18:13 PDT 2013 --  It's October #halloween #disneymovies
Mon Sep 30 22:57:40 PDT 2013 --  Welcome to the best month of the year. #October #BirthdayMonth #Halloween #BreastCancerAwareness
Sun Sep 29 20:57:43 PDT 2013 --  Today is the day of new beginnings, I am so happy I was able to share this incredible moment with my… http://instagram.com/p/e3rzXuBdt5/ 
Sat Sep 28 08:09:52 PDT 2013 --  Going to apply for jobs! #towncenter #retail #black #business #profesh #new #start #fingers #crossed http://instagram.com/p/ezvyvkBdlR/ 
Tue Sep 24 17:46:49 PDT 2013 --  So so tiny, those little arms were wiggling the whole time @kniskernsean http://instagram.com/p/eqe0hTBdi6/ 
Tue Sep 24 17:45:19 PDT 2013 --  So I'm 8 weeks and 6 days! So you can barely see our little peanut but there they are! It was such an… http://instagram.com/p/eqeckUBdiN/ 
Mon Sep 23 18:50:22 PDT 2013 --  Ladies, take notes. Don't trust a guy who wears diamond earrings. #GirlCode
Mon Sep 23 20:13:16 PDT 2013 --  First Ultrasound tomorrow and I cannot be more excited to see our little grape! #excitedmommy @KniskernSean
Thu Sep 19 05:21:08 PDT 2013 --  The Lord is my light and my salvation; whom shall I fear? the Lord is the strength of my life; of whom shall I be afraid? (Psalms 27:1
Sun Sep 22 10:16:00 PDT 2013 --  Great message today @stovallweems my girl and i are looking forward to being baptized next week
Mon Sep 23 16:39:44 PDT 2013 --  And as we were leaving, the end! #nofilter #kinda #blurry #iphone #camera #but #an #amazing #night… http://instagram.com/p/enyQcbBdrL/ 
Mon Sep 23 16:37:24 PDT 2013 --  Bruce! http://instagram.com/p/enyI0EBdq5/ 
Mon Sep 23 16:35:13 PDT 2013 --  Had a wondering night with these guys! Surprises visits are the best! @kniskernsean http://instagram.com/p/enxyZmhdqc/ 
Mon Sep 23 16:33:21 PDT 2013 --  @kniskernsean http://instagram.com/p/enxpsEBdqN/ 
Mon Sep 23 16:31:50 PDT 2013 --  @kniskernsean http://instagram.com/p/enxbyTBdp_/ 
Mon Sep 23 16:30:42 PDT 2013 --  My sippy cup for the night! Fresh squeezed lemonade aw yeah! http://instagram.com/p/enxSABBdp3/ 
Mon Sep 23 16:29:14 PDT 2013 --  @kniskernsean http://instagram.com/p/enxJnIBdpp/ 
Mon Sep 23 16:27:21 PDT 2013 --  So happy we decided to go! @kniskernsean #good #night #with #my #one #and #only http://instagram.com/p/enw5R1hdpX/ 
Mon Sep 23 16:24:59 PDT 2013 --  Glad I got to see my boo last night at Rebelution on her birthday! Love you #rebelution #so #fun #old… http://instagram.com/p/enwkNyBdor/ 
Sun Sep 22 16:22:23 PDT 2013 --  #rebelution#concert#reggae#concert#instacute#instafun#goldband#crazy#hair#dont#care @kniskernsean http://instagram.com/p/elLThmBdqg/ 
Thu Sep 19 10:34:31 PDT 2013 --  Can't wait to see them Sunday! @kniskernsean http://instagram.com/p/ec1Fp9BdlP/ 
Wed Sep 18 08:28:01 PDT 2013 --  Delight yourself in The Lord and he will give you the desires of your heart. Psalms 37:4
Tue Sep 17 20:39:05 PDT 2013 --  Can't wait to have a baby with my better half @KniskernSean
Mon Sep 16 20:25:44 PDT 2013 --  "Jesus didn't die so you could remain in your brokenness, He died so you could be made whole." @stovallweems @celebration_org”
Sun Sep 15 18:38:13 PDT 2013 --  “ @gabbbsgutierrez: I'm pretty violent for such a petite girl.. Just a little ball of rage ”
Thu Sep 12 12:51:40 PDT 2013 --  So proud of my boyfriend for staying calm and determined to get this job! You did it baby congrats I love you :) @KniskernSean
Sun Sep 08 15:25:43 PDT 2013 --  “ @TheTimmyTebow: She was Hannah Montana when Bush was president. Thanks, Obama.”
Sun Sep 08 15:06:10 PDT 2013 --  #QuestionsIHateBeingAsked "why are you running? you're so skinny!" -- duh, to stay healthy, I got here BY running!
Sun Sep 01 12:16:53 PDT 2013 --  This is a beautiful life we live, be thankful, be happy, we're all blessed
Fri Aug 30 13:37:19 PDT 2013 --  Relaxing on my day off, can't wait to start school thank yah Jesus! #excited #happy
Wed Aug 28 21:29:38 PDT 2013 --  This is beautiful. @thisissub30 #celebration #church #best #wednesday #night #in #town #adult… http://instagram.com/p/dlWUpchdiV/ 
Mon Aug 26 09:56:59 PDT 2013 --  Life's good an god is great happy Monday! #mondaymotivation
Sun Aug 25 20:45:14 PDT 2013 --  Miley Cyrus just seriously went too far, absolutely horrible.
Sun Aug 25 20:13:12 PDT 2013 --  Tomorrow Metro Diner will be donating 10% of the sales to a 3yr old that was just diagnosed with leukemia! Plz pray for this strong child!
