Sat Aug 29 09:25:52 PDT 2015 --  When the NBA starts >>> https://twitter.com/flyer_thanu2/status/637662201160069120 …
Fri Aug 28 20:17:26 PDT 2015 --  Because I'm not crying over a cat, I don't have values? Wow. https://twitter.com/heythereimafagg/status/637463931993243648 …
Fri Aug 28 20:16:36 PDT 2015 --  Lmao. You tried it. RT @heythereimafagg: @babydanielle_ @__OutKast__ ok stop crying then
Fri Aug 28 20:14:10 PDT 2015 --  "Outcast" was taken. https://twitter.com/heythereimafagg/status/637463096647249920 …
Fri Aug 28 20:13:43 PDT 2015 --  I'm so confused. RT @babydanielle_: @__OutKast__ @heythereimafagg it's singlish LOL
Fri Aug 28 20:07:52 PDT 2015 --  Your autocorrect messing up bae RT @heythereimafagg: @__OutKast__ no link sia ape ini
Fri Aug 28 20:07:22 PDT 2015 --  Like that's a terrible way to die BUT nothing to cry over. RT @babydanielle_: @__OutKast__ @heythereimafagg how do you feel? :)
Fri Aug 28 20:06:40 PDT 2015 --  This isn't France what are you doing. RT @heythereimafagg: @__OutKast__ so hai jibai dog kanina fuck ni quan jia
Fri Aug 28 20:06:09 PDT 2015 --  Gay and fag are synonyms. RT @heythereimafagg: @__OutKast__ but you're the first gay fag who decided to tweet first lmao.
Fri Aug 28 20:05:26 PDT 2015 --  Then stop speaking it to me. RT @heythereimafagg: @__OutKast__ I dgaf?
Fri Aug 28 20:04:30 PDT 2015 --  I don't speak Spanish. RT @heythereimafagg: @__OutKast__ hmm keyboard warriors much .
Fri Aug 28 20:04:07 PDT 2015 --  Bol? RT @Davis00K: @__OutKast__ @p0pson ok. Bye bol
Fri Aug 28 19:37:44 PDT 2015 --  Ether more than average broRT @BStapIes: Dont compare classic to average RT @iDWC 2015 Ether RT @DameIsDead: Meek ain't been the same since.
Fri Aug 28 19:33:57 PDT 2015 --  @p0pson do white people cry when cops kill us ? https://twitter.com/kaitsandrs/status/637451797548785665 …
Fri Aug 28 20:03:12 PDT 2015 --  Same. Stop crying. RT @heythereimafagg: @__OutKast__ then it's my freedom to tweet whatever I want, get over it.
Fri Aug 28 20:03:00 PDT 2015 --  I'm talking to you tho RT @Davis00K: @__OutKast__ @p0pson okay, that's your opinion. Wasn't talking to you in the first place.
Fri Aug 28 20:02:03 PDT 2015 --  Why would anyone do that? It's just a cat. Get over it. https://twitter.com/heythereimafagg/status/637452243348815876 …
Fri Aug 28 20:01:32 PDT 2015 --  V changed my life https://twitter.com/Majinbuuu__/status/637341718376022016 …
Fri Aug 28 19:31:18 PDT 2015 --  I finished my spaghetti before the garlic bread was ready so now I have no choice but to serve myself more spaghetti. I see no problem here
Fri Aug 28 19:31:52 PDT 2015 --  2015 Ether RT @DameIsDead: Meek ain't been the same since back to back smh
Fri Aug 28 19:58:18 PDT 2015 --  But there is. RT @Davis00K: @__OutKast__ @p0pson in MY opinion there is no comedy in watching a cat die :) bye
Fri Aug 28 19:57:33 PDT 2015 --  For trying to save the cat. FOH RT @imjustbelle: this kind of people deserve to go to hell. my heart just shattered https://twitter.com/p0pson/status/637409064754876416 …
Fri Aug 28 19:56:29 PDT 2015 --  I. . . Really don't know. . Don't judge me RT @jelitsaa: @__OutKast__ wait. How? Lmao
Fri Aug 28 19:56:02 PDT 2015 --  It's just a cat damn. Go outside its like :30 of em https://twitter.com/Davis00K/status/637457795604983809 …
Fri Aug 28 19:52:49 PDT 2015 --  I can hear you saying this. RT @jelitsaa: Gotta figure out if I'm driving tonight or whatttt
Fri Aug 28 19:20:41 PDT 2015 --  so many white people in my mentions drowning them with tears..
Fri Aug 28 19:50:46 PDT 2015 --  LMFAO https://twitter.com/dhivyuh/status/637449945042124801 …
Fri Aug 28 19:50:27 PDT 2015 --  RT @p0pson: I thought they always landed on their feet. Fucking liars. pic.twitter.com/zEkLdCyqEc
Fri Aug 28 16:38:58 PDT 2015 --  I thought they always landed on their feet. Fucking liars. pic.twitter.com/kQctiJfflF
Fri Aug 28 19:50:12 PDT 2015 --  Lmfao. Yes it is. RT @Davis00K: @p0pson this isn't even slightly funny.
Fri Aug 28 19:36:55 PDT 2015 --  Both golden RT @Tamairajuana: the weeknd has collabs with ed sheeran and queen lana ? aww man
Fri Aug 28 19:23:22 PDT 2015 --  i made more white people cry than cecil the lion
Fri Aug 28 19:35:36 PDT 2015 --  Once you stop giving a fuck about them, it makes life easier https://twitter.com/SirBancoP/status/637449751273803776 …
Fri Aug 28 19:11:02 PDT 2015 --  At some point u gotta say fuck it & become a dog bro https://twitter.com/sirbancop/status/637446930797305856 …
Fri Aug 28 19:33:42 PDT 2015 --  Aaron Rodgers RT @iAmTerrace: Best RB in NFL History is _____.
Fri Aug 28 19:23:43 PDT 2015 --  Barry Sanders https://twitter.com/iamterrace/status/637269297891442688 …
Fri Aug 28 19:32:28 PDT 2015 --  Aids? L's? Mental disorders? RT @MeekMill: Ain't shit broke this way.... All my niggas got something!
Fri Aug 28 19:30:53 PDT 2015 --  I got the video. RT @Abishyngle: U let me do that to u last night tho https://twitter.com/marns1_/status/637439357163581440 …
Fri Aug 28 16:36:16 PDT 2015 --  Black people own a dog and have it tied to a tree in a fenced backyard for it's whole life
Fri Aug 28 19:21:45 PDT 2015 --  white people care about all animals except for dark skinned niggas
Fri Aug 28 19:24:01 PDT 2015 --  So you calling them animals https://twitter.com/p0pson/status/637450032082513921 …
Fri Aug 28 14:59:01 PDT 2015 --  I used to love who she used to be
Fri Aug 28 14:56:51 PDT 2015 --  It's really clean for stippling which is hard! I love it. https://twitter.com/Sarabi_/status/637378320439615489 …
Fri Aug 28 14:37:32 PDT 2015 --  People ruined it. The Internet is a medium they use. RT @nottreyanymore: The Internet has truly ruined..well..everything.
Fri Aug 28 14:35:00 PDT 2015 --  They really are. And they mostly look alike. RT @Symone_Sekemoto: I was just saying this earlier. https://twitter.com/p0pson/status/637366782228045824 …
Fri Aug 28 13:52:12 PDT 2015 --  You a hoe if your bare feet ever touched the floor in the club
Fri Aug 28 14:33:15 PDT 2015 --  It looks great but remember stippling is used to show texture not to simply shade. https://twitter.com/Sarabi_/status/637363643508768768 …
Fri Aug 28 13:50:40 PDT 2015 --  females who are shy to eat in front of a guy are weirdos. i aint about to starve over no childish shit lol
Fri Aug 28 09:57:06 PDT 2015 --  Can barely see my screen. Screen cracked as shit. Fuckin wifi don't work and fuckin data even fuckin worse.
Fri Aug 28 09:19:48 PDT 2015 --  Never coming to the caf this fucking early again.
Fri Aug 28 09:09:27 PDT 2015 --  Damn savages ate all the damn pizza and Mac and cheese
Fri Aug 28 08:17:13 PDT 2015 --  Your heightened expectations drive you to take every moment of... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 28 07:54:06 PDT 2015 --  Yall gasses The Weeknd album like shit
Fri Aug 28 06:38:00 PDT 2015 --  That's a spaceship nigga. RT @p0pson: Moon look crazy but iPhone camera sucks pic.twitter.com/x3ffqYaJVm
Thu Aug 27 22:40:55 PDT 2015 --  My@boner just went down https://twitter.com/thetyrag/status/637137634234646528 …
Thu Aug 27 22:47:42 PDT 2015 --  Good most days and very hard on the eyes other days lol still a fan https://twitter.com/p0pson/status/637139241294675968 …
Fri Aug 28 06:32:06 PDT 2015 --  Niggers*. That's important RT @golf_wang_bruh: Food, Thugger, and beating niggas to a pulp. https://twitter.com/p0pson/status/637139288786735104 …
Fri Aug 28 06:04:08 PDT 2015 --  I only give people general ideas about me. You don't need to know me, I don't want to know you.
Fri Aug 28 05:55:04 PDT 2015 --  I've seen females focus on everything while driving except the road.
Thu Aug 27 21:17:39 PDT 2015 --  Frank Ocean. RT @colingotjokes: What's an artist that has never disappointed you when they put out new music?
Thu Aug 27 20:46:24 PDT 2015 --  Its like the hoes can look at u and tell when yo girl ignoring you
Thu Aug 27 19:06:46 PDT 2015 --  Spotless mind.
Thu Aug 27 18:57:27 PDT 2015 --  My own music put me in a.bad mood. . . It's perfect.
Thu Aug 27 15:10:25 PDT 2015 --  Shout out to the bitches giving it up on the first date Between 21 and 38
Mon Mar 09 14:20:52 PDT 2015 --  well that escalated quickly pic.twitter.com/5Tg2JM9ySb
Thu Aug 27 15:01:25 PDT 2015 --  You need Jesus. Lol RT @Maya_Notyaboo: Which means it's creep the dick print season! https://twitter.com/iAmTerrace/status/637003977377251328 …
Thu Aug 27 15:00:13 PDT 2015 --  RT @King_Spiff: I hope it ain't cliche to shoot Pimp C an RIP as well as DJ screw since I made up this tune about lean.
Thu Aug 27 14:35:56 PDT 2015 --  Soon, the rap game gone be full of dancing niggas.
Thu Aug 27 14:59:00 PDT 2015 --  The lights are on. The moon is bright. I got a foooooooooooo RT @King_Spiff: I got a fooooooooooo who got a sprite?
Thu Aug 27 14:58:23 PDT 2015 --  God bless you. RT @Love_Ambs: Knee/Thigh High Socks with or without panties & all up on ya man season* https://twitter.com/iAmTerrace/status/637016340318912512 …
Thu Aug 27 14:54:51 PDT 2015 --  That's a real fight. Lmao. I'm over here jokin n shit.
Thu Aug 27 14:52:22 PDT 2015 --  Twitter good luck charm. RT @megantoonice: If he/she follows me, he/she is pure and is a great person.
Thu Aug 27 14:49:29 PDT 2015 --  I'm on my way. We getting this threesome poppin? RT @GGoodFellas: @__OutKast__ @_stunningtyph bittch how bout u pick her up nd bring here
Thu Aug 27 14:01:58 PDT 2015 --  Asking her if she's lost, cause she not hon want my smeat https://twitter.com/NiceTweetsRunIt/status/636742183148781568 …
Thu Aug 27 13:45:02 PDT 2015 --  I just said.. if we had gotten Luck or Wilson.. we would probably still be trash. Skins trash with or without RG3.
Thu Aug 27 13:45:27 PDT 2015 --  If I’m providing dick at a premium, the least u can do is buy your own ticket. Smh
Thu Aug 27 13:57:54 PDT 2015 --  RT @p0pson: Why Asians are aliens pic.twitter.com/ocwxFA1gfe pic.twitter.com/JihdzblPWJ
Thu Aug 27 13:54:50 PDT 2015 --  Twitter fingers RT @_stunningtyph: Pull up and stop tweeting https://twitter.com/ggoodfellas/status/637003013500997633 …
Thu Aug 27 13:53:56 PDT 2015 --  Yup RT @trvp__life: Quote this with your favorite porn category
Thu Aug 27 11:02:42 PDT 2015 --  You ever sat on your broke phone and the glass stabbed you in the ass?
Thu Aug 27 11:01:25 PDT 2015 --  Make me notice where the ocean was holding the sky
Thu Aug 27 10:10:18 PDT 2015 --  In house pussy, somewhere to stay, food, in house pussy, a ride to work, and some pussy you got easy access too https://twitter.com/_sirhampton_/status/636943352475181056 …
Thu Aug 27 10:13:45 PDT 2015 --  In-house.... https://twitter.com/_sirhampton_/status/636943352475181056 …
Thu Aug 27 10:14:25 PDT 2015 --  My life is more important than a fucking animal RT @VintageShade: @Adolfhibsta exactly! Ill throw a dog, cat or a bird if I have to. FOH
Thu Aug 27 10:18:57 PDT 2015 --  never ruined mine https://twitter.com/isitonbeards/status/636950178105200640 …
Thu Aug 27 10:24:29 PDT 2015 --  Thought I had a smooth come up on those shoes just to find out they were women's sz
Thu Aug 27 10:39:27 PDT 2015 --  Lmao RT @Thatregularguy_: Thought I had a smooth come up on those shoes just to find out they were women's sz
Thu Aug 27 10:39:05 PDT 2015 --  For real. You gotta find something to do all the time. RT @smallsssss_: i actually think its easier working than not working
Thu Aug 27 10:38:30 PDT 2015 --  Nah, they just use social media to be social. Nothing more RT @iSitONBeards: Okay not Yall. Lol Yall one of a kind. https://twitter.com/iamterrace/status/636951817411129344 …
Thu Aug 27 10:21:54 PDT 2015 --  Even if you in a Benz, you still a nigga in a coupe.
Thu Aug 27 10:31:38 PDT 2015 --  Just seen a pregnant chick smoking a cigarette I'm so disgusted.
Thu Aug 27 10:15:14 PDT 2015 --  I hope you females know you look like crusty the clown with blue and purple hair.
Thu Aug 27 08:17:19 PDT 2015 --  Miscalculating your resources could lead to a rude awakening w... More for Capricorn http://bit.ly/A5KmeJ 
Thu Aug 27 05:06:23 PDT 2015 --  In class. . Professor not even here RT @ThadIsReal: At work RT @6ixph0ria: Why yall up?
Thu Aug 27 05:05:49 PDT 2015 --  Why you so hostile? It's 8 in the morning. RT @BrieMonayy_: stop whispering and speak the fuck up yall kill me.
Thu Aug 27 04:45:58 PDT 2015 --  People in youtube comments trying to talk about music is just a hipster battle to see who knows more underground artists that suck
Thu Aug 27 04:53:55 PDT 2015 --  I get hate cuz I got the girl that niggas want. Jealousy is not the wave fellas.
Thu Aug 27 04:55:01 PDT 2015 --  That's been happening for years I thought. https://twitter.com/anuglynigga/status/636866636931330048 …
Thu Aug 27 04:50:42 PDT 2015 --  That's when I knew females were satan.
Thu Aug 27 04:49:26 PDT 2015 --  I never understood how people had unplanned children until she looked me dead in my eyes and said "take the condom off"
Wed Aug 26 19:38:45 PDT 2015 --  A lot of that story don't make sense. Thanks though. RT @league_mvp: @__OutKast__ http://trib.al/8IEM1qE 
Wed Aug 26 19:32:26 PDT 2015 --  What he do? RT @league_mvp: #DerrickRoseIsInnocent
Wed Aug 26 19:31:57 PDT 2015 --  Lol. I accept tips. RT @buddhataughtme: @__OutKast__ SHUT UP. The last tweet had me in tears.
Wed Aug 26 19:29:15 PDT 2015 --  Females love hypotheticals.
Wed Aug 26 19:28:29 PDT 2015 --  One I made up. RT @buddhataughtme: @__OutKast__ lmao I have no fucking clue. What kind of urban legend is that?
Wed Aug 26 19:27:20 PDT 2015 --  Don't yall got like biker gangs that like, help citizens across the street for fun? RT @buddhataughtme: @__OutKast__
Wed Aug 26 19:26:09 PDT 2015 --  I ain't ask you all that. RT @Renawade__: @__OutKast__ I'm gay
Wed Aug 26 19:25:51 PDT 2015 --  No. Lol. RT @buddhataughtme: @__OutKast__ yes.
Wed Aug 26 15:10:37 PDT 2015 --  If LeBron wouldn't have sabotaged Wade out of a FMVP that first season, then Maybe LeBron would have a finals record of 4-2 instead of 2-4
Wed Aug 26 15:25:50 PDT 2015 --  Gotta get a Twitter app RT @LXRD_CXNT: welcome to the club https://twitter.com/shostarcee/status/636663612656996352 … pic.twitter.com/Cq4ZFBwVai
Wed Aug 26 15:24:18 PDT 2015 --  What are condoms? RT @Ju_AdoresME: ...........what??????? Is birth control not a contraceptive JUST LIKE A CONDOM?!?! pic.twitter.com/9pH1x5gKEw
Wed Aug 26 15:15:40 PDT 2015 --  I'd fuck hibby but she look like she got a jerry curl and my $3 main stay pillows don't deserve that
Wed Aug 26 15:19:59 PDT 2015 --  No guy with a finals record of 2-4 is a top 5 player all-time. Idc how good he is, statistically.
Wed Aug 26 15:21:51 PDT 2015 --  Devil's food. RT @CoPagne: Ahhh https://twitter.com/TerraceIAm/status/636663185211179011 …
Wed Aug 26 15:21:25 PDT 2015 --  Dick too small? RT @Renawade__: I literally feel nothing.
Wed Aug 26 15:07:02 PDT 2015 --  @__OutKast__ lmao yep
Wed Aug 26 15:20:47 PDT 2015 --  Michigan? RT @buddhataughtme: @__OutKast__ I'm from Flint lol. I can make it.
Wed Aug 26 14:52:19 PDT 2015 --  Cause equality means on all fronts. 50/50 errything
Wed Aug 26 14:54:35 PDT 2015 --  Bitches boyfriends get they nails done so they can hold another nigga dick
Wed Aug 26 14:55:34 PDT 2015 --  If you drivin ya girl whip around then you have a responsibility to put gas in it.
Wed Aug 26 14:59:07 PDT 2015 --  Yall crazy. Born Sinner is a classic
Wed Aug 26 14:58:58 PDT 2015 --  equality with the benefits of having a Pussy. RT @King_Spiff: Women want equality but not tryna split the check lmao
Wed Aug 26 14:57:01 PDT 2015 --  Just above classic. RT @league_mvp: Nah. 2014 FHD a borderline classic IMO tho https://twitter.com/thegorgeousgoon/status/636648357738450944 …
Wed Aug 26 14:56:06 PDT 2015 --  To my bed to consummate the relationship. RT @ChristyyRay: "you ain't my girl tho" ok but you're my man so where do we go from here?
Wed Aug 26 14:18:58 PDT 2015 --  yo this nigga next to me in the bathroom standing at the stall yelling "fuck this fucking bleach ughhhhh" and tryna piss… so many questions
Wed Aug 26 14:19:41 PDT 2015 --  Stop judging shit by how many retweets it gets likes it gets views it gets attention it gets it's foolish to think the love can be measured.
Wed Aug 26 14:53:53 PDT 2015 --  Nobody want a lecture when they tryna get some pussy.
Wed Aug 26 14:52:44 PDT 2015 --  If a man tell you he prefers bald pussy, just say, I like hair on my pussy. That lets him know you not fuckin so yall not wasting time.
Wed Aug 26 14:51:52 PDT 2015 --  It just means we wanna see ya pussy. Stop looking for clues when their isn't any.
Wed Aug 26 14:51:20 PDT 2015 --  Everybody got preferences. Just because we want bald pussy, doesn't mean we want a little girl "females"
Wed Aug 26 14:49:34 PDT 2015 --  You were actually touched as a child I see. https://twitter.com/_ikepo/status/636649236008955904 …
Wed Aug 26 14:22:07 PDT 2015 --  Saying you ugly or you look a mess when you know you dont is just irritating to me like you know you cute you just want somebody to say it
Wed Aug 26 14:21:56 PDT 2015 --  Nah. I'll bounce out of her life fast af. No time for nonsense like that https://twitter.com/pure_nonsense/status/636649581250392064 …
Wed Aug 26 14:22:40 PDT 2015 --  F*minist dead ass Google the word. Lmao find something better to do twitter fingers
Wed Aug 26 12:56:53 PDT 2015 --  You disrespectful... You basically callin him Joe Budden. https://twitter.com/BigGhostLtd/status/636627419063955456 …
Wed Aug 26 14:45:50 PDT 2015 --  You not gon come back RT @buddhataughtme: Somebody take me lol. https://twitter.com/andrewchibz/status/636639413716582400 …
Wed Aug 26 14:24:01 PDT 2015 --  The Falcons petty for not signing Michael Vick to backup Matt Ryan that would have been exactly what us fans wanted Vick back in atlanta
Wed Aug 26 14:22:55 PDT 2015 --  Girls have a habit of taking our words and making them as corny as possible https://twitter.com/freelunchbob/status/636649600800067584 …
Wed Aug 26 14:24:20 PDT 2015 --  Rousey dating an abuser and calling out Floyd for abusing women. Jokes write themselves
Wed Aug 26 14:42:33 PDT 2015 --  When you tired of sleeping on the floor so you look for someone with a cape. https://twitter.com/S0Bomb/status/636622363099066368 …
Wed Aug 26 14:26:16 PDT 2015 --  Why dont Rousey just fight that dude she sleeping with every night?
Wed Aug 26 11:03:05 PDT 2015 --  Somebody smell like crayons in here.
Wed Aug 26 10:51:43 PDT 2015 --  White America, black people have plenty organizations dedicated to end gang violence. You just don't care so you never heard of them.
Fri Aug 21 21:39:44 PDT 2015 --  HS teachers: There's still a minute left of class, sit down! College professors: There's 15 mins left, but I'm done teaching so bye.
Wed Aug 26 10:59:44 PDT 2015 --  @ me then RT @queensiahb: it's this boy in my biology class and I wanna ride him from the back like he a bicycle
Wed Aug 26 10:56:32 PDT 2015 --  If I tell you something simple and you don't understand, I'm just gonna ignore you for being stupid.
Wed Aug 26 08:17:07 PDT 2015 --  Your intuitive vision is crystal clear today, enabling you to ... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 25 19:59:29 PDT 2015 --  Ben a rapist. You ok with that? https://twitter.com/Saispas75/status/636332816741994496 …
Tue Aug 25 19:58:44 PDT 2015 --  Never saw a white girl that could ride dick. They just slam their bony pussy on your balls while you hold back tears.
Tue Aug 25 19:48:21 PDT 2015 --  Blood, urine, and vaginal bacteria comes out of pussy. Don't judge niggas for not eating it. https://twitter.com/okMute/status/635289643081072640 …
Tue Aug 25 19:43:16 PDT 2015 --  Be like this sometimes pic.twitter.com/OIyvUlp4mI
Tue Aug 25 19:44:21 PDT 2015 --  That's because they always have a particular guy in mind. https://twitter.com/itscoleharmon/status/522208225236877312 …
Tue Aug 25 19:40:54 PDT 2015 --  Hibby's in medical school... Don't pay this evil women no mind. https://twitter.com/Adolfhibsta/status/636363693807267840 …
Tue Aug 25 19:32:07 PDT 2015 --  I don't feel nothing no way. So I don't count it as one. https://twitter.com/Adolfhibsta/status/636363693807267840 …
Tue Aug 25 19:27:27 PDT 2015 --  Yall need to start having raw sex with people you trust & avoid wack sex by using condoms
Tue Aug 25 19:28:13 PDT 2015 --  Huh? RT https://twitter.com/ohnoameerah/status/636363908811497472 …
Tue Aug 25 16:34:45 PDT 2015 --  Sem. . . Nvm. RT @BrittneyM____: Wtf is "natural flavors"
Tue Aug 25 16:34:18 PDT 2015 --  We came here for ONE thing. . . We been here for 3 hours and they did that one thing 2 and half hours ago.
Tue Aug 25 16:33:41 PDT 2015 --  Never going to the mall with a group of girls ever again. This shit for the birds.
Tue Aug 25 16:18:56 PDT 2015 --  I agree to disagree. RT @MykeCain: @__OutKast__ this is a matter of opinion. No one will ever be right.
Tue Aug 25 16:18:46 PDT 2015 --  Exactly. Don't even know how to close them properly. RT @suchainz: @__OutKast__ with apps running LOL
Tue Aug 25 15:45:13 PDT 2015 --  Cause twitter knows your a faggot. so they customized your app. https://twitter.com/p0pson/status/636308190699876352 …
Tue Aug 25 16:03:03 PDT 2015 --  Biggie had a better flow and wordplay. Nigga ripped any song he was on. https://twitter.com/MykeCain/status/636311658219073536 …
Tue Aug 25 15:59:59 PDT 2015 --  I see what you mean. That's how Kendrick raps too. https://twitter.com/MykeCain/status/636311658219073536 …
Tue Aug 25 15:56:44 PDT 2015 --  No doubt. Biggie way better though. RT @MykeCain: @__OutKast__ Pac work was great. Still is.
Tue Aug 25 15:49:29 PDT 2015 --  JMSN is so underrated...
Tue Aug 25 15:50:39 PDT 2015 --  Extremely RT @KAUTILYAZIN: JMSN is so underrated...
Tue Aug 25 15:49:56 PDT 2015 --  And Aaliyah basically killed herself. It isn't like she didn't know that plane was too heavy.
Tue Aug 25 15:49:28 PDT 2015 --  Yall always wanna over glorify someone after they die. Judge them by their work, not by their influence.
Tue Aug 25 15:46:32 PDT 2015 --  Hep
Tue Aug 25 15:42:11 PDT 2015 --  But what did she do that every other R&B singer at the time wasn't doing? https://twitter.com/CocaineLush/status/636291000999219201 …
Tue Aug 25 15:21:15 PDT 2015 --  @__OutKast__ @ayeeblunt well damn
Tue Aug 25 14:42:58 PDT 2015 --  Ion care how mad you are, if you a female, you should never put your hands on a man. Cause if he knock yo ass out, you gon wanna cry n shit
Tue Aug 25 14:40:21 PDT 2015 --  RT @BrieMonayy_: i don't discriminate i pop off & fight njggas too
Tue Aug 25 14:38:54 PDT 2015 --  GOAT RT @iAmTerrace: Lmao what? pic.twitter.com/oYBSFWldeO
Tue Aug 25 14:38:42 PDT 2015 --  Dre not dropping detox so. . RT @Pure_Nonsense: Which album we gonna see first? A Jay Electronica album or Dre's Detox?
Tue Aug 25 14:31:56 PDT 2015 --  Lines that connect. . . That's art though. . RT @I_HATE_VA: Nigga whet the fuck is contouring? https://twitter.com/MDBSings/status/636287119741321216 …
Tue Aug 25 14:31:37 PDT 2015 --  Kept telling yall Kendall was fine. https://twitter.com/MDBSings/status/636287119741321216 …
Tue Aug 25 14:30:03 PDT 2015 --  YES. Condoms straight from the devil. RT @NoSuspectss: is this FR ?? https://twitter.com/ayeeblunt/status/634114755364433920 …
Tue Aug 25 14:29:01 PDT 2015 --  I. . . I just told you how. I just personally don't think she was the greatest. She's good, no doubt but yall over https://twitter.com/CocaineLush/status/636281948692832256 …
Tue Aug 25 13:29:42 PDT 2015 --  There's dudes that have killed people and got less time then Vick https://twitter.com/league_mvp/status/636237237881966592 …
Tue Aug 25 13:29:01 PDT 2015 --  That's true lol. RT @BallyPaid: @__OutKast__ dey ain't gettin in no gated community
Tue Aug 25 13:20:36 PDT 2015 --  Got proof that's a lie. RT @megantoonice: Act like angels and stay faithful https://twitter.com/freeh0ney/status/636266569157447680 …
Tue Aug 25 13:20:17 PDT 2015 --  Grow up. RT @Dmonroe24: Never! https://twitter.com/StayW_Stacks/status/636267642324692992 …
Tue Aug 25 13:19:51 PDT 2015 --  Bro?? RT @_iMcNasty: How you a Lakers fan but never raped anybody? https://twitter.com/_____0__o______/status/636254907490656257 …
Tue Aug 25 13:18:49 PDT 2015 --  Smart street niggas rob people in the suburbs tho. https://twitter.com/BallyPaid/status/636018083367288832 …
Tue Aug 25 13:12:39 PDT 2015 --  her pussy taste like a spicy tuna roll
Tue Aug 25 13:16:46 PDT 2015 --  I appreciate that bro. RT @league_mvp: @__OutKast__ u deserve a follow b
Tue Aug 25 13:00:53 PDT 2015 --  When girls who choose not to follow you back, see you in public with bad bitches every time. Like what the fuck you thought I was lame hoe?
Tue Aug 25 13:15:00 PDT 2015 --  Depends on what it is. RT @StayW_Stacks: Should ex's get another chance ???
Tue Aug 25 13:14:44 PDT 2015 --  It's even more crazy that females talk about rape like its the worst thing except when it comes to dogs??? Really?? https://twitter.com/league_mvp/status/636269965239169024 …
Tue Aug 25 13:13:58 PDT 2015 --  Exactly. That dog living for 15 years tops. Human life like 5 times that. Shit is crazy. https://twitter.com/league_mvp/status/636269965239169024 …
Tue Aug 25 13:07:29 PDT 2015 --  Right? It's a damn dog. RT @league_mvp: Call me ignorant or whatever, but IMO, Dog fighting should never result in prison time.
Tue Aug 25 13:06:49 PDT 2015 --  It can only get better from here. Focus on the positive. https://twitter.com/KaelaAintShit/status/636268049352359936 …
Tue Aug 25 13:06:16 PDT 2015 --  Blessed RT @BullHunitProof: bruh pic.twitter.com/Zj0OVEsB3F
Tue Aug 25 13:05:29 PDT 2015 --  . . . I'm a man. RT @xChryst1an: @__OutKast__ @p0pson I know your labia hangs
Tue Aug 25 12:45:19 PDT 2015 --  Saying $10 too much for Spotify/Apple music is broke. Saying $400 is too much for a jacket is smart.
Tue Aug 25 12:43:52 PDT 2015 --  Yall confuse broke with stupid a lot.
