Fri Aug 28 18:27:18 PDT 2015 --  Wer ist noch wach? Hebt mal euren Fuß
Wed Aug 26 22:06:51 PDT 2015 --  @bibinator_Lili @dagibee werde operirt
Wed Aug 26 22:05:05 PDT 2015 --  @MelinaSophie Glückwunsch zu deinen 1 Mio. Abos Melina!!!Du hast es dir sehr verdientBleib so wie du bist ILYSM pic.twitter.com/uFSuzKJVUa
Wed Aug 26 13:50:20 PDT 2015 --  Ok das wird peinlich pic.twitter.com/oWVPSLOm3b
Wed Aug 26 22:04:38 PDT 2015 --  Ich wünsche euch einen Guten Morgen ich gehe dann jetzt endlich mal auch schlafen
Wed Aug 26 22:05:05 PDT 2015 --  @dagibee nachtii ich bin auf dem weg ins KH
Wed Aug 26 12:50:26 PDT 2015 --  Hahahhaahha :D Hauptsache euer Bild @BibisBeauty @julienco_ pic.twitter.com/2osKA2b96v
Wed Aug 26 12:08:51 PDT 2015 --  GEGEN TIERQUÄLEREI - RT FÜR TIERQUÄLEREI - Weiterscrollen & sich mal Gedanken machen.
Wed Aug 26 12:51:58 PDT 2015 --  pic.twitter.com/IAZnO8zWzc
Wed Aug 26 07:29:32 PDT 2015 --  #1MioForMelina
Thu Aug 20 07:29:50 PDT 2015 --  Noch nicht @BibisBeauty 's neues Video gesehen? ,,American Candy Challenge" & https://youtu.be/QB1vi6yvxKM  pic.twitter.com/t68N1HIq5j
Sat Aug 22 11:39:13 PDT 2015 --  OMG! Morgen um 11 Uhr kommt das krasseste Video überhaupt "SAG DIE WAHRHEIT! DIE UNANGENEHMSTEN FRAGEN"
Sun Aug 23 01:06:38 PDT 2015 --  Puh .. Einfach die halbe Nacht durchgemacht Denkt dran, in einer knappen Stunde kommt schon mein neues Video
Sat Aug 22 23:15:35 PDT 2015 --  Dagi? Genieß den Sonntag & ich genieße ihn indem ich dein Video gucke! @dagibee
Sat Aug 22 13:36:47 PDT 2015 --  today is a gay day. gay means happy.
Sun Aug 23 00:08:23 PDT 2015 --  Du bist immer für uns daund machst machst mich glücklich! @BibisBeauty pic.twitter.com/ToFWGL5wR3
Sat Aug 22 10:01:35 PDT 2015 --  Leute ich brauch euch Stellt mir mal die unangenehmsten, peinlichsten Fragen, die ich Bibi stellen könnte unter : #unangenehmBibi
Sat Aug 22 10:30:45 PDT 2015 --  Ich sitze hier mit nem Lachkrampf Eure Fragen sind sooo geil MEHR MEHR MEHR #unangehemBibi
Sat Aug 22 11:44:19 PDT 2015 --  Morgen 11 Uhr auf meinem YT Kanal - Bibi fragt mich die 10 unangenehmsten Fragen Ich weiß selbst noch nicht was mich erwartet
Sat Aug 22 12:19:28 PDT 2015 --  Ok Video gedreht Das war das Peinlichste, was ich jemals machen musste
Sat Aug 22 13:54:50 PDT 2015 --  Danke für 400 follower2 davon seid ihr @BibisBeauty und @julienco_
Sat Aug 22 11:15:25 PDT 2015 --  
Sat Aug 22 11:04:48 PDT 2015 --  #KellinaBamOnTour pic.twitter.com/yP3SqrLkNN
Sat Aug 22 11:04:21 PDT 2015 --  pic.twitter.com/skAn4BYbgm
Sat Aug 22 11:00:51 PDT 2015 --  I just found inactive users I follow on twitter using http://www.crowdfireapp.com  #androidapp
Sat Aug 22 10:37:48 PDT 2015 --  #UnangenehmJulian Wenn du bibi nicht kennen würdest,Wen würdest du toll finden (also mit ihr zusammen sein)
Sat Aug 22 10:21:37 PDT 2015 --  Hast du dir schon mal in die Hose gemacht wo du schon älter warst @julienco_ @BibisBeauty #unangenehmBibi #unangenehmJulian
Sat Aug 22 09:51:32 PDT 2015 --  Früüüühstück pic.twitter.com/qPyT23sTOA
Sat Aug 22 10:01:36 PDT 2015 --  Ich brauche für mein neues Video die UNANGENEHMSTEN FRAGEN, die ich Julian stellen könnten Schreibt sie mir mit #unangenehmJulian
Sat Aug 22 09:59:17 PDT 2015 --  Hab dich im Blick! pic.twitter.com/jono29aNhP
Thu Aug 20 07:52:01 PDT 2015 --  Ich bin so dankbar, für jeden kostbaren Moment, den ich erleben darf..
Fri Aug 21 09:26:20 PDT 2015 --  Überlegen gerade, was wir heute unternehmen können Hier gibt's so viel, da fühlt man sich manchmal überfordert
Mon Aug 17 06:54:13 PDT 2015 --  Guten Morgeeeen Noch nicht mal 7 Uhr haben wir hier
Mon Aug 17 10:06:41 PDT 2015 --  Sooo und unser Tag beginnt genau jetzt, gefrühstückt, eingecremt & ab in die Sonne
Mon Aug 17 11:22:43 PDT 2015 --  600.000 DANKE DANKE DANKEEEE #600kforJulian
Mon Aug 17 12:55:29 PDT 2015 --  Kann mich nicht entscheiden pic.twitter.com/Xk4Bqk2lrq
Mon Aug 17 22:17:06 PDT 2015 --  Guten Morgen Ich geh mal wieder pennen
Tue Aug 18 08:26:57 PDT 2015 --  Heute scheint mir echt die Sonne ausm Po Ich bin so übelste gut drauf haha
Tue Aug 18 08:30:54 PDT 2015 --  GEIL GEIL GEIL pic.twitter.com/wUfylstjcw
Tue Aug 18 12:07:25 PDT 2015 --  So glücklich, das hier alles erleben zu dürfen
