Fri Aug 28 09:46:23 PDT 2015 --  See "white privilege" et al. https://twitter.com/tanehisicoates/status/637299823914450944 …
Sat Mar 29 16:14:26 PDT 2014 --  Gators feast on Cinderella. #GoGators #MarchMadness #GatorNation
Sat Mar 29 16:03:59 PDT 2014 --  In the words of @IAMYUNGJOC "I know you see it" #GatorNation #GatorMadness #gators #Florida all day pic.twitter.com/eWb2G6hawU
Thu Mar 27 19:36:29 PDT 2014 --  Here we go. Michael Frazier on fyah. Shootout in Memphis. #GoGators #MarchMadness
Thu Mar 27 15:23:14 PDT 2014 --  Life is sooo good. #SidePieceShoutout to #panktoe #surfboard #notamodelchick #cuffs an' #creepa. Keep it 107.9!
Thu Mar 27 08:07:23 PDT 2014 --  “ @SportsCenter: Kansas C Joel Embiid will enter 2014 NBA Draft (via @YahooSports). » pic.twitter.com/8tg0bff4cr” #notready
Mon Mar 24 12:53:04 PDT 2014 --  Yes #Atlanta letting you know that @TheRealBenjiB @MdCL @niaandrews coming to @theSoundTable, with @injex and I on April 26th. Deets soon
Sun Mar 23 07:33:02 PDT 2014 --  Gators everywhere! @ChandlerParsons @JLin7 @DwightHoward #Gators pic.twitter.com/IlDLodofzZ
Sat Mar 22 19:45:23 PDT 2014 --  Let's Go Harvard? Don't know if I can. #MarchMadness #GoGators
Sat Mar 22 06:52:29 PDT 2014 --  The Africa Express album featuring @Damonalbarn, Brian Eno, and Nick Zinner is getting a deluxe, physical edition http://p4k.in/1gbQovn 
Thu Mar 20 13:31:33 PDT 2014 --  Harvard just blew up my bracket. HARVARD! #bracketbusted
Thu Mar 20 11:24:54 PDT 2014 --  Dayton over OSU. Should have listened to @ESPN_Colin. Dude has won me a lot of $. #brackets
Thu Mar 20 07:38:36 PDT 2014 --  I picked #Florida over Louisville to cut down the nets! Who u got? #bracket http://games.espn.go.com/tournament-challenge-bracket/2014/en/championShare?teamID=1&entryID=11170982 …
Wed Mar 19 12:20:19 PDT 2014 --  "Eternal Sunshine of the Spotless Mind" was released 10 years ago today http://huff.to/1gHxEnh  pic.twitter.com/KF8fyLTegA
Wed Mar 19 18:04:38 PDT 2014 --  The RPI was invented in 1981. That's DOS prompt/Commodore64 era. Sh@t might as well be an abacus. #NateSilver #math #GoGators
Mon Mar 17 04:52:28 PDT 2014 --  "Multi-tasking is the ability to screw everything up simultaneously." - Jeremy Clarkson
Sat Mar 08 11:22:00 PST 2014 --  18-0. #GoGators #AllSecEverything pic.twitter.com/HyyjeB4ZIt
Tue Feb 04 08:17:50 PST 2014 --  Dentists are sadist. Yes, more gas ... Please.
Mon Feb 03 17:11:05 PST 2014 --  Portland is the white peoples ATL. #drrheacombs
Sun Jan 26 18:41:56 PST 2014 --  “ @GeorgieIsTheMan: " @Pause_Mag: Lupe Fiasco dressed like he mastered all 4 elements. #GRAMMYs pic.twitter.com/ngaxVStXOA" I'm too weak!!
Sat Jan 25 14:59:41 PST 2014 --  Dominating performance at both ends for the #rowdyreptiles. #GoGators
Wed Jan 15 08:20:17 PST 2014 --  If Kendrick Lamar could sing ... he'd be Drake.
Sat Nov 30 09:37:17 PST 2013 --  Tha Swamp is on fyah. Gator D came to play. #gators
Mon Oct 07 11:33:11 PDT 2013 --  TOMORROW | @janellemonae + @wondaland present the release party for @Deepcotton #fixtape Runaway Radio | Doors @ 8P pic.twitter.com/tKVemdCFD3
Sun Sep 08 10:57:38 PDT 2013 --  Top observation: CBS Dan Dierdorf telling viewers on a short 4th down that Bills have to punt bc they are a young team w/a fragile psyche.
Wed Sep 04 03:15:02 PDT 2013 --  Is it jus me, or does @sherylunderwood look like the blk Mr Ed? #ahorseisahorse #problacknappyhair #nowigs
