Thu Aug 27 16:51:40 PDT 2015 --  School these days care more about dress-code than education
Thu Aug 20 06:59:10 PDT 2015 --  Eating bananas, pasta, almonds, grapes, oatmeal, chocolate, watermelon, orange juice, cornflakes, and tuna can help relieve stress.
Wed Aug 19 18:18:58 PDT 2015 --  it's insane how much one person can mean to you
Thu Aug 20 06:57:33 PDT 2015 --  NWS: Flash Flood Watch in effect for parts of Baltimore County until midnight tonight. http://ow.ly/R91r5  ^JW
Thu Aug 20 06:53:35 PDT 2015 --  I miss those middle school days at SWA
Wed Aug 19 10:24:18 PDT 2015 --  I really do love Baltimore, its just not a place I wanna live the rest of my life.
Thu Aug 20 05:32:31 PDT 2015 --  Soft spot for the boy I got it
Wed Aug 19 22:36:28 PDT 2015 --  Any POC voting for Donald Trump is a cornball, hates themselves and souled their soul.
Thu Aug 20 00:00:11 PDT 2015 --  Dear @alessiacara, We love you even more now. http://bit.ly/1My5UAY  pic.twitter.com/W2YNuiqOhe
Thu Aug 20 04:25:57 PDT 2015 --  You want to join in the good times today, but might find it qu... More for Pisces http://bit.ly/xHSyh0 
Sun Jul 26 17:31:14 PDT 2015 --  Relationships are so dope when both partners trust each other, and have a clear understanding of what they want and expect from one another.
Wed Aug 19 18:21:57 PDT 2015 --  I love when we talk
Thu Aug 13 19:26:31 PDT 2015 --  Jordin doesn't like corny jokes https://vine.co/v/edMzBamuQnB/ 
Wed Aug 19 09:41:15 PDT 2015 --  You take that big ass baby everywhere else just bring him today.. Who gives af... Wasting my time.. I got other shit to do
Wed Aug 19 09:40:42 PDT 2015 --  I'm hungry as shit.. Just waiting
Wed Aug 19 09:38:20 PDT 2015 --  Ew https://twitter.com/thejeffrobinson/status/634021296465137664 …
Wed Aug 19 07:25:46 PDT 2015 --  pic.twitter.com/eJwtYtA3aj
Wed Aug 19 04:25:59 PDT 2015 --  The creature comforts and emotional security you normally need... More for Pisces http://bit.ly/xHSyh0 
Tue Aug 18 09:48:39 PDT 2015 --  Got my lipgloss
Mon Aug 17 18:47:04 PDT 2015 --  4 types of FaceTime calls . Rt 🏽 pic.twitter.com/GNglJxnHMu
Tue Aug 18 08:16:39 PDT 2015 --  Definition of Real. pic.twitter.com/CAR9WGXAV7
Tue Aug 18 08:26:42 PDT 2015 --  Oh my gosh that's me!! @cthagod posted it!!!! Ahhhh yay can u guys tweet him and tell him that's me https://twitter.com/cthagod/status/633658775371673600 …
Sun May 31 12:19:34 PDT 2015 --  The three cheapest MF's in television history pic.twitter.com/K3fN0qvUlP
Mon Aug 17 12:51:22 PDT 2015 --  I spend all my time building my dream. So when I get some time, I can live my dream.
Tue Aug 18 08:01:42 PDT 2015 --  pic.twitter.com/hcC2xb1GOC
Sun Aug 16 15:55:23 PDT 2015 --  If I lost the love of my life I don't know what I would do pic.twitter.com/5bcyKvZMXf
Tue Aug 18 08:01:04 PDT 2015 --  I have these mosquito bite marks on my arm that I hate
Tue Aug 18 07:59:18 PDT 2015 --  reasons why fall is #1: -chilly weather -halloween -sweaters -pumpkins -literally everything - BUGS HAVE RETURNED TO HELL WHERE THEY BELONG
Tue Aug 18 07:44:49 PDT 2015 --  Never wanna make those mistakes again.. Even if it was because I fucked up or I chose a fuckboy
Tue Aug 18 07:44:05 PDT 2015 --  I can't believe this the longest relationship I've ever had.... It's kinda sad though... But ik how they all went wrong
Tue Aug 18 04:25:33 PDT 2015 --  You might not be in the mood to share your toys with others to... More for Pisces http://bit.ly/xHSyh0 
Mon Aug 17 20:47:05 PDT 2015 --  When you meet someone who tries their hardest to stick by you regardless of how difficult you are, keep them.
Mon Aug 17 18:55:04 PDT 2015 --  Yo she told him that these girls ain't for him... He really got salty lls
Mon Aug 17 18:53:14 PDT 2015 --  When the time is right https://twitter.com/dailysexsupply/status/632738352161288193 …
Wed Aug 12 12:13:25 PDT 2015 --  see what I did there? pic.twitter.com/1jXsoIqoSt
Mon Aug 17 16:07:00 PDT 2015 --  This watermelon is the most disappointing thing I've seen in my life pic.twitter.com/iKwV1y0PQw
