Sat Aug 29 03:50:44 PDT 2015 --  "My goal is to build a life I don't need a vacation from."
Thu Aug 20 10:03:50 PDT 2015 --  PSA: LONNA LAURAMORE IS A. #PrettyLittleLiars #childkiller #FindLonzie pic.twitter.com/YTJvj2vsOc
Thu Aug 20 09:48:49 PDT 2015 --  Anyone wanna get a pedicure with meeee 🏽
Thu Aug 20 09:41:25 PDT 2015 --  Lifeguards tell me a 9-year-old girl sustained what appears to be a serious shark bite in Jacksonville Beach DETAILS: http://bit.ly/1TVWrcD 
Wed Aug 19 22:18:51 PDT 2015 --  Preachhhh 🏽 https://twitter.com/itsjennamarbles/status/634227372749885440 …
Wed Aug 19 21:59:46 PDT 2015 --  All I want is Justice for Lonzie!!!!
Wed Aug 19 22:13:33 PDT 2015 --  So glad I have Bertha attached to me at all times, I dare someone to try me
Wed Aug 19 18:26:32 PDT 2015 --  You're 18. Hope you check yourself for STD (:
Wed Aug 19 15:05:58 PDT 2015 --  Wow pic.twitter.com/d0vxVIGtZB
Wed Aug 19 14:39:11 PDT 2015 --  every damn month pic.twitter.com/rs4oNS5GPG
Wed Aug 19 14:36:34 PDT 2015 --  Swear I'd tropical storm Danny hits while I'm in the keys. #donotruinmytrip #mothernature
Wed Jul 29 05:44:51 PDT 2015 --  It's only Wednesday. pic.twitter.com/ljZvisMhUS
Wed Aug 19 10:28:36 PDT 2015 --  Prick
Wed Aug 19 07:50:56 PDT 2015 --  Can't even take a shower in peace. Kadyn and Barkley always intruding
Wed Aug 19 06:38:40 PDT 2015 --  Cause the sun's too bright, the sky's too blue beer's too cold to be thinking bout you
Tue Aug 18 21:18:31 PDT 2015 --  BREAKING: Lonzie's mom has been booked into jail. (She is in the middle in capris) @wjxt4 pic.twitter.com/QMxTVEAUqw
Tue Aug 18 21:29:47 PDT 2015 --  I'm gonna be dead tomorrow for open House because @Megamonster00 won't stop bringing up KSwiss dude
Tue Aug 18 20:56:47 PDT 2015 --  Everyone is up late with all this #JSO news. If you have to think twice as to whether or not you locked your car, PLEASE go check! THANKS!
Tue Aug 18 20:47:33 PDT 2015 --  #FINDLONZIE: We will take the truth from Ruben or Lonna at any given time that will lead us to that baby boy. #JSO
Tue Aug 18 19:28:00 PDT 2015 --  The only problem I want to have in my life. pic.twitter.com/p6XHzueIlJ
Tue Aug 18 20:31:13 PDT 2015 --  #FINDLONZIE: Lonna Lauramore is a liar. #LonzieBarton
Tue Aug 18 20:44:28 PDT 2015 --  Boom. #teamhackney https://twitter.com/jsopio/status/633842344375160832 …
Tue Aug 18 20:10:59 PDT 2015 --  #BREAKING: #JSO holding 11:25 press conference on #FindLonzie investigation. Watch live on air. pic.twitter.com/xgGApmIktp
Tue Aug 18 20:14:40 PDT 2015 --  Reminiscing on my glory days 🏽🏽
Tue Aug 18 20:03:17 PDT 2015 --  #FINDLONZIE news conference at 11:25 tonight at the police station. #JSO #JAX #Jacksonville
Tue Aug 18 19:25:31 PDT 2015 --  Family of Mitchell Evan Daughtry just pulled away from scene. #JSO still investigating inside home #ANjaxBreaking pic.twitter.com/VIKo0f8oPc
Tue Aug 18 18:33:25 PDT 2015 --  Out in the country...where the words "go play outside" are still used.
Tue Aug 18 17:23:59 PDT 2015 --  @Megamonster00 oh no. Is Megan okay? Do you care now?
Tue Aug 18 17:22:47 PDT 2015 --  Want to give a big apology shoutout to @Megamonster00 for leaving her hanging as I ran for my life
Tue Aug 18 06:25:58 PDT 2015 --  When your "friends" hide shit from you
Tue Aug 18 01:50:47 PDT 2015 --  Officially tapping out of today.
Sat Aug 15 09:25:35 PDT 2015 --  I want you permanently, not temporarily.
Mon Aug 17 09:40:02 PDT 2015 --  I thought southern belle was gonna be.... Different. #Allthehypefornothing
Mon Aug 17 07:35:42 PDT 2015 --  I need breakfast and I need it now #hangry
Sun Aug 16 20:34:18 PDT 2015 --  Why can't this happen to me pic.twitter.com/Qr8HJTaPVK
Fri Aug 14 06:01:00 PDT 2015 --  Reasons i favorite ur tweets: 1. Ur hot 2. I agree 3. I think ur a complete idiot 4. I know u hate me and i want u to know that i know
Sun Aug 16 19:45:53 PDT 2015 --  Cannot stay awake
Sun Aug 16 17:55:57 PDT 2015 --  Your "friends" ain't really your friends. I can promise you that.
Sun Aug 16 17:57:43 PDT 2015 --  Too tired to shower
Sun Aug 16 16:49:00 PDT 2015 --  I'm hard-headed not hard-hearted. I may be stubborn, sassy, & rude at times but I have a big heart and care about others more than I should.
Sun Aug 16 15:00:46 PDT 2015 --  Crawling into bet at 6 Bc I feel like crap. #earlynignt #goodnight
Sun Aug 16 12:29:05 PDT 2015 --  Napping with mom pic.twitter.com/3KWDyq5VP7
Sun Aug 16 11:46:23 PDT 2015 --  @Megamonster00 pic.twitter.com/FGGY9jtCnk
Sun Aug 16 06:51:30 PDT 2015 --  Ready to be back home in my bed. I don't feel goooood
Sun Aug 16 02:01:21 PDT 2015 --  I fell off a Disney roller coaster in my dream, it was tragic.
Sat Aug 15 21:21:11 PDT 2015 --  Frustrated, annoyed, hungry, I can't sleep and it's hot. #princessisnthappy
Sat Aug 15 07:56:12 PDT 2015 --  Pizza bagels. pic.twitter.com/2AxNNRHgad
Wed Aug 12 14:19:16 PDT 2015 --  I'm the perfect combination of crazy and lazy
Sat Aug 15 20:18:04 PDT 2015 --  #starving
Sat Aug 15 19:45:48 PDT 2015 --  If you got a Friday night free and a shotgun seat, well I'm just sayin I ain't got no where to be
Sat Aug 15 19:24:04 PDT 2015 --  “You are the average of the five people you spend the most time with.” – Jim Rohn #reevaluateyourlifeAndyour"friends"
Sat Aug 15 18:38:33 PDT 2015 --  When bae is being a brat but you still love them pic.twitter.com/4B2O46XLcS
Sat Aug 15 18:25:26 PDT 2015 --  Criminal minds is life.
Thu Aug 13 19:48:52 PDT 2015 --  Sometimes the only person you can trust is yourself.
Fri Aug 14 23:26:15 PDT 2015 --  Heres one for @toddchrisley pic.twitter.com/jc6TnfXqub
Sat Aug 15 04:38:57 PDT 2015 --  
Fri Aug 14 20:48:38 PDT 2015 --  Can't wait to see my beavers tomorrow. #itsbeentoolong #beaverbitches
Wed Aug 12 18:53:17 PDT 2015 --  Being able to rub your eyes bc you're not wearing make up is one of the best feelings
Fri Aug 14 18:13:37 PDT 2015 --  pizza rolls are so important
Mon Nov 10 06:58:49 PST 2014 --  Have a debate in class today and I have to say how sexting and cybersex is not cheating like wtf.. THAT SHIT IS CHEATING!
Fri Aug 14 06:26:43 PDT 2015 --  If one more girl my age gets engaged, I might die
Fri Aug 14 03:02:32 PDT 2015 --  Same people with the same stories every week. I'm so glad my life book is being written differently
Thu Aug 13 18:18:18 PDT 2015 --  In bed watching Matilda #notsothirsty
Thu Aug 13 14:05:57 PDT 2015 --  I want my 2016 Santa Fe NOWWWWWW. #decembercantcomesoonenough #wah
Thu Aug 13 08:36:16 PDT 2015 --  When the person you really don't like is falling for the biggest player on the planet #youlookstupidaf #karma
Wed Aug 12 12:09:03 PDT 2015 --  me in a relationship pic.twitter.com/NtjGHiMqeD
Wed Aug 12 14:11:15 PDT 2015 --  Awesome pic.twitter.com/vqrV6cSyju
Wed Aug 12 16:29:41 PDT 2015 --  I applaud people who get up and get dressed because I stay in my pajamas all day unless I’m going out
Wed Aug 12 15:07:20 PDT 2015 --  Only Floridians understand pic.twitter.com/EahmTsshkE
Wed Aug 12 13:43:15 PDT 2015 --  MORE: President Carter, 90, says a more complete public statement will be issued next week when more details are known.
Tue Aug 11 14:48:05 PDT 2015 --  H8 work. Can I retire now?
Tue Aug 11 12:36:22 PDT 2015 --  When you're not even 19 years old and you have two babies with different dads. #ha #suckstosuck
Tue Aug 11 11:40:52 PDT 2015 --  Or should I say "" you should be worrying about actually raising your child instead of who your party in friends are
Tue Aug 11 11:39:37 PDT 2015 --  When you're a piece of shit, you'll attract piece of shit friends
Tue Aug 11 10:35:17 PDT 2015 --  Ready to be in the keys #laborday #hurryup
Tue Aug 11 09:20:41 PDT 2015 --  Meh.
Tue Aug 11 07:36:54 PDT 2015 --  why is it that all my money goes to food and clothes but I'm sitting here hungry trying to choose from the same four tops I always wear
Mon Aug 10 20:49:39 PDT 2015 --  Forgive, yes. Forget, never..
Mon Aug 10 20:35:35 PDT 2015 --  If we look back at what we've been through in life, we'd realize that God never left us even when things got tough.
Thu Aug 06 17:45:09 PDT 2015 --  Why can't Nike shorts be 7 for $27
Mon Aug 10 19:59:56 PDT 2015 --  Can I be picked for jury duty during the #findlonzie case. #puhhleaseeeeeee #imnosey
Sun Aug 09 06:14:46 PDT 2015 --  One more hour to sleep. #goodnight #dontwanttowork
Sun Aug 09 04:25:55 PDT 2015 --  When I go to sleep mad, I wake up twice as mad. #why #nottodaysatan
Sat Aug 08 11:25:51 PDT 2015 --  Why is it that all my money goes to food and clothes but I'm sitting here hungry trying to choose from the same four things I always wear
Sat Aug 08 11:56:32 PDT 2015 --  #dearfuturehusband I'm sorry in advance that I'll be a pain in the ass, but I promise you'll love me
Sat Aug 08 17:27:18 PDT 2015 --  🏽🏽🏽🏽🏽🏽 yesssssss #yourejustawhore. https://twitter.com/toddchrisley/status/630171889495748608 …
Sat Aug 08 12:02:31 PDT 2015 --  Perfect beach day 🏽
Thu Aug 06 10:46:19 PDT 2015 --  If you don’t like getting drunk on margaritas at noon, I seriously have to question our friendship.
Sat Aug 08 05:25:16 PDT 2015 --  No need to get off the couch today! A #syttd MARATHON is on from 9-3!! pic.twitter.com/ErsI2MAzca
Sat Aug 08 06:48:38 PDT 2015 --  I guess something's ain't ever gonna change
Fri Aug 07 20:28:14 PDT 2015 --  First night back at work in a week and my legs and hips hurt so bad!! #inneedanofficejob #jrasucks
Fri Aug 07 11:50:07 PDT 2015 --  Hmm. Interesting.
Fri Aug 07 11:46:02 PDT 2015 --  Perfect time for a nap
Fri Aug 07 11:09:24 PDT 2015 --  Blanding Blvd. and Collins Rd. @wjxt4 pic.twitter.com/QOMQk0xnQb
Fri Aug 07 11:11:44 PDT 2015 --  Severe Weather Warning in effect right now! pic.twitter.com/oipVYgmPjz
Thu Aug 06 18:38:28 PDT 2015 --  I can hardly stay awake #nightnight
Thu Aug 06 18:20:30 PDT 2015 --  . @LukeBryanOnline shares new love song 'To The Moon and Back' What do you think??! --> http://bit.ly/1M9cs99  #Jax pic.twitter.com/jn2Vxfz82F
Thu Aug 06 18:18:41 PDT 2015 --  I'm coming over, running every red light, The hell with the closure, Save it for another night. I'm coming over..
Wed Aug 05 13:51:22 PDT 2015 --  me as a wife: these diamonds are great but did you bring me garlic cheese bread
Thu Aug 06 12:04:12 PDT 2015 --  I come over to grannies and they're watching the Hannah Montana movie. #whatwhat
Wed Aug 05 17:17:01 PDT 2015 --  I go into Target for milk, I come out with mascara, 2 swimsuits, a couch, 4 kids, a car, and a family of giraffes. Oh... and no milk.
Wed Aug 05 10:33:31 PDT 2015 --  @Megamonster00 pic.twitter.com/63G7Bm2DeA
Wed Aug 05 10:22:27 PDT 2015 --  I need a job where I can work like 2 days a week, and make about 1800 a month. #thestruggle #anyideas?
Wed Aug 05 10:18:00 PDT 2015 --  just blessing ur timeline with Jesse McCartney...ur welcome https://vine.co/v/eJHElXMjh5X 
Wed Aug 05 09:55:43 PDT 2015 --  French fries will forever be my favorite vegetable
Thu Jul 23 07:04:08 PDT 2015 --  This about sums it all up pic.twitter.com/BRHSEpYX8S
Tue Aug 04 06:55:28 PDT 2015 --  My boyfriend is not allowed to watch Discovery Channel. What you trying to discover? New ways to leave me? NOT TODAY.
Tue Aug 04 19:10:20 PDT 2015 --  If I ever lost you, there would be a riot breakin of my heart, I'd try to fight it. I could go out every night but I'd be lyin.
Tue Aug 04 18:51:47 PDT 2015 --  #exhausted
Tue Aug 04 18:31:32 PDT 2015 --  me as a wife coming home from the "grocery store" http://twitter.com/BabyAnimalPics/status/615034538356555776/photo/1pic.twitter.com/eoJAAHvZd8 
Tue Aug 04 16:36:57 PDT 2015 --  "Drop it like it has a high temperature"
Tue Aug 04 16:10:25 PDT 2015 --  We've watched home 4 times today.
Tue Aug 04 15:22:13 PDT 2015 --  I need chick fil a in my life
Tue Aug 04 10:34:30 PDT 2015 --  Do ya ever see someone's tweet and you're just like...But this is you. You just subtweeted yourself?? Do you not realize??? What is going on
Mon Aug 03 19:54:23 PDT 2015 --  My boyfriends not allowed to swim without floaties. You tryna drown and escape this relationship?? Not today
Mon Aug 03 19:50:33 PDT 2015 --  This weekend drained me.. I need my bed and a whole day to just sleeeeep. #readytobehome
Sun Aug 02 20:45:24 PDT 2015 --  Just got bit on the eye by a fire ant. #whymeganhatescamping #whyareantsintherv
Sun Aug 02 20:05:02 PDT 2015 --  what do the students who stayed out of jail get ? :-) https://twitter.com/potus/status/627211041466941441 …
Sun Aug 02 19:47:30 PDT 2015 --  #StoryOfMyLifeIn4Words pass me the food
Sun Aug 02 06:59:15 PDT 2015 --  24 is the age I've set for myself for along time to have a career and start my own life.
Sun Aug 02 06:58:50 PDT 2015 --  before anyone feels the need to start drama and assume my tweets are about someone. They aren't.
Sat Aug 01 20:24:39 PDT 2015 --  Swear if I end up a 24 year old loser who parties every week and still lives with my parents I will quit life. For real.
Sat Aug 01 20:22:32 PDT 2015 --  An hour at the bar was enough to remind me why I don't go to bars or clubs. #betterthingstodo #bciwantacareerandmyownlifeat24.
Sat Aug 01 14:54:41 PDT 2015 --  Don't underestimate me. I know more than I say, think more than I speak and notice more than you realize.
Sat Aug 01 14:33:09 PDT 2015 --  Hackney on Ruben Ebron's interview w/ the Florida Star Newspaper: "I said it yesterday. I love fiction just like everybody else." . @wjxt4
Sat Aug 01 12:20:10 PDT 2015 --  Except I work my ass off and don't commit any (major) crimes and pay a ton, BUT OKAY https://twitter.com/potus/status/627211041466941441 …
Sat Aug 01 04:47:00 PDT 2015 --  How did July go by in 3 days
Tue Jul 28 18:54:56 PDT 2015 --  REMINDER THAT THERE IS A METEOR SHOWER TONIGHT! Grab a blanket, lie outside, look out for shooting stars and fall in love with the universe.
Sat Aug 01 04:40:18 PDT 2015 --  Hurt feelings are the worst.
Sat Aug 01 04:32:48 PDT 2015 --  Uggghhhhh
Sun Jul 19 11:27:27 PDT 2015 --  She actually held on omg pic.twitter.com/feCXLJJWOo
