Sun Nov 16 13:30:55 PST 2014 --  A virtuous, ordinary life, striving for wisdom but never far from folly, is achievement enough.
Thu Aug 27 16:55:54 PDT 2015 --  This http://Coworker.org  campaign is important to me. Please add your name: https://www.coworker.org/petitions/require-movie-theater-employees-get-paid-overtime?source=twitter-share-button … via @teamcoworker
Thu Aug 27 16:03:00 PDT 2015 --  I'll go with Demi on this one https://twitter.com/ShadyNickiFacts/status/636726446128435200 …
Thu Aug 27 15:49:51 PDT 2015 --  This gave me a severe headache https://twitter.com/abeI__/status/637030348396740608 …
Wed Aug 26 22:43:45 PDT 2015 --  Same pic.twitter.com/epJ1bhCfwM
Thu Aug 27 13:00:57 PDT 2015 --  When you read over your sexts from the night before pic.twitter.com/M59vYC17QP
Tue Aug 25 21:31:30 PDT 2015 --  When Donald Trump's wife is an immigrant!?¿¿!?! pic.twitter.com/eLNZ1nIZQk
Thu Aug 27 10:27:34 PDT 2015 --  When you're texting somebody and they call... pic.twitter.com/CUabhaez6m
Thu Aug 27 10:42:10 PDT 2015 --  Can she not lick her lips like that https://twitter.com/OnikahKnowles/status/636762966835265536 …
Fri Aug 21 07:00:06 PDT 2015 --  USA & Canada, can't wait to see you again in a few months . Tickets on sale today http://www.jamesbay.com/live/  pic.twitter.com/bW0CXKLCYp
Thu Aug 27 10:22:38 PDT 2015 --  #Scars pic.twitter.com/lqw8r5jZza
Wed Aug 26 18:19:59 PDT 2015 --  You ready for this? NEW ALBUM OCTOBER 2015 #Confident pic.twitter.com/QbC1EgmbHU
Wed Aug 26 13:17:59 PDT 2015 --  Trump: i HATE mexicans me: he's racist white people: um.... source?
Wed Aug 26 05:02:02 PDT 2015 --  Zendaya is amazing. pic.twitter.com/GTK7gEgVFi
Tue Aug 25 16:57:01 PDT 2015 --  When you come out of a slave movie with your white friend and they try to talk to you pic.twitter.com/58XrHxsVFl
Wed Aug 26 11:40:04 PDT 2015 --  YESSSSSS https://twitter.com/ddlovato/status/636608592766889985 …
Wed Aug 26 11:24:23 PDT 2015 --  One more thing..... https://amp.twimg.com/v/56ea90bd-3619-410f-9158-6edb132ad5eb …
Tue Aug 04 12:45:51 PDT 2015 --  @BlunderingIdiom @GreatDismal Guns? NO! It's personal freedom! My internal organs? REGULATE THAT SHIT.
Wed Aug 26 11:19:59 PDT 2015 --  I AM FUCKING CRYING LMFAOOO
Wed Aug 26 09:11:24 PDT 2015 --  1 + 1 = lamp https://twitter.com/jayzoverrated/status/636558746521501697 …
Thu Aug 20 23:08:12 PDT 2015 --  accurate pic.twitter.com/klxw5BGWok
Wed Aug 26 09:24:45 PDT 2015 --  I'm over pop culture/stan Twitter. There's more to life than the entertainment industry.
Wed Aug 26 09:04:29 PDT 2015 --  On a lighter note, Happy #NationalDogDay to by girl pic.twitter.com/HHYHSqz2oV
Wed Aug 26 08:55:51 PDT 2015 --  I saw the first person video the shooter took when he shot the reporters. It's chilling.
Wed Aug 26 08:08:55 PDT 2015 --  folks just making up 'facts' at this point RT @_vennard: Now yahll are just reporting for clicks.
Wed Aug 26 08:13:11 PDT 2015 --  News outlets should stop putting up pictures of "possible suspects" until they know for sure. #WDBJ
Wed Aug 26 08:01:19 PDT 2015 --  Donald Trump is running for president as some rich guy ego trip.Ultimately, making some lame apple book- "That time I ran for president"
Wed Aug 26 07:48:34 PDT 2015 --  Powerful, heartfelt words from our @JovitaMoore this morning #wdbj https://www.facebook.com/JovitaMoore/photos/a.10151706564903145.1073741826.80837488144/10153329527463145/?type=1&theater … pic.twitter.com/acdvkG8PVm
Wed Aug 26 07:22:50 PDT 2015 --  @theonlybacchus @deray no disrespect, but lets just hold off on the racial stuff until we know %100.
Wed Aug 26 07:18:03 PDT 2015 --  I keep thinking about family members or friends who may have been watching out of love and support, and then they see them get killed.
Wed Aug 26 06:50:25 PDT 2015 --  Please Retweet: As the search continues, here's a look at the gunman in the #WDBJ shooting: http://bit.ly/1i1AQ1f  pic.twitter.com/II6LiQJQNU
Wed Aug 26 06:34:24 PDT 2015 --  She was the most radiant woman I ever met. And for some reason she loved me back. She loved her family, her parents and her brother.
Wed Aug 26 06:32:21 PDT 2015 --  We were together almost nine months. It was the best nine months of our lives. We wanted to get married.We just celebrated her 24th birthday
Wed Aug 26 06:26:09 PDT 2015 --  Roanoke. Another shooting in our gun crazy country. I guess all reporters should be armed.
Wed Aug 26 06:31:02 PDT 2015 --  Oh my god that's so sad. Literally on a LIVE shot. What kind of sick person would do such a thing... R.I.P.
Wed Aug 26 06:10:10 PDT 2015 --  It is with extreme sadness that we report WDBJ7's Alison Parker and Adam Ward were killed in an attack this morning. http://bit.ly/1MTE5Vu 
Wed Aug 26 00:53:59 PDT 2015 --  Literally at a loss of words after hearing Confident. Demi is not playing at all.
Tue Aug 25 17:49:50 PDT 2015 --  It's official!! Don't miss @ddlovato at the #VMAs this Sunday #CoolForTheSummerVMA pic.twitter.com/dOjraxDpzP
Tue Aug 25 19:47:35 PDT 2015 --  That's enough internet for today pic.twitter.com/X25s2gARlp
Tue Aug 25 12:10:03 PDT 2015 --  Let's all love each other and be peaceful damn... The world is becoming such a dark place.
Tue Aug 25 17:47:48 PDT 2015 --  When you're supposed to watching the kids but you wanna get a selfie in pic.twitter.com/edZH9nII8x
Tue Aug 25 17:46:17 PDT 2015 --  My niece is too cute pic.twitter.com/Jn8W8LjgxQ
Tue Aug 25 16:32:05 PDT 2015 --  Babysitting these 3 tonight pic.twitter.com/UbwkxjzJgr
Sun Aug 23 07:57:24 PDT 2015 --  When yo card get declined and you try to act surprised & call the bank to see what's goin on pic.twitter.com/fEsiRMWS3A
Tue Aug 25 15:18:49 PDT 2015 --  That's crazy. It's not that serious lol
Tue Aug 25 07:08:57 PDT 2015 --  @realDonaldTrump @TIME Adolf hitler was time magazines man of the year in 1938 ... Ur not special.
Tue Aug 25 14:57:39 PDT 2015 --  TELL RIHANNA TO PERFORM. https://twitter.com/RocNation/status/636287807024185344 …
Tue Aug 25 14:47:09 PDT 2015 --  I like Aaliyah but y'all gas her too much. Especially when Brandy was out doing them all back in the 90s
Mon Aug 24 10:47:05 PDT 2015 --  Do not vote for Donald Trump because you think it's funny. Do not vote for Hilary Clinton because you want a woman president. Be smart.
Tue Aug 25 09:06:42 PDT 2015 --  mya, brandy, monica, aaliyah, destiny's child, tlc, etc. were all slaying the industry at the same time!! it's called coexisting hoe
Tue Aug 25 06:40:24 PDT 2015 --  Your firm resolve to follow your current agenda is your sweet ... More for Capricorn http://bit.ly/A5KmeJ 
Mon Aug 24 20:09:37 PDT 2015 --  Stop this. https://twitter.com/carterjagz/status/631947189258842116 …
Mon Aug 24 17:50:41 PDT 2015 --  THIS IS NOT FUNNY https://twitter.com/BlackPplVines/status/635938429381951490 …
Mon Aug 24 16:59:49 PDT 2015 --  Someone buy me tickets to the 198-This tweet has been removed due to a copyright claim by TSA Management® on behalf of Taylor Nation, LLC.
Sun Aug 23 20:29:46 PDT 2015 --  when bald people wash their face, how far up do they go? #tweetlikejadensmith pic.twitter.com/sIBk5KYrYF
Mon Aug 24 07:20:02 PDT 2015 --  "Straight Outta Compton" has earned $111.5 million at the box office in its first two weeks http://goo.gl/bSB40x  pic.twitter.com/87wLMnGcHf
Mon Aug 24 11:33:07 PDT 2015 --  “ @Drake: @serenawilliams I cannot wait to put it on you and make you sweat..........during our match this weekend.” pic.twitter.com/svptzY2OQQ
Mon Aug 24 12:20:09 PDT 2015 --  It's official: @ScandalABC fans are the most loyal on Twitter: http://ow.ly/Rj4hB  pic.twitter.com/rD3wxFNoNQ
Sun Jul 26 07:01:34 PDT 2015 --  This is iconic pic.twitter.com/rDxYohbIO7
Mon Aug 24 08:18:06 PDT 2015 --  If mars still had water, this is what it would look like. Image credit: Kevin Gill pic.twitter.com/kURpXwf8SK
Mon Aug 24 06:40:30 PDT 2015 --  It appears as if someone could be working against you now but ... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 23 22:22:59 PDT 2015 --  You didn't until Sanders began discussing it https://twitter.com/HillaryClinton/status/635625693116825600 …
Sun Aug 23 06:52:04 PDT 2015 --  There was a time when I REALLY needed the validation of others, but that time has passed. This week's... http://fb.me/7qDeni0gd 
Sun Aug 23 22:13:27 PDT 2015 --  "You're a God-idea in a body and God wants to work as Himself through you! You are Great...even if someone doesn't tell you! You ARE Great."
Sun Aug 23 14:02:22 PDT 2015 --  The @VictoriaJustice @NoKissList Hashtag Party starts now! Join in using #NoKissListParty - http://sot.ag/4csc6  pic.twitter.com/EJugZy4rDt
Sun Aug 23 11:47:49 PDT 2015 --  Screaming RT @CarsonZolanski: GIRLLLLLLLLL. RT @IamRobDevon: Ummm.... Ok. pic.twitter.com/deEw5TLG2F
Sun Aug 23 11:42:38 PDT 2015 --  WAIT I AM MAD THAT @You_LoveLucy LEFT AND I DIDN'T GET ONE LAST DAY
Sun Aug 23 09:49:44 PDT 2015 --  I'm checking the history and this kid went ham on every single porn site i can think of for like 5 hours straight lol
Sun Aug 23 09:46:39 PDT 2015 --  I finally get my computer back from the kid that was staying at our house last night and there's so much porn on it. More porn than i watch.
Sun Aug 23 09:19:36 PDT 2015 --  THIS! https://twitter.com/apunkfemme/status/635476406546399232 …
Wed Aug 19 03:31:07 PDT 2015 --  The internet is cool but I like to meet real people. So if you real, I'll see you in these streets.
Sun Aug 23 08:54:24 PDT 2015 --  Nightmare on trap street pic.twitter.com/VrHzMnbVjH
Sun Aug 23 06:40:21 PDT 2015 --  Playing the role of the visionary suits you now because your v... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 23 01:51:41 PDT 2015 --  OLDIE BUT GOODIE. Never forget this gem! #NWL @Maxgschneider pic.twitter.com/SMSoEm3xpN
Sun Aug 23 01:10:56 PDT 2015 --  4 months till I turn 22
Sun Aug 23 00:22:06 PDT 2015 --  “He's a wallflower. You see things. You keep quiet about them. And you understand.”
Sat Aug 22 17:11:30 PDT 2015 --  I'm a firm believer that genuine friendships can and do span distance and time apart.
Sun Aug 23 00:05:15 PDT 2015 --  My Harry header is the best thing ever
Sun Feb 15 12:10:02 PST 2015 --  For every retweet this gets, Pedigree will donate one bowl of dog food to dogs in need! #tweetforbowls pic.twitter.com/z4rmc2HsGT
Sat Aug 22 23:50:55 PDT 2015 --  I want Trump to find himself stranded in the hood with a flat tire and no cell phone service at 2 a.m.
Sat Aug 22 23:03:44 PDT 2015 --  Don't even sound like some shit you would do. Like ever lol https://twitter.com/RudyyMinaj/status/635330830538149888 …
Sat Aug 22 22:50:40 PDT 2015 --  New avi. 🏼 pic.twitter.com/x6NY9XMSnX
Sat Aug 22 22:48:14 PDT 2015 --  It's cheaper to twerk for WorldStar https://twitter.com/UberFacts/status/635327411236786176 …
Sat Aug 22 22:46:07 PDT 2015 --  I'm gonna try my best to fully invest myself in sports this year, so i can finally be able to hold a sports conversation with everyone else.
Sat Aug 22 22:28:05 PDT 2015 --  Brownies. I need brownies. Fucking brownies. Brownies. B-R-O-W-N-I-E-S
Sat Aug 22 22:18:57 PDT 2015 --  Texas will never be a blue state
Sat Aug 22 22:15:55 PDT 2015 --  Not if you live in Texas and vote for a Democrat. https://twitter.com/AlfredoMinaj/status/635319261183938560 …
Sat Aug 22 22:07:59 PDT 2015 --  Enjoy this super blurry 6 year old video of me displaying my non dancing skills https://www.youtube.com/watch?v=LvnLUSugde4 …
Sat Aug 22 21:42:24 PDT 2015 --  Flashback to me back in 2009 #PreGloUp pic.twitter.com/1Og0dtZ8Cs
Fri Aug 21 22:19:19 PDT 2015 --  When you looked like Sinjin from Victorious three years ago... pic.twitter.com/eH1257wwAQ
Sat Aug 22 20:09:59 PDT 2015 --  Starting Community was the best thing i've done all summer.
Sat Aug 22 17:55:45 PDT 2015 --  I wanted to watch Netflix but then i remembered that i cancelled my account to save money. The struggle lol
Sat Aug 22 17:43:06 PDT 2015 --  No way my mom just left me with this middle school kid all night. :/
Sat Aug 22 09:07:59 PDT 2015 --  *Casually rolls into your DMs* (Vine by @Wesamh96) https://vine.co/v/OQheWePXOjz 
Sat Aug 22 09:06:57 PDT 2015 --  Morning bae pic.twitter.com/xCXrJjJKWD
Sat Aug 22 06:40:11 PDT 2015 --  You love the idea of exploring your fantasies today, but you h... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 21 12:38:31 PDT 2015 --  This is so precious https://amp.twimg.com/v/2b562f47-0c60-4206-9af2-5af0dee08616 …
Tue Aug 18 11:24:53 PDT 2015 --  When someone says "go fuck yourself" https://vine.co/v/MJnn7J2Q7je 
Fri Aug 21 07:54:17 PDT 2015 --  When you wake up in the middle of night and realize you still have time to sleep pic.twitter.com/apRhhjPeG4
Fri Aug 21 12:47:57 PDT 2015 --  #DragMeDownMusicVideo pic.twitter.com/DMWJeCY5hG
Wed Aug 19 23:39:03 PDT 2015 --  "Is FAFSA going to cover all of your expenses?" https://vine.co/v/eDWHhFz5F3t 
Fri Aug 21 12:27:16 PDT 2015 --  HARRY #DragMeDownMusicVideo pic.twitter.com/p5DZsy9tj2
Fri Aug 21 06:41:06 PDT 2015 --  Your nemesis may appear in the form of a contradictory idea, a... More for Capricorn http://bit.ly/A5KmeJ 
Thu Aug 20 23:27:36 PDT 2015 --  #LEVELS @nickjonas pic.twitter.com/1nbduT0dgT
Thu Aug 20 07:01:31 PDT 2015 --  #Levels Single 8.21 Video 8.30 #NJLevelsVMAs https://amp.twimg.com/v/96bcc828-253c-41dd-9e04-85cd2cfc1969 …
Thu Aug 20 14:00:09 PDT 2015 --  #Levels Single 8.21 Video 8.30 #NJLevelsVMAs https://amp.twimg.com/v/f541b85c-98da-48e0-a71c-593a8d92e099 …
Thu Aug 20 15:08:58 PDT 2015 --  https://twitter.com/ToooBrooklynn/status/630850550154694656 …
Wed Aug 19 17:25:41 PDT 2015 --  Taylor swift is the most annoying neighbor pic.twitter.com/0jTpBn13cj
Thu Aug 20 06:39:59 PDT 2015 --  You might be concerned that your current long-term goals aren'... More for Capricorn http://bit.ly/A5KmeJ 
Wed Aug 19 22:15:01 PDT 2015 --  Tell me how the fuck you burn pre-made pizza?! My sister childish as hell for this. pic.twitter.com/WgIv0oXHNs
Wed Aug 19 16:25:11 PDT 2015 --  I can't believe ppl are actually taking Donald Trump seriously :( I wanna believe that he won't be elected but y'all elected Bush twice :/
Wed Aug 19 16:05:54 PDT 2015 --  VIP packages for all of the #SoundsLikeGibberish dates on sale now! Get yours while you can my people http://bit.ly/1TWfOgv 
Wed Aug 19 11:08:44 PDT 2015 --  "we've always done it this way." pic.twitter.com/R7hitc2zRj
Wed Aug 19 04:42:11 PDT 2015 --  When I die of Ebola by the morning, it's sad no one will show up at my funeral except a couple gays asking where is the Perfume video.
Mon Aug 17 17:20:01 PDT 2015 --  The most meta movie moment ever may be the director of Friday directing Ice Cube’s son playing Ice Cube writing Friday #StraightOuttaCompton
Wed Aug 19 12:34:47 PDT 2015 --  it me pic.twitter.com/Xs1WC863QH
Wed Aug 19 12:09:53 PDT 2015 --  @whoisjayflowers Right! Nobody knows how things will really turn out, but God. All we can do is attempt, react, adjust, and push forward.
Wed Aug 19 11:39:30 PDT 2015 --  @flyez30 Acknowledge your fear. Don't let it run the show, though. You're more powerful than you realize.
Wed Aug 19 11:27:14 PDT 2015 --  #YNotBe direct? Claim your thoughts, dreams, and feelings, and put them to work for you, rather than against you. pic.twitter.com/CJfHE2qtl2
Wed Aug 19 11:22:53 PDT 2015 --  So what's REALLY stopping you from speaking your mind? Fear of the unknown? Think about it this way: Everything. Is. Unknown.
Wed Aug 19 11:25:16 PDT 2015 --  Results come from taking action. Action is delayed indefinitely when people involved dance around their truths and don't express themselves.
Wed Aug 19 11:17:14 PDT 2015 --  In repressing ourselves, we don't just stunt our own progress, though, we can also stunt the progress of others...
Wed Aug 19 11:18:54 PDT 2015 --  You never know who might share or understand your goals. You could be missing out on ways to expand your ideas and improve your skill set.
Wed Aug 19 11:16:43 PDT 2015 --  It's funny, sometimes in life, we fear the very things that could actually accelerate us reaching our goals and experiencing happiness.
Wed Aug 19 11:10:44 PDT 2015 --  Daily appreciation of Keke Palmer
Wed Aug 19 11:06:08 PDT 2015 --  if they mad, tell em' #idontbelongtoyou pic.twitter.com/zU6gy1gq2h
Wed Aug 19 11:06:36 PDT 2015 --  Can this rain stay for the entire day?
Wed Aug 19 10:19:14 PDT 2015 --  BUT I do side-eye folks who take a piece on Breitbart and pass it around as fact. Yall KNOW that site ain't bout that life.
Wed Aug 19 10:15:44 PDT 2015 --  Media will spin Shaun King story as "Kentucky Redneck Caught In Blackface."
Tue Aug 18 21:51:49 PDT 2015 --  I already live in Houston TX .... So bring me my $11 Million https://twitter.com/thequestionerr_/status/619418557974077440 …
Wed Aug 19 06:02:13 PDT 2015 --  When you lift others up, God will lift you up. When you take time to make somebody else’s day, God will make your day.
Wed Aug 19 01:04:50 PDT 2015 --  https://twitter.com/KhrizKillz/status/632681955293687809 …
Wed Aug 19 01:01:18 PDT 2015 --  THIS WAS YOU?! I love you so much and you're a Capricorn too. https://twitter.com/hiitaylorblake/status/633336090972131328 …
Tue Apr 08 08:50:33 PDT 2014 --  . @whoisjayflowers let the fear motivate you. Fear is your friend.
Wed Aug 12 20:30:09 PDT 2015 --  Are you for real? Did you hear that on Fox News? https://twitter.com/the3rdguy/status/631668161234886656 …
Wed Aug 19 00:29:12 PDT 2015 --  That only happened once when I got surprise head. The person said, "That was faster than I thought." My soul was HURT
Sun Jul 12 22:27:38 PDT 2015 --  If I cum fast it's your fault, not mine. So don't catch no fucking attitude with me you good pussy having ass bitch.
Wed Aug 19 00:20:30 PDT 2015 --  Lmao that article fake as hell https://twitter.com/TheRealLoso11/status/633728437946073088 …
Tue Aug 18 23:11:34 PDT 2015 --  Been wanting Phoenicia Deli ever since I passed by it earlier today
Tue Aug 18 23:05:31 PDT 2015 --  Waiting for @FrancescoYates EP to drop
Tue Aug 18 22:55:51 PDT 2015 --  I'll be a hoe in ya texts but innocent as fuck in person
Tue Aug 18 22:54:51 PDT 2015 --  When they expect you to back up all the freaky shit you said in text, in person.
Tue Aug 18 22:36:48 PDT 2015 --  Bae pic.twitter.com/QC7EbZWrnz
Tue Aug 18 20:44:57 PDT 2015 --  Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift
Tue Aug 18 22:13:53 PDT 2015 --  3trez is the first one I liked lol https://twitter.com/abedelrey/status/633865418340495360 …
Tue Aug 18 18:06:00 PDT 2015 --  me when i go to college pic.twitter.com/LBbaugljO0
Tue Aug 18 22:09:17 PDT 2015 --  "What's the farthest you've gone with a guy" "Do you suck dick" "Does it hurt" "Are you the guy or the girl" pic.twitter.com/OqOlf2H0Th
Tue Aug 18 21:57:33 PDT 2015 --  Pointless old selfie pic.twitter.com/3Pdd8uBcrq
Sat Jul 18 13:18:05 PDT 2015 --  Friendship Goals pic.twitter.com/zqSfXZlFw0
Tue Aug 18 21:38:32 PDT 2015 --  LMFAOOO https://twitter.com/onlinehomo/status/633858020984926208 …
Tue Aug 18 17:31:11 PDT 2015 --  Just found out that my niece is in LOVE with Matty B. I am both shocked and saddened.
Tue Aug 18 05:40:40 PDT 2015 --  Non-racist George Zimmerman sells not-at-all-racist Confederate flags at racist-free Muslim Free Zone gun shop to his non-racist defenders.
Tue Aug 18 10:05:22 PDT 2015 --  My favorite video https://twitter.com/WORIDSTARHlPHOP/status/631203530154622976 …
Tue Aug 18 10:00:19 PDT 2015 --  when you finally find some tots but ya get caught https://vine.co/v/eH7UKqbdthQ 
Tue Aug 18 10:00:26 PDT 2015 --  Queens of feminism https://twitter.com/abedelrey/status/633486313384230916 …
Tue Aug 18 09:15:26 PDT 2015 --  Still crying pic.twitter.com/oj84od68zT
Tue Aug 18 09:07:02 PDT 2015 --  That was seriously the most depressing article I've ever read.
Mon Aug 17 00:44:14 PDT 2015 --  Study says college degree doesn't help blacks and Hispanics like it does whites. Because racism. via @nytimes http://www.nytimes.com/2015/08/17/business/racial-wealth-gap-persists-despite-degree-study-says.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …
Tue Aug 18 06:39:49 PDT 2015 --  Putting your finger on the center of the storm is one of your ... More for Capricorn http://bit.ly/A5KmeJ 
Mon Aug 17 17:51:13 PDT 2015 --  Everybody getting assaulted by flowers https://twitter.com/SunjaiFans/status/633435772658434048 …
Mon Aug 17 15:50:24 PDT 2015 --  When you say one thing about Beyoncé and the hive starts attacking pic.twitter.com/WFISDcY5nh
Mon Aug 17 14:48:36 PDT 2015 --  NOOOOOO https://twitter.com/CGBPosts/status/632791897560494080 …
Tue Jul 28 07:27:36 PDT 2015 --  When u gotta tell a customer that their card got declined pic.twitter.com/w37OSi3z4T
Mon Aug 17 09:00:23 PDT 2015 --  PRE-ORDER: @FrancescoYates debut EP available 9/11! Order now & get Honey I’m Home instantly: http://smarturl.it/FrancescoYatesEP … pic.twitter.com/0QRywtZ7Ix
Mon Aug 17 06:39:51 PDT 2015 --  You're a champ when it comes to sensible planning and time man... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 16 18:53:40 PDT 2015 --  Anyone holding @deray's feet to the flames for views pre Aug14 is insane. For those already woke, remember what it was like when u weren't.
Sun Aug 16 18:53:51 PDT 2015 --  Oh my god https://twitter.com/abedelrey/status/632748701367336961 …
Sun Aug 16 18:52:14 PDT 2015 --  I want whatever drugs Ally Brooke is on tonight
Sun Aug 16 18:19:14 PDT 2015 --  Damn they got rid of 140 character limit in the DMs? Say no more. pic.twitter.com/VHx7NSML9D
Sun Aug 16 18:27:53 PDT 2015 --  Why she talking so damn fast https://twitter.com/onlybells_/status/629420614252654592 …
Sun Aug 16 18:25:52 PDT 2015 --  Vin Diesel about to cry again
Sun Aug 16 18:22:47 PDT 2015 --  Lmao why is she giving a speech like she's about to die or something
Sun Aug 16 18:19:52 PDT 2015 --  Look at bae on my TV screen @VictoriaJustice
Sun Aug 16 18:04:42 PDT 2015 --  She wants to go home so bad lmao https://twitter.com/ADPGIF/status/633081792933797888 …
Sun Aug 16 17:51:30 PDT 2015 --  Holy shit Britney looks great in that dress
Sun Aug 16 15:42:01 PDT 2015 --  http://youtu.be/6EiQZ1yLY0k 
Sun Aug 16 17:45:44 PDT 2015 --  Totally here for James Bay
Sun Aug 16 17:15:06 PDT 2015 --  GODDDD DAMNNN @KekePalmer LOOKS GOOD!
Sun Aug 16 17:10:13 PDT 2015 --  I absolutely love Josh Peck
Tue Aug 11 16:29:31 PDT 2015 --  Dear Houston weather, It was literally 104°F half an hour ago and now it's a freaking category 3 hurricane. What the hell are you doing?
Sun Aug 16 17:03:01 PDT 2015 --  What the fuck type of weather is this?!
Sun Aug 16 15:58:42 PDT 2015 --  For the past 2 years I've torn ligaments in my left knee twice during the summer. And today I start feeling slight pain... I'm cursed lol
Sun Aug 16 11:15:36 PDT 2015 --  There Is Now a Brain Implant that Can Control Emotions Wirelessly http://flip.it/oX1zT 
Sun Aug 16 08:12:49 PDT 2015 --  You can recognise when the Bible has been perverted and taken out of context, but that same logic doesn't apply to the Qu'ran right?
Sun Aug 16 06:39:41 PDT 2015 --  You're fantasizing about a familiar escape now that the Moon i... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 15 22:39:10 PDT 2015 --  "Anybody wanna come smoke and cuddle?" Lmao like what?! Guys stop it please.
Sat Aug 15 14:44:38 PDT 2015 --  we've grown up so much pic.twitter.com/9vOxAWpq9i
Sat Aug 15 18:40:24 PDT 2015 --  i always try to look extra good when i know i’ll be seeing someone i hate
Sat Aug 15 17:26:33 PDT 2015 --  would of done the same pic.twitter.com/SFdQOa4OBV
Sat Aug 15 12:20:54 PDT 2015 --  So many feels for this song https://twitter.com/Maxgschneider/status/632003894500028417 …
Sat Aug 15 06:39:38 PDT 2015 --  You may feel a bit disjointed today while there's so much hust... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 14 23:07:32 PDT 2015 --  The parallels between Straight Outta Compton and now, you'd think you were watching the nightly news. Police brutality hasn't changed.
Fri Aug 14 22:59:47 PDT 2015 --  Loved Straight Outta Compton. Sad that police brutality hasn't changed much. Who are the brutally honest voices of this music generation?
Fri Aug 14 23:02:18 PDT 2015 --  Straight Outta Compton is by far the best movie I've seen this summer
