Fri Aug 28 01:05:07 PDT 2015 --  Just heard someone tut in a lift. Made me smile after watching #VeryBritishProblems.
Wed Apr 01 10:01:26 PDT 2015 --  VOTE for @TheRealKirstyG to win Best TV Presenter for @SkySportsNewsHQ in the @GlamourMagUK Women of the Year Awards https://www.demographix.com/surveys/QM2V-44C7/SAEPLP3A/ …
Sun Mar 29 09:15:39 PDT 2015 --  New ‘Night Flights’ on @EmiratesAirLDN mean that you can take a trip until 10pm Sunday to Thursday pic.twitter.com/qTpsNOovvR
Sat Mar 21 12:08:02 PDT 2015 --  What a game! #engvsfrance Boys played well, unfortunately wasn't quite enough. Here's come the #RWC15 #greateffort
Fri Mar 20 02:40:46 PDT 2015 --  The #eclipse2015 from North UK! Amazing! pic.twitter.com/MCvzpZyJ5s
Sun Mar 15 02:40:45 PDT 2015 --  CONGRATULATIONS to @flintoff11 who has just been crowned King of the Jungle in @ImACelebrityAU!! #celebfreddie
Sat Feb 21 09:58:52 PST 2015 --  .World record today...!!!! Wow...!!! Thank everyone for your amazing support #onemomile #mofarah #moknows pic.twitter.com/fy7IXoC6wF
Tue Feb 24 08:36:05 PST 2015 --  David Gandy ( @DGandyOfficial) signs to @MCSaatchiMerlin for commercial and broadcast representation http://bit.ly/18hHPP2 
Wed Mar 11 08:16:31 PDT 2015 --  We were filming @QuestionofSport yesterday & @matt9dawson @philtufnell and Sue Barker got involved for @rednoseday pic.twitter.com/0uYeXHI5YB
Thu Mar 12 16:24:07 PDT 2015 --  Perfect late night stats for u re. this weekends Eng v Sco https://ibm.biz/BdXcSJ  #IBMTryTracker
Sun Feb 22 11:58:57 PST 2015 --  Dreaming of a summer holiday? Want to escape it all for a week or two? Come to #papillongites in #rural #France! pic.twitter.com/F7kPVpgo28
Wed Feb 11 04:06:32 PST 2015 --  @visitlondon #iheartlondon pic.twitter.com/K0Wnl7H8zg
Fri Feb 20 04:12:17 PST 2015 --  We are recruiting! An exciting opportunity for a Corporate & Live Events Assistant is now available. To apply: http://jobs.theguardian.com/job/6029799/corporate-and-live-events-assistant/?LinkSource=PremiumListing …
Thu Feb 19 05:23:20 PST 2015 --  I voted for Freddie! http://tenplay.com.au/celebrity  #CelebFreddie
Sat Feb 14 07:31:24 PST 2015 --  Amazing day at Twickenham Stadium for the #sixnations. Great Valentines present! #comeonengland #CarryThemHome pic.twitter.com/7SXF3C1Skn
Thu Feb 05 08:23:48 PST 2015 --  Thanks very much @MCSaatchiMerlin for my poorly persons snack box sweets #oldschoolsweets
Wed Feb 04 09:46:43 PST 2015 --  Good luck to @MartinBayfield @matt9dawson, @btsport & @sunsetandvine for Best Sports Programme #RugbyTonight at the @BroadcastAwards tonight
Tue Feb 03 11:18:21 PST 2015 --  Birthday bubbles with Baxter burps! Happy birthday rmbaxter http://instagram.com/p/ypoXoRnVGk/ 
Sat Jan 31 03:09:26 PST 2015 --  At #papillongites we offer the perfect #holiday with everything you could wish for! Check our website out for details pic.twitter.com/UPAoR4bkLA
Thu Jan 29 03:47:49 PST 2015 --  @MCSaatchiMerlin Delighted to be of service to the best looking office in London Town. x
Tue Jan 20 00:28:01 PST 2015 --  Happy Birthday @TheRealKirstyG - I hope you have a wonderful day
Sun Jan 11 10:40:37 PST 2015 --  Perfect Sunday afternoon catching up with @rachelbaxter88 over Mediterranean at @wild_caper
Thu Dec 18 17:38:22 PST 2014 --  WOW....!! CHOCOLATE....!!! Me and the wife is Loving it....!! Thanks To @MCSaatchiMerlin Yeeeezzzzzzz!!! . pic.twitter.com/lSQbF0hojz
Tue Dec 16 02:06:48 PST 2014 --  Thank you @MartinBayfield for the very kind Christmas gift for @MCSaatchiMerlin. #breakfastisserved #treats #yummy pic.twitter.com/UjApPxX5id
Thu Dec 11 02:57:59 PST 2014 --  Irish dancing in the office.. that's a new one. @niklout @rachelbaxter88 @KTLydon @lucyb25 @clairey_m @NBazzax @stevenwalton112 @rich_thomo
Sun Nov 30 13:28:24 PST 2014 --  Seriously unhappy @sainsburys with my mouldy grapes that I bought today. #nobreakfast #mouldy pic.twitter.com/NSzXZrWITO
Thu Nov 27 00:57:07 PST 2014 --  Chapeau doffing all round to the entire crew at @btsportrugby @btsport @sunsetandvine for Best Sports Programme nomination @BroadcastAwards
Thu Nov 20 05:05:51 PST 2014 --  Thank you so much @cat7parry for the advent calendar. Looking forward to seeing you in December. #christmasiscoming pic.twitter.com/urvxGzSMud
Sat Nov 15 01:35:31 PST 2014 --  Happy happy birthday @AndrewCastle63.Have a smashing day &look forward listening to your commentary on the #ATPWorldTourFinals semis today x
Tue Nov 11 11:23:56 PST 2014 --  Good luck to @JamieTheakston hosting the @PRCA_UK awards this evening at @HiltonHotels in London. #rememberitsPRnotER #eventprofs
Tue Nov 11 01:48:40 PST 2014 --  Get well soon @timlovejoy - I'm standing in at 10am @DailyBrunchC4 - #cheapandavailable
Tue Nov 04 11:37:05 PST 2014 --  Big night ahead at National Pig Awards. Hope they sort the microphone, there's a bit of crackling! ...I thank you. pic.twitter.com/IJnwD9Mc7Z
Tue Nov 04 09:54:29 PST 2014 --  Good Luck @MartinBayfield hosting the #NationalPigAwards tonight - I'm sure it'll be a trott in the park! #awards #hosting #eventprofs
Wed Oct 15 07:30:22 PDT 2014 --  Who designed seats on the bus that meant people of a smaller size AKA 5"1 are unable to reach the floor?! #Discrimination #shortproblems
Wed Oct 08 01:11:14 PDT 2014 --  Loving listening to you, @AndrewCastle63, on @SmoothRadio this morning. #HumpDayHappiness
Mon Oct 06 09:14:05 PDT 2014 --  @TheRealKirstyG new activewear collection has arrived at @verynetwork! Take a look - it's amazing...http://fb.me/3kEYFlN2F 
Tue Sep 30 08:03:16 PDT 2014 --  We're delighted to announce @KimberlyKWyatt has joined our star-studded roster as a new client http://www.mcsaatchimerlin.com/kimberly-wyatt-signs-mc-saatchi-merlin/ … pic.twitter.com/nVALgNUha3
Mon Sep 22 03:52:55 PDT 2014 --  Proud to share the @NissanUK #Juke film featuring the lovely @jennyjonessnow - it's time to #PersonalieYourThrill! http://bit.ly/newjukefilm 
Mon Sep 08 07:10:40 PDT 2014 --  It's a brave cameraman who gets in front of @AndrewCastle63 & his volley! Beautiful day @TheQueensClub #tennis pic.twitter.com/4f6KAMNR5L
Mon Sep 08 07:44:11 PDT 2014 --  Would you like to join team @MCSaatchiMerlin? We are now recruiting for a PA - please send your CV enquiries@mcsaatchimerlin.com #mediajobs
Tue Sep 02 15:39:05 PDT 2014 --  My @OralB electric toothbrush has given up and stopped charging! Back to manual I go... #firstworldproblems
Tue Sep 02 06:38:34 PDT 2014 --  Privileged to be sat listening to 5 inspiring #InvictusGames athletes. Hosted by @martinbayfield at @bt_uk Centre. pic.twitter.com/BqRfwObamC
Tue Sep 02 04:19:06 PDT 2014 --  People who shout into their phones when on hands-free crack me up...defeats the object! #handsfree #microphoneontheheadphones
Thu Aug 28 09:07:05 PDT 2014 --  Welcome @jjenas8 to @MCSaatchiMerlin - really excited to be working with you! http://www.mcsaatchimerlin.com/mc-saatchi-merlin-sign-jermaine-jenas/ …
Wed Aug 27 04:35:54 PDT 2014 --  Happy happy birthday @RealDeniseLewis . I hope you have a lovely day xx
Sat Aug 16 10:22:20 PDT 2014 --  Personal space invasion on the bus! #SpaceInvader #smellyman
Fri Aug 15 08:08:09 PDT 2014 --  Red Velvetgasm
Wed Aug 13 12:00:57 PDT 2014 --  Huge congratulations to @Mo_Farah. Had a tough time with illness but great to see Mo is back! Your determination is admirable. #GoMo
Wed Aug 13 11:27:25 PDT 2014 --  Go @Mo_Farah Go.... #GoMo
Wed Aug 13 10:16:20 PDT 2014 --  #piccadillycircus is so so busy. Trying to get home to watch @Mo_Farah run the 10,000m #moveoutmyway #GoodLuck
Wed Aug 13 05:05:04 PDT 2014 --  Don't miss @Mo_Farah running the 10,000m tonight at 18:50 on @BBCTwo #EuropeanChampionships #onemomile #teamGBR #GoMo
Mon Aug 11 09:33:01 PDT 2014 --  Such an amazing weekend at #Wilderness14 with @londongrammar headlining last night #memoriesIWontForget pic.twitter.com/TGAuf3VKmL
Mon Aug 11 05:05:48 PDT 2014 --  Last night we headlined @WildernessHQ and it was magical !!! http://instagram.com/p/rjqIByvqKM/ 
Wed Aug 06 08:31:54 PDT 2014 --  Cricket comeback tonight ... never too late. Inspired by recent chat with @KP24 and @flintoff11 #antiquekit
Wed Aug 06 08:10:08 PDT 2014 --  #LordOfTheFries coming to @sky1 soon @flintoff11 @lateraltruth http://www.mcsaatchimerlin.com/flintoff-lord-fries/ … http://twitpic.com/e9mh3y 
Sat Aug 02 02:37:55 PDT 2014 --  Good from you @niklout ! #hungover #sportsday
Sat Aug 02 01:01:16 PDT 2014 --  @KTLydon @MCSaatchiSteveM @clairey_m @rachelbaxter88 don't remember tweeting this... So hungover. Stay cool guys
Fri Aug 01 13:24:49 PDT 2014 --  So drunk ......stay cool @KTLydon @MCSaatchiSteveM @clairey_m @rachelbaxter88 @rachelbaxter88
Fri Aug 01 05:53:19 PDT 2014 --  Sports day with @MCSaatchiMerlin is all smiles now but about to get very ugly. Good vs Evil. Who wins...? pic.twitter.com/4xDIliewuF
Thu Jul 31 09:30:29 PDT 2014 --  “ @KTLydon: Photo approvals @MCSaatchiMerlin pic.twitter.com/kEGBYPwYDQ” you trying to find Matts good side ?
Thu Jul 31 01:09:58 PDT 2014 --  Thank YOU so much for keeping us London's most listened-to breakfast show!!! @EmmaBunton xxx (and @JamieTheakston) pic.twitter.com/4PZ0hSYze9
Mon Jul 28 15:36:49 PDT 2014 --  Really proud of the team @MCSaatchiMerlin on being voted Talent Management Agency of the Year by @acquisition_int Top work chaps x
Mon Jul 28 11:03:31 PDT 2014 --  Just arrived in Scotland and super excited to watch #xcmountainbiking tomorrow and #gymnastics in the afternoon. @Glasgow2014
Sat Jul 19 06:59:31 PDT 2014 --  Check out our website! http://www.papillongites.co.uk  and facebook page: papillongites
Fri Jul 25 23:48:23 PDT 2014 --  Just woke up thinking it was Friday. Hip hip hooray for the #weekend. #backtosleep
Fri Jul 25 13:02:09 PDT 2014 --  Happy birthday @lauracgardiner! @JoBaddeley it's called a tweet not "I'm going to twitter that later"! pic.twitter.com/VtW7HtxVeP
Fri Jul 25 08:13:02 PDT 2014 --  Don't miss the #CommonwealthGames athletics starting on Sunday on @BBCOne with analysis from the Golden Girl herself @RealDeniseLewis
Thu Jul 24 07:59:08 PDT 2014 --  @NBazzax @KTLydon @stevenwalton112 @lucyb25 @niklout @rachelbaxter88 "would you rather do a shot or eat a sausage roll?" #sportsday
