Thu Aug 27 08:17:46 PDT 2015 --  履歴書終わり〜〜
Fri Aug 07 00:46:55 PDT 2015 --  高校サッカー選手権栃木大会一次予選１回戦結果① 作新学院4ー2栃木 馬頭2ー0栃木翔南 益子芳星1ー0白鴎足利 鹿沼5ー2那須清峰 宇都宮南2ー0佐野松桜 真岡5ー0足利清風 小山12ー0日光明峰 石橋4ー0鹿沼東 大田原4ー0宇都宮北 鹿沼南5ー2幸福の科学 今市1ー0今市工業
Thu Aug 06 01:51:17 PDT 2015 --  【作新学院 選手権組み合わせ】 対戦相手決定！！ 2回戦：8/12(水曜日、第7日目) 　　　 第3試合一塁側 　　　 vs上田西(長野) 小針監督は３年ぶり３度目の長野県代表との対戦(過去１勝１敗)。
Wed Aug 05 07:00:35 PDT 2015 --  明日の会社見学2社目なのに 緊張してきた(ﾟOﾟ)＼(- -;
Wed Aug 05 05:14:11 PDT 2015 --  欲しい靴あるのにサイズないとか
Tue Aug 04 07:25:33 PDT 2015 --  今日は恵理dayでした( *¯ ³¯*) 明日学校めんどくさいね。 でも、終わったらディズニーのチケット買いに行く!! 頑張ろ あっ、履歴書書いてないや。 pic.twitter.com/wnD7klNABX
Tue Aug 04 06:01:10 PDT 2015 --  作新始まった！！！
Mon Aug 03 01:20:19 PDT 2015 --  【2015夏季高校野球甲子園大会：組み合わせ抽選会速報】 ◇７日目(８月１２日) 東海大相模ＶＳ聖光学院 遊学館ＶＳ九州学院 作新学院ＶＳ[１日目の勝者の３校のうち１校] ※速報ツイートにて、作新学院の対戦相手は「開幕戦の勝者」と記載しましたが、誤りです。 #kokoyakyu
Mon Aug 03 00:22:19 PDT 2015 --  【2015夏季高校野球甲子園大会：組み合わせ抽選会速報】 作新学院：２５Ａ(開幕戦の勝者と対戦) 九州学院：２４Ｂ #kokoyakyu
Mon Aug 03 00:15:06 PDT 2015 --  【2015夏季高校野球甲子園大会：組み合わせ抽選会速報】 龍谷：１８Ａ 鳥羽：１７Ｂ 岡山学芸館ＶＳ鳥羽 聖光学院ＶＳ東海大相模 興南：２１Ｂ #kokoyakyu
Mon Aug 03 00:15:41 PDT 2015 --  【2015夏季高校野球甲子園大会：組み合わせ抽選会速報】 敦賀気比ＶＳ明徳義塾 #kokoyakyu
Sun Aug 02 04:41:02 PDT 2015 --  気が向いたので… 名前→ 呼び方→ 呼ばれ方→ 第一印象→ 今の印象→ LINE交換→ 最後に一言→ #RTしてくれた人にやります
