Thu Aug 27 18:39:49 PDT 2015 --  No tienen idea de como me revienta que la gente sea impuntual.
Thu Jul 23 01:22:16 PDT 2015 --  I touched you but it starts to hurt.
Thu Jul 23 00:55:42 PDT 2015 --  They say it's easy to leave you behind, I don't wanna try.
Wed Jul 22 22:28:45 PDT 2015 --  It must have been love, but it's over now, it must have been good but I lost it somehow.
Wed Jul 22 18:15:06 PDT 2015 --  — ¿Cuál es la contraseña del Wifi? — O sea ¿Te vale verga todo lo que te acabo de decir? — ¿Todo con minúsculas?
Tue Jul 21 15:44:42 PDT 2015 --  Me voy a ir de mochilazo a la chingada.
Tue Jul 21 13:20:59 PDT 2015 --  #BetoResponde tienen planeado hacer una convivencia en Chihuahua??? @betopasillas
Tue Jul 21 11:49:01 PDT 2015 --  Huyendo del daño que hacen las palabras, no miro tus fotos ni leo tus cartas.
Sun Jul 12 09:58:48 PDT 2015 --  Las narices son importantes
Mon Jul 20 22:02:37 PDT 2015 --  Yo el Fin de Semana. pic.twitter.com/zoIPAX2yUW
Mon Jul 20 20:45:29 PDT 2015 --  Rápido, alguien traigame unos m&m's amarillos.
Mon Jul 20 20:34:42 PDT 2015 --  Es más fácil encontrar al amor de mi vida que un buen tema para mi tumblr.
Mon Jul 20 19:51:45 PDT 2015 --  Piiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiña
Mon Jul 20 18:22:16 PDT 2015 --  Tuve un sueño bien bizarro con Chord Overstreet y Harry Shum Jr.
Mon Jul 20 15:17:58 PDT 2015 --  Si me odias sin conocerme, te invito a conocerme para que me odies más.
Mon Jul 20 14:41:05 PDT 2015 --  Jajajajajajajajaja. #amortz @HeeeyRaul pic.twitter.com/5bBApcAR9H
Mon Jul 20 13:58:43 PDT 2015 --  Ya tienes dos hijos y sigues de puta, ¿Por qué desafias a la vida de esa manera?
Mon Jul 20 13:21:49 PDT 2015 --  Me enteré de algo que me tiene muy feliz y satisfecha, no lo puedo creer.
Mon Jul 20 02:14:41 PDT 2015 --  Bien que me extrañas pero cuando estuve ahí para ti ni me pelabas.
Sun Jul 19 08:43:46 PDT 2015 --  —Wey no estaba tan borracho. —Wey, estabas usando el flash de tu celular para encontrar tu celular.
Sun Jul 19 00:35:47 PDT 2015 --  La vida tan rica, yo tan pobre.
Thu Jun 19 19:28:55 PDT 2014 --  when your mom hits you with the chancla and you act as if it didn't hurt. pic.twitter.com/MbgaHKJRcw
