Fri Aug 28 22:07:11 PDT 2015 --  I just can't.
Fri Aug 21 14:57:36 PDT 2015 --  Looking At usernames.... so many Kansas princesses round here
Thu Aug 20 10:56:20 PDT 2015 --  All proceeds go to the humane society here in Wichita! Let me know if you want to book with me! I'll be there at 4 pic.twitter.com/6zIWO4VgH9
Wed Aug 19 20:34:30 PDT 2015 --  pic.twitter.com/uUBGcydzMu
Wed Aug 19 19:49:07 PDT 2015 --  Lmfao. Who even are you
Wed Aug 19 19:48:30 PDT 2015 --  Literally my life. https://twitter.com/ghelarducci_03/status/634164382168170497 …
Wed Aug 19 10:53:40 PDT 2015 --  $5.00 Mens cuts today!! Come and see us. #pmtswichita #pmschools #MITCH #paulmitchell #menshair #5bucks pic.twitter.com/gKamVaLNzy
Wed Aug 19 07:08:09 PDT 2015 --  Today is one of those days where heavy concealer is needed for dark purple bags under my eyes
Tue Aug 18 21:18:04 PDT 2015 --  Is that too much to ask for
Tue Aug 18 21:17:27 PDT 2015 --  I just want perfect eyebrows and eyelashes and cheek bones and nice collar bone and jaw line and boobs and a butt annnd no thunder thighs...
Tue Aug 18 08:09:01 PDT 2015 --  To do something productive.. Orr lay here all day till school...
Tue Aug 18 07:37:27 PDT 2015 --  I started school exactly a year ago today . Where has time gone.
Mon Aug 17 20:42:00 PDT 2015 --  Do you ever just stop and appreciate how amazing @handslikehouses is?? #MusicChoiceOfTheNight #GMIG
Mon Aug 17 20:39:51 PDT 2015 --  I actually get to really sleep in tomorrow. first time in idk how long.
Mon Aug 17 16:39:16 PDT 2015 --  It's been fun 2015 but I'm ready for you to be over so I can move on to bigger an better things four more months...
Mon Aug 17 12:54:58 PDT 2015 --  I think it's official! @tylersempire and I have decided to go on this cruise that starts from Barcelona and goes to Italy and Rome in 2016!
Mon Aug 17 09:27:16 PDT 2015 --  Graduate 2 almost 3 months early? Hell yes. Let's do this. Now I need a shit ton of motivation and caffeine
Mon Aug 17 07:02:42 PDT 2015 --  🏼+= EVERY TIME
Mon Aug 17 06:50:01 PDT 2015 --  One hour down. Six more to go someone come tan or get sprayed I can't handle how slow we are right now
Sun Aug 16 15:28:40 PDT 2015 --  I can't wait for the day where Ty and I live together. Work all day. And come home and cook dinner then sleep in the same bed at night
Sun Aug 16 07:58:52 PDT 2015 --  When you can't decide between two types of cereal.. Eat one bowl of each. Problem solved
Sun Aug 16 07:46:32 PDT 2015 --  Do I have to today?
Sat Aug 15 21:04:40 PDT 2015 --  Aaaaaand I got zero laundry done. ¯\_(ツ)_/¯. Guess it'll wait. Laziness got the best of me
Sat Aug 15 19:14:49 PDT 2015 --  Here I go thinking again ...
Fri Aug 14 21:05:29 PDT 2015 --  I'll never understand why the drinking age isn't 18 here.
Fri Aug 14 16:47:06 PDT 2015 --  Let me do your hair and makeup for your senior pictures
Fri Aug 14 10:44:45 PDT 2015 --  When your boss sees your snapchat story then calls to make sure everything is "ok" also @tylersempire asked if I was on crack....
Fri Aug 14 10:02:57 PDT 2015 --  I have no idea how he puts up with me. pic.twitter.com/GCk6b3hEoQ
Fri Aug 14 08:03:04 PDT 2015 --  Someone with really long hair should let me do fun colors and then let me use you to do up dos allllll the time
Thu Aug 13 21:07:32 PDT 2015 --  You know you're going into cosmetology when your night stand is a disaster from bobby pins,shampoo bottles, hair color, and eye lashes
Thu Aug 13 20:47:13 PDT 2015 --  I wanna FLYYY. I'm ready to burn down all these walls that I've been building up inside woah woaaahhh
Thu Aug 13 20:43:35 PDT 2015 --  I could live off of Mexican food
Thu Aug 13 09:19:00 PDT 2015 --  Customers that come into my work never fail to make me smile/ laugh I don't think I'm ever going to be able to leave this place.
Thu Aug 13 09:00:40 PDT 2015 --  Date night with my amazing boyfriend when he gets home yeeeaaahhhhh. Yaaayyhh @tylersempire
Thu Aug 13 07:40:17 PDT 2015 --  Sorry for the tag in that Instagram post. I'm trying to win because I never win anything. Ever
Thu Aug 13 07:28:06 PDT 2015 --  $15 Awapuhi KeraTriplex treatments-Thursdays #pmtswichita #CanITouchYourHair #paulmitchell #wildginger #Keratin pic.twitter.com/XN1iQS8UaU
Wed Aug 12 21:49:19 PDT 2015 --  I want to go to a place where no one can hear me and scream at the top of my lungs right now. Maybe that will help with my shit life eh??
Wed Aug 12 21:38:47 PDT 2015 --  96% of the time my thoughts are "girl. Lemme help you with your makeup."
Wed Aug 12 08:47:51 PDT 2015 --  So tired of anxiety and stupid thoughts always filling this stupid head of mine
Wed Aug 12 07:45:07 PDT 2015 --  When you check your credit score and it reveals your true identity. pic.twitter.com/yHqtfgZIVx
Tue Aug 11 21:05:35 PDT 2015 --  All I have to say is February could NOT come soon enough.
Tue Aug 11 12:48:10 PDT 2015 --  I strongly believe I should have been born either in the 50s or the 80s. Not now. Today's society sucks
Tue Aug 11 12:40:48 PDT 2015 --  I hate people
Mon Aug 10 13:27:59 PDT 2015 --  I need to clean up my room. I need to clean up my car. I need to clean up my life.
Mon Aug 10 09:01:42 PDT 2015 --  TRUE LIFE: I Dr.Phil
Mon Aug 10 08:03:57 PDT 2015 --  When you're broke, and in debt. But really want to go shopping. I hate responsibilities
Sun Aug 09 21:05:13 PDT 2015 --  So ready to get my sleeve done
Sun Aug 09 19:23:29 PDT 2015 --  Constantly having to delete everything on my phone just so I have space should have gotten the 32gig
Sun Aug 09 18:50:17 PDT 2015 --  I will continue to eat even when I know I’m not that hungry and that is a problem
Sun Aug 09 18:28:52 PDT 2015 --  Love does crazy things to your mind. It's insane
Sun Aug 09 17:56:57 PDT 2015 --  From Canada @tylersempire pic.twitter.com/ebjzTwV2XT
Sat Aug 08 19:44:47 PDT 2015 --  I feel so sick but I can't stop eating
Sat Aug 08 12:08:22 PDT 2015 --  I'm in love with the feeling that I'm loved. Not alone, so alone
Sat Aug 08 09:41:15 PDT 2015 --  You don't know the struggle until you are the only one at work and you have to poop #WelcomeToMyLife #FirstWorldProbz
Sat Aug 08 09:36:28 PDT 2015 --  Do whatever it is you need to do. Please Just don't ever forget about me.
Sat Aug 08 08:14:09 PDT 2015 --  I'm ready to be off so I can just lay out for the rest of the day, maybe have a few drinks and do absolutely nothing 🏽
Fri Aug 07 21:43:47 PDT 2015 --  Oooooo baby who will let me play with their hair next pic.twitter.com/aBnuLyBhSK
Fri Aug 07 15:12:23 PDT 2015 --  Now that my appetite is back I can't stop eating
Thu Aug 06 07:51:58 PDT 2015 --  UgghhghhGHHHHHH
Thu Aug 06 07:45:43 PDT 2015 --  Actually. Can this month be over already.
Thu Aug 06 07:45:30 PDT 2015 --  Can today be over already.
Wed Aug 05 12:53:00 PDT 2015 --  Who needs an exterminator for wasps nest when you have a drunk dad, a can of bug spray, and a hose my life should be a reality tv show
Wed Aug 05 09:17:07 PDT 2015 --  Living with anxiety is like having someone following you everywhere you go pointing out ALL your flaws and telling you what COULD go wrong
Wed Aug 05 07:18:51 PDT 2015 --  I want to go back to when life felt easy
Wed Aug 05 05:21:52 PDT 2015 --  This storm makes me want to just stay right here in my bed and go back to sleep
Tue Aug 04 20:44:03 PDT 2015 --  Low key still thinking about joining the military. Is that bad? #WhatIsLife
Tue Aug 04 20:42:15 PDT 2015 --  If you ever love somebody, better tell them while they're here cuz they just may run away from you
Tue Aug 04 08:17:08 PDT 2015 --  Don't miss out! It'll help save so much money! I want more people in my chair tell all your… https://instagram.com/p/591cGOF2lX/ 
Mon Aug 03 20:27:47 PDT 2015 --  Surrounded by so many people but still feel so alone. Why
Mon Aug 03 11:33:09 PDT 2015 --  Cats out of the bag!! Our bae's in @ThisIsPVRIS joining us with daddies @bmthofficial in October. I cant even
Mon Aug 03 12:42:56 PDT 2015 --  That mini cup of velveeta shells and cheese was pretty close to heaven when it comes to my past week 🏽
Sun Aug 02 19:41:34 PDT 2015 --  I'm so ready to just be able to chew again.
Sat Aug 01 13:08:02 PDT 2015 --  Hope I don't ever have to walk into a doctors office/ emergency room again :(
Fri Jul 31 18:31:38 PDT 2015 --  I just don't know how I ended up so lucky.
Fri Jul 31 14:49:57 PDT 2015 --  One more shitty symptom on my body and I swear I'm going to just shoot my brains out. I can't handle this any more
Wed Jul 29 20:12:50 PDT 2015 --  I can't do this anymore
Wed Jul 29 07:34:37 PDT 2015 --  I haven't brushed my hair in 3 days probably going to have to shave it once I try
Tue Jul 28 22:34:49 PDT 2015 --  Freakin psychos in the emergency room right now.
Tue Jul 28 17:55:12 PDT 2015 --  Not exactly sure how I'm still alive right now
Tue Jul 28 04:56:01 PDT 2015 --  Now I'm throwing up this couldn't be any worse.
Mon Jul 27 19:20:05 PDT 2015 --  I mean food doesn't even sound good right now that's when you KNOW something's up with me. #helpme #imLiterallyDying
Mon Jul 27 19:19:24 PDT 2015 --  102 temp. Sore throat and body aching all over I haven't been this sick in so long.
Mon Jul 27 07:20:05 PDT 2015 --  I think I would rather be dead then feel the way I feel right now
Sun Jul 26 09:47:51 PDT 2015 --  Dear passion pit, what if I decided to go for a run instead? Sincerely, Alicia
Sat Jul 25 12:27:34 PDT 2015 --  When it comes to our group and tipping at restaurants the waiter has to be funny and energetic or no tip for youuuu.
Sat Jul 25 12:16:15 PDT 2015 --  Coming all the way from Kansas. #OriginalJoes is delicious
Fri Jul 24 20:19:41 PDT 2015 --  No one likes a liar
Fri Jul 24 18:08:08 PDT 2015 --  Exploring Canada https://instagram.com/p/5ikU7il2jF/ 
Fri Jul 24 17:54:50 PDT 2015 --  I think I'm gonna just live in Canada and start all over.
Thu Jul 23 15:22:51 PDT 2015 --  Spending the weekend in Canada because why not?? # https://instagram.com/p/5fsno2l2gK/ 
Wed Jul 22 15:49:55 PDT 2015 --  If you're a girl and you say you don't shave your big toe. You're a filthy liar
Wed Jul 22 09:33:15 PDT 2015 --  Going to see big fish the musical tonight then leaving for Canada through the night life is YOLO YA know?!
Wed Jul 22 07:16:34 PDT 2015 --  Beautiful@Autumnlips11 let me put more blonde in her hair Thanks for comin to see me hope you're as obsessed as I am pic.twitter.com/Rjjk8bmdrI
Tue Jul 21 08:30:14 PDT 2015 --  The Scorch trials comes out in theaters on September 18th and I'm PUMPED #DashnerArmy
Mon Jul 20 16:20:17 PDT 2015 --  When an application says no facial piercings, colored hair, or visible tattoos and you have all 3. LOL naw. Goodbye.
Sun Jul 19 15:24:58 PDT 2015 --  Forgot I was 19 I've lost it
Sun Jul 19 14:41:25 PDT 2015 --  . Maybe next time Colorado
Sun Jul 19 12:01:14 PDT 2015 --  Currently: stomach is eating itself out of my body because hungryy
Sat Jul 18 15:37:19 PDT 2015 --  Tyler is going to be so happy when he comes home and his bed smells like tanning lotion because after I layed out I took a nap in his bed
Fri Jul 17 18:22:46 PDT 2015 --  And when i kiss your lips I can't tell If this is real or just a dream
Thu Jul 16 21:52:06 PDT 2015 --  Hair from tonight 🏼 I enjoy when clients let me do fun colors pic.twitter.com/4ryeUXsZAY
Thu Jul 16 19:56:34 PDT 2015 --  Red heads do it better twined with my client tonight. call and book an appointment… https://instagram.com/p/5OKYWqoWWD/ 
Thu Jul 16 10:48:03 PDT 2015 --  My goal in life is to become as amazing as @hairmakeupsteph with up dos and makeup. #1 told model. Taking a class from her would be a dream
Wed Jul 15 12:38:55 PDT 2015 --  The pursuit of happiness is such an amazing movie
Tue Jul 14 21:02:28 PDT 2015 --  I need to stop making damn excused and get my ass back into the gym 🏽
Tue Jul 14 10:07:05 PDT 2015 --  Really don't want to go to school tonight
Mon Jul 13 23:16:00 PDT 2015 --  My mind wanders in all the wrong places when I'm alone.
Mon Jul 13 07:43:16 PDT 2015 --  Friends!! Where's a great place to camp in Colorado?
Sun Jul 12 20:54:12 PDT 2015 --  I dont care what time of year it is.Getting into bed with fresh clean bedding that just came out of the dryer is the best way to fall asleep
Sun Jul 12 14:48:30 PDT 2015 --  That moment you realize you finished the 3rd season if orange is the new black what am I supposed to do with my life now?!
Sun Jul 12 10:22:54 PDT 2015 --  I feel a fire in the back of my throat so let's get covered in flames and play some games with the smoke
Thu Jul 09 18:06:59 PDT 2015 --  Did this pretty girls makeup :) kim_loves_smiling ready to get more practice so come let me play … https://instagram.com/p/478RbmoWXz/ 
Thu Jul 09 13:36:38 PDT 2015 --  TGIT
Wed Jul 08 13:10:55 PDT 2015 --  So ready for my red hair again. I miss it 🏼
Wed Jul 08 08:21:27 PDT 2015 --  It's cloudy and rainy but we have $5.00 Mens Cuts today! Make your appointment now with one of our FPs. #MITCHPM pic.twitter.com/XlLNK7SeYU
Wed Jul 08 06:42:31 PDT 2015 --  If you come in on your phone and start holding your fingers up on what bed you want and for how long I'm going to ignore you. Extremely rude
Tue Jul 07 16:18:56 PDT 2015 --  #TooTurntTuesday ? pic.twitter.com/5le9srQXWm
Tue Jul 07 06:55:57 PDT 2015 --  Dreams are stupid
Mon Jul 06 12:44:36 PDT 2015 --  This isn't violence, this is just a war in my head. I give it time but it never seams to end
Fri Jul 03 20:22:20 PDT 2015 --  Run your fingers through my hair while I fall asleep so I know it's real.
Fri Jul 03 20:13:43 PDT 2015 --  They say ugly people make cute kids.y kids will be absolutely gorgeous
Fri Jul 03 20:05:54 PDT 2015 --  "Your hair is in such a perfect bun today" thank you
Thu Jul 02 19:57:58 PDT 2015 --  I actually just hate Walmart and all the convicts that shop there
Thu Jul 02 17:20:04 PDT 2015 --  Bands I've wanted to see for years are going to warped tour and I'm seriously so excited
Wed Jul 01 20:42:20 PDT 2015 --  Sometimes you just have to pause the world and take a deep breath and admire the beauty around you https://instagram.com/p/4nnsdLl2u6/ 
Wed Jul 01 18:01:23 PDT 2015 --  Why can't today be Thursday
Fri Jun 26 17:22:26 PDT 2015 --  U was gay for ruby rose last week now u think gay marriage is wrong pic.twitter.com/XJKANnur2Q
Sat Jun 27 19:57:33 PDT 2015 --  pic.twitter.com/bMZa6I38cv
Sat Jun 27 10:24:49 PDT 2015 --  Being able to date tour best friend is the greatest thing ever
Fri Jun 26 17:26:02 PDT 2015 --  This week was great, got to find out who is homophobic & who is racist at the same time! (turns out if they were 1, they were the other too)
Fri Jun 26 10:28:49 PDT 2015 --  Home alone for the first time in forever ahhhh. Literally OITNB all day anyways so whatever lmao
Fri Jun 26 06:57:25 PDT 2015 --  Calf cramps are literally the worst ever
Thu Jun 25 13:22:33 PDT 2015 --  Album of the day pic.twitter.com/1l5sOvl6c8
Thu Jun 25 10:34:12 PDT 2015 --  Sometimes it's just nice to know someone misses you
Wed Jun 24 06:04:44 PDT 2015 --  I'm so burnt out
Tue Jun 23 20:20:07 PDT 2015 --  What am I even doing with my life
Mon Jun 22 12:47:32 PDT 2015 --  WHEN YOU REALIZE YOU ACCIDENTALLY THREW AWAY YOUR EYEBROW PENCIL. WHAT IS LIFE #firstworldproblems
Fri Jun 19 11:18:20 PDT 2015 --  How girls be taking pictures when they are at the beach pic.twitter.com/2rkkjE06Pk
Thu Jun 18 12:46:44 PDT 2015 --  I wanna go see Jurassic world. Who wants to come
Thu Jun 18 12:18:20 PDT 2015 --  I met @WinnClaybaugh and Kathy Buckley and they are two truly amazing people. pic.twitter.com/m98LYUvf21
Thu Jun 18 12:15:51 PDT 2015 --  You put your arms around me and I'm home!
Wed Jun 17 20:41:18 PDT 2015 --  To eat cereal or to sleep. That is the question
Wed Jun 17 15:28:11 PDT 2015 --  Just for a second I want to feel important.
Wed Jun 17 14:53:01 PDT 2015 --  Wanting to start the new OITNB. But I know once I do all social life will be gone because that will be literally all I do
Wed Jun 17 07:07:02 PDT 2015 --  me when i was 12 vs 12 year olds now pic.twitter.com/9h6BlZw5BA
Wed Jun 17 07:07:08 PDT 2015 --  Go to hell for heavens sake.
Wed Jun 17 07:05:07 PDT 2015 --  Me after 3 shots of fireball @tylersempire pic.twitter.com/hXNb5DC3KA
Tue Jun 16 05:26:20 PDT 2015 --  Oh god. What even happened yesterday?
Mon Jun 15 17:53:03 PDT 2015 --  @Licia_Lynn #whitegirlwasted
Mon Jun 15 17:28:17 PDT 2015 --  My thoughts exactly till today never. Drinking. Again. https://twitter.com/tylersempire/status/610513305036279808 …
Sat Jun 13 09:15:40 PDT 2015 --  Only down fall about vaca is that new season of #OITNB on Netflix while I'm gone but it'll be there when I get back
Thu Jun 11 18:42:18 PDT 2015 --  Islands are amazing! So crazy just seeing water 360 view.
Thu Jun 11 03:12:44 PDT 2015 --  I've been up since 3:30
Wed Jun 10 12:50:22 PDT 2015 --  Those speeches today had my feels all over the place
Wed Jun 10 05:12:34 PDT 2015 --  Girl in front of me on bus is taking so many selfies. I can't handle it. Literally woke from a nap and instant selfie. #life
Wed Jun 10 04:45:21 PDT 2015 --  So many good bands going to warped I HAVE to go
Sat Jun 06 11:17:04 PDT 2015 --  4 days 15 hours 13 minutes and 20 seconds till vacation but who's counting 🏽
Sat Jun 06 10:31:36 PDT 2015 --  Snapchat story had 20 views and my thoughts "do I even have 20 friends" lmao
Sat Jun 06 07:28:32 PDT 2015 --  We got a new spray unit at work and I'm in love so come and let me give you a spray tan
Wed Jun 03 13:29:49 PDT 2015 --  Close up pics of the new naked pallete rt to save a life http://twitter.com/TweetLikeAGirI/status/606178906014629888/photo/1pic.twitter.com/heVGTDmjhN 
Wed Jun 03 12:42:19 PDT 2015 --  Not feeling the school thing today
Sun May 31 15:01:08 PDT 2015 --  If heaven is where you'll be... Send me to hell
Sun May 31 09:33:17 PDT 2015 --  #Ten mo mutha fuckin dayzz till paradise!! @tylersempire pic.twitter.com/4fzKKssQ3U
Sat May 30 21:52:16 PDT 2015 --  Dubsmash winner of the year? Don't ask what I'm doing with my life because I couldn't tell you. but… https://instagram.com/p/3VWQptl2u7/ 
Sat May 30 21:12:44 PDT 2015 --  Watching another awful movie tonight. I can't handle this madness
Sat May 30 19:47:25 PDT 2015 --  Every girl just wants to feel beautiful is all
Sat May 30 16:12:17 PDT 2015 --  Mashed potatoes is like the craziest recipe ever, like you literally just take a potato and beat the shit out of it & boom it's delicious
Sat May 30 15:47:15 PDT 2015 --  So many things I want to do this summer but I don't get the summer off this year to do it #GrowingUpSucks
Fri May 29 20:23:49 PDT 2015 --  My boyfriend and I are too much alike but I absolutely love it
Fri May 29 16:08:29 PDT 2015 --  Too much fun with these two brats https://instagram.com/p/3SKH3Ql2jK/ 
Fri May 29 15:33:23 PDT 2015 --  When people get all excited about it bein Friday and they don't go to school or have a job.Do you know why the world gets excited forFridays
Thu May 28 11:48:27 PDT 2015 --  Not to mention my entire closet is literally nothing but black and Caribbean sun
Thu May 28 11:47:51 PDT 2015 --  When I have color passes at school I don't know what to do with my life because I'm so used to all black.
Thu May 28 07:51:42 PDT 2015 --  Only 13 more days till St. Thomas I need this vacation!!!
Tue May 26 08:31:18 PDT 2015 --  Mainly excited for this new bod
Tue May 26 08:30:57 PDT 2015 --  Almost time for kick boxing 🏽🏽 I get to go relieve any and all anger I may have within me haha. Excited for this new journey
Mon May 25 18:14:44 PDT 2015 --  I swear the amount of stupidity in some people... YOU ARE SUCH AN IDIOT.
Mon May 25 16:29:27 PDT 2015 --  Fuck you Kansas pic.twitter.com/3KsGZc5z3s
Mon May 25 16:02:32 PDT 2015 --  I just need to get away from reality for a little bit
Mon May 25 16:01:27 PDT 2015 --  Saying and doing are two very different things
Mon May 25 12:06:37 PDT 2015 --  R.I.P. Dobo Istvan :( you've lived a happy fishy 5 years! We've been on quite the adventure over the… https://instagram.com/p/3HbQx5l2oB/ 
Sun May 24 14:55:59 PDT 2015 --  Also. Please wipe your butt all the way after taking a poop. Thank you
Sun May 24 14:55:00 PDT 2015 --  SHOWERS ARE YOUR FRIEND. NOT THE ENEMY
Sun May 24 11:03:24 PDT 2015 --  I like McDonald's nuggs cold and I'm not ashamed about it!
Sun May 24 07:59:56 PDT 2015 --  I DONT WANT TO WORK TODAYYY. Ugh
Sat May 23 13:15:15 PDT 2015 --  Ok so maybe part of me wants to play in the rain and chance getting struck by lightening
Sat May 23 10:51:50 PDT 2015 --  So sick of all this rain
Sat May 23 08:41:25 PDT 2015 --  Underwear is 7/$27 at Victoria's Secret who wants to come
Fri May 22 16:28:32 PDT 2015 --  I don't think theirs a single person that gets as hangry as I do.
Thu May 21 20:44:32 PDT 2015 --  Missing you so much right now. Soo ready for vacation. So close it got me like: pic.twitter.com/gcpNKJFatw
Wed May 20 20:46:46 PDT 2015 --  It's like when they were scheduling appointments for the students they were like AND YOU GET A PSYCHO... And YOU GET A PSYCHO. Oprah style
Wed May 20 20:45:10 PDT 2015 --  What a night
Wed May 20 13:19:08 PDT 2015 --  Probably would have had the same reaction https://twitter.com/3osecondfights/status/600031670461300736 …
Wed May 20 12:55:34 PDT 2015 --  Mind blowing how people can see their family struggling yet refuse to get a job
Wed May 20 07:22:14 PDT 2015 --  I've been here for an hour and it feels like it's been 5
Tue May 19 20:44:39 PDT 2015 --  Making people happy is what I live for :) seeing how happy my client was with the end result I forget how sleep deprived and exhausted I am
Tue May 19 11:08:26 PDT 2015 --  Signed up for a kick boxing class. gonna try free session and see how I feel about it. Ready to get this ass in shape. Literally 🏽🏽
Sun May 17 18:52:26 PDT 2015 --  When you tryn ta nap and you wake up to your dads little girl giggles because his selfie game strong on your phone pic.twitter.com/Up337go0Cd
Sun May 17 16:56:44 PDT 2015 --  I wish you would act like an adult instead of a child.
Fri May 15 07:29:33 PDT 2015 --  5 hour car ride today
Thu May 14 20:38:43 PDT 2015 --  Things that last never happen over night.
Tue May 12 07:04:05 PDT 2015 --  Holy shit! I thought I was the only one. Lmao https://twitter.com/thislswow/status/593057066874318850 …
Mon May 11 13:10:33 PDT 2015 --  Literally. My. Entire. Life. Story. #FattyProbz pic.twitter.com/a4B6Qcxt4S
Sun May 10 10:53:01 PDT 2015 --  Ugh. Today sucks
Fri May 08 21:23:34 PDT 2015 --  Kinda already miss my All over vibrant red hair
Fri May 08 21:06:07 PDT 2015 --  Whoever I marry better start crying there fuckin eyes out when they see me walking down the isle.
Fri May 08 11:19:57 PDT 2015 --  When your step mom has to ask where Kansas is on the map because she's from Australia
Fri May 08 11:06:11 PDT 2015 --  Dress I SHOULD have got for prom pic.twitter.com/9aotOvaBN7
Thu May 07 20:45:04 PDT 2015 --  Ombres do it better still my red but wanted a change! So had my girl @danielleeeex0 lighten up… https://instagram.com/p/2aASQ6l2j2/ 
Thu May 07 17:20:34 PDT 2015 --  Because I had a ton of fun doing the hair show pic.twitter.com/7O3yDSkT7f
Thu May 07 13:02:51 PDT 2015 --  WHY ARE PEOPLE THE WORST.
Tue May 05 20:59:23 PDT 2015 --  When bae wears a beanie
Tue May 05 20:48:21 PDT 2015 --  Come and let me cut, color, and style your hair at school pic.twitter.com/Tdz5ylRJ7m
Tue May 05 08:39:24 PDT 2015 --  I wanna go fishing
Tue May 05 08:08:23 PDT 2015 --  I cannot stop laughing this kid drives me insane but I've never had someone make me laugh and… https://instagram.com/p/2TgGcgl2ka/ 
Mon May 04 07:22:07 PDT 2015 --  If I ever have to work 8 days in a row again I will shoot myself
Sun May 03 20:24:19 PDT 2015 --  Entire body sore now.. can't wait to wake up early and do it again 🏽🏽 #GettinFit
Sun May 03 16:23:30 PDT 2015 --  He's a sweet talker alright #ImOneLuckyGirl https://instagram.com/p/2PPLAPl2o_/ 
Sun May 03 10:17:04 PDT 2015 --  Omg can't forget about walk the moon too
Sun May 03 10:14:29 PDT 2015 --  I want to be the person that makes people happy
Sun May 03 10:13:06 PDT 2015 --  Dance Gavin dance is too good
Sat May 02 21:20:53 PDT 2015 --  Scarring my hands one hair cut at a time 🏽 #CosmetologyStudent
Sat May 02 17:29:45 PDT 2015 --  Subway makes everything better
Fri May 01 22:18:35 PDT 2015 --  Don't fuck up your ankle because it will cause pain and issues for the rest of your life
Fri May 01 19:31:38 PDT 2015 --  Because I haven't winged it in a while I almost forgot what it was like. Selfie from yesterday … https://instagram.com/p/2KbHMJF2vN/ 
Fri May 01 09:30:33 PDT 2015 --  TRUE LIFE: I have one month to get my body bikini ready for vacation.
Thu Apr 30 21:23:14 PDT 2015 --  I'm just ready for vacation. #INeedABreak
Thu Apr 30 12:35:00 PDT 2015 --  Do I even need to give you a reason why I'm in love with this dork? This photo says it all https://instagram.com/p/2HGo5FF2rN/ 
Tue Apr 28 13:04:14 PDT 2015 --  Like.. Just enjoy life.. Jesus
Tue Apr 28 13:04:00 PDT 2015 --  Why are people so damn picky and rude now days? Like if they don't like something or it doesn't go their way they become a total bitch
Sat Apr 25 17:30:12 PDT 2015 --  When People think i hate them pic.twitter.com/xUyQwiT44O
Sat Apr 25 19:28:26 PDT 2015 --  What if hockey had cheerleaders that went on the ice while they played
Sat Apr 25 18:15:54 PDT 2015 --  I can't stop laughing. dads really in the mood for Taco Bell and has been doing this stupid… https://instagram.com/p/161rMsl2hE/ 
