Thu Aug 27 09:16:17 PDT 2015 --  Hört sich für mich plausibel an... https://twitter.com/Frau_NPunkt/status/636929269080395776 …
Mon Aug 10 11:29:48 PDT 2015 --  Porträt des potenziellen @netzpolitik-Landesverräters @andre_meister; @benmartillo war bei ihm http://www.deutschlandradiokultur.de/andre-meister-der-stoerenfried-von-netzpolitik-org.976.de.html?dram:article_id=327926 … pic.twitter.com/Bi5gkencUA
Fri Aug 07 12:27:56 PDT 2015 --  Und hoffen, dass bloß keiner weiter scrollt... :-) https://twitter.com/Frau_NPunkt/status/629732923328098304 …
Fri Aug 07 07:45:48 PDT 2015 --  25+ kostenlose SEO Tools - inkl. Checkliste zum Download http://felixbeilharz.de/?p=2522  via @beilharz
Thu Aug 06 12:09:11 PDT 2015 --  Das Problem: #Facebook und die #Klarnamenpflicht http://allfacebook.de/policy/das-problem-facebook-und-die-klarnamenpflicht … via @allfacebookde
Wed Aug 05 14:13:49 PDT 2015 --  Mein Wecker ist kaputt. Könnte mich morgen früh jemand wecken? So zwischen 7:30 und 13 Uhr wäre gut. Nummer steht im Telefonbuch.
Wed Aug 05 12:55:31 PDT 2015 --  Früher war auch nicht unbedingt alles besser. Es gab bloß einfach noch kein Internet, wo man sich darüber hätte aufregen können.
Tue Aug 04 01:53:22 PDT 2015 --  Marcus von @OnPage_orgDE: "Ich kann es nicht mehr hören! Berlin, Berlin. Dabei gibt es in München so geile Startups!" pic.twitter.com/xC7c1BI8CU
Tue Aug 04 15:07:55 PDT 2015 --  State of Social is out! http://paper.li/CarlosGil83/1417989833?edition_id=4052b9b0-3af5-11e5-b412-002590a5ba2d … Stories via @ctiati @bestwineries @paradoxication
Tue Aug 04 11:27:20 PDT 2015 --  Am We auf einem Festival gewesen, Nähe Berlin. Schön zu sehen, wie all die hippen Individualisten letztendlich doch gleich aussehen...
Tue Aug 04 11:00:15 PDT 2015 --  7 #SocialMedia #Tricks: Darum will jeder dein Produkt haben http://bit.ly/1eQbW2r 
Tue Aug 04 11:12:02 PDT 2015 --  Einschalten oder halt programmieren. Lohnt sich auf jeden Fall! https://twitter.com/DasErste/status/628626574372433920 …
Mon Aug 03 11:30:42 PDT 2015 --  Sarah Kuttner wird von ihren Nachbarn gefragt, was sie beruflich macht. Mich fragen das ständig meine Kollegen.
Tue Aug 04 09:20:54 PDT 2015 --  Gibts bei einem Feierabendbier was entspannteres, als latent feindlichen Eheleuten beim "freundlich reden" zu lauschen? Bitte noch ein Bier.
Tue Aug 04 09:30:24 PDT 2015 --  #HowTo: So nutzt du #Hashtags in den sozialen Netzwerken richtig http://bit.ly/1eQbGAB 
Tue Aug 04 04:17:30 PDT 2015 --  Ist SEO jetzt endlich tot? Ich finde, SEO ist lebendiger als jemals zuvor! Weil wir uns endlich darauf... http://fb.me/7tf1PZ1c8 
Thu Jul 30 06:44:48 PDT 2015 --  Das Kind vor mir im Supermarkt legt sich auf den Boden, weint und bekommt ein Eis. Das versuche ich jetzt in der Bank auch mal.
Thu Jul 30 01:12:34 PDT 2015 --  Frau und ich arbeiten seit19 Jahren im selben Büro. Und lachen immer noch, wenn einer abends den Anderen fragt: "Und? Wie war Dein Tag?"
Wed Jul 29 10:43:09 PDT 2015 --  “Wie ist dein Lebensmotto?“ “Mehr Soße, bitte.“
Mon Jul 27 22:43:07 PDT 2015 --  10 Instagram Tipps, wie man die Zahl seiner Follower effektiv erhöhen kann. http://www.projecter.de/blog/social-media/wie-man-instagram-follower-gewinnt-10-tipps-die-wirklich-funktionieren.html … via @projecter
Mon Jul 27 01:10:01 PDT 2015 --  Leitfaden: Wie du Retargeting nicht betreiben solltest http://onlinemarketing.de/news/so-sollte-man-retargeting-nicht-betreiben-ein-leitfaden-von-adroll …
Sat Jul 25 19:00:32 PDT 2015 --  Zuhause. Der beste Ort der Welt!
Sat Jul 25 18:55:37 PDT 2015 --  Nach Hause rennen, nicht gehen. Weil es trotz der coolsten Party der beste Ort der Welt ist und einfach jemand auf dich wartet! MEGA!
Wed Jul 22 04:56:23 PDT 2015 --  Wer nicht wagt, der nicht gewinnt... würde ich sagen. ;-) https://twitter.com/bmgoermez/status/623031628110163968 …
Wed Jul 22 04:54:43 PDT 2015 --  meeega! :-) https://twitter.com/manomama/status/623567632059486208 …
Sun Jul 12 08:34:48 PDT 2015 --  Wie versprochen Urlaubs-Sonnen-Grüße aus Sri Lanka! :-) @Urlaubspiraten @ManuMarron pic.twitter.com/Oj0HDqhG6D
Wed Jun 24 10:24:25 PDT 2015 --  Danke nochmal für diese meeega oberaffengeile super #business15 Konferenz, @beilharz! Das war echt der HAMMER!!!
Wed Jun 24 08:21:04 PDT 2015 --  Roaming ist doch sowas wie Ausländermaut im Internet. Das eine will die Union abschaffen, das andre einführen. Komme da stets durcheinander…
Wed Jun 24 06:31:29 PDT 2015 --  Von den Besten lernen. Real time Marketing @SixtDE . Gleich auf der #business15
Wed Jun 24 07:03:51 PDT 2015 --  Na toll: immer wird man in der eigenen Kreativität ausgebremst. Selbst beim Impressum! @niklasputte #business15
Wed Jun 24 06:56:31 PDT 2015 --  Heyho! Liebe Bloofusianer vom @suchradar GO! GO! GO! rockt den Firmenlauf!!! Ich drück Daumen von der #business15 pic.twitter.com/JJ4GHKDPUH
Wed Jun 24 05:55:04 PDT 2015 --  Also ich denke auch, dass Social Media so ähnlich wie ne Drogenorientierungsphase ist: auf dem geilsten Scheiß bleibste hängen. #business15
Wed Jun 24 05:31:27 PDT 2015 --  Fürs Leben gelernt: Immer dunkle Hose zu Verleihungen - wegen Reinpinkeln und so... #business15 @truefruits
Wed Jun 24 03:51:59 PDT 2015 --  Wäre ich YouTube-Star, ich würde nur Alkohol und Zigaretten placen, wissta Bescheid! Immer authentisch sein, ne!? :-) #business15
Wed Jun 24 03:45:47 PDT 2015 --  Netzwerke können nützlich für YouTube-Einsteiger sein, sagt @philippsteuer. Aber: "Möchte ich mich vertraglich binden?" #business15
Wed Jun 24 03:39:44 PDT 2015 --  Die typische SocMed Historie: MySpace, SchülerVZ, StudiVZ, Facebook. Ach ja, wie die Zeit vergeht...
Wed Jun 24 03:24:00 PDT 2015 --  Passenderweise flieg ich heute noch nach Sri Lanka, Flug über @Urlaubspiraten für nen Appel & Ei :-) @ManuMarron #business15
Wed Jun 24 03:10:40 PDT 2015 --  . @manumarron 'Ich mag Twitter'. Ich so: 'Twitter mag auch @urlaubspiraten' #business15
Wed Jun 24 02:59:55 PDT 2015 --  Hallo!? Vor allem: "Die im Unternehmen arbeiten." Ähhh, selbständiges Gewerbe wäre also gegangen? :-D https://twitter.com/fraeuleinhelga/status/613646871580557313 …
Wed Jun 24 02:13:42 PDT 2015 --  Übrigens: der @strJa ist Freelancer und, wenn er Zeit hat, auch buchbar ;-) #business15
Wed Jun 24 02:17:04 PDT 2015 --  Der @strJa spielt aber heute auch alle Karten aus: Erst dieses Jahrgang 90 Ding und jetzt noch so was #business15 pic.twitter.com/sE2btjCGRb
Wed Jun 24 01:44:27 PDT 2015 --  Eben die ganze Zeit noch die Rede von U35 und alle so YEAH! und jetzt @strja Jahrgang 90... man ist alt... #business15
Wed Jun 24 00:55:07 PDT 2015 --  #tatort einfach über Twitter verfolgen. Warum bin ich da n eher drauf gekommen? #business15
Wed Jun 24 00:41:50 PDT 2015 --  9% geben an, dass Smartphone schon mal ins Klo gefallen ist. Meins auch und es ist heute hier! :-) #business15
Wed Jun 24 00:15:48 PDT 2015 --  #business15: nen leckeren @truefruits Leider #ohnemett heute... naja, vielleicht gibts später noch Brummimarmelade pic.twitter.com/S7Kr6pV3UI
Sun Jun 21 11:55:57 PDT 2015 --  So ein Mist! Aber vielleicht ein Poster? Komm schon! ;-) https://twitter.com/beilharz/status/612658571788992512 …
Tue Jun 16 10:36:41 PDT 2015 --  Erste Konferenz zu Twitter- und Instagram-Marketing in Köln – wir verlosen zwei Tickets http://www.xovi.de/2015/06/erste-konferenz-zu-twitter-und-instagram-marketing-in-koeln/ … via @xovitool
Tue Jun 16 06:16:36 PDT 2015 --  Heutiger Tagebucheintrag: Völlig neue Erkenntnisse in Sachen #Daten und Netz, dank #mc15 :-) https://twitter.com/martinmodi/status/610794924812935168 …
Tue Jun 16 01:52:47 PDT 2015 --  #SEOkomm Agenda online! Wir freuen uns auf euch am 20.11.2015 in Salzburg. http://bit.ly/1IGLL98  pic.twitter.com/48eIzBAgRY
Mon Jun 15 07:30:46 PDT 2015 --  Noch 1,5 Wochen bis zur #business15 und bei uns gibt es noch einen 10%-Rabattcode! :-) http://www.internetkapitaene.de/2015/06/01/twitter-und-instagram-im-fokus/ …
Mon Jun 15 07:39:39 PDT 2015 --  Ich muss mich ein wenig totlachen... https://twitter.com/nerddrugs/status/610018217675743232 …
Mon Jun 15 07:20:15 PDT 2015 --  Bin Ende Juni selbst da und werde das mal testen... ;-) https://twitter.com/SZ/status/610451240309403648 …
Thu Jun 11 00:32:13 PDT 2015 --  Ein ganz klassischer Fall von cuteness overload :-) https://twitter.com/DressLikeMachin/status/608895220957229056 …
Wed Oct 15 04:32:25 PDT 2014 --  Es gibt nix erschreckenderes als die Sekunde in der Dusche wenn du ausrutschst und denkst : "Au Kacke....die werden mich nackig finden"
Tue Jun 09 05:31:21 PDT 2015 --  Jetzt bewerben: Die Bundesagentur für Arbeit meldet freie Stellen für den Sommer http://www.kraftfuttermischwerk.de/blogg/jetzt-bewerben-die-bundesagentur-fuer-arbeit-meldet-freie-stellen-fuer-den-sommer/ … pic.twitter.com/9T9o686A0n
