Mon Aug 24 03:50:00 PDT 2015 --  Rise & Grind! "Be good so they can't ignore you." - @SteveMartinToGo
Tue Aug 11 16:47:05 PDT 2015 --  Donald Trump says he dreams of shutting down H&R Block. Here's H&R Block's response: http://cnnmon.ie/1h1bwZ5  pic.twitter.com/aUERyIwlOV
Mon Aug 10 14:54:00 PDT 2015 --  Whoa. Google reorg: http://googleblog.blogspot.com/2015/08/google-alphabet.html … Larry & Sergey will run "Alphabet." Sundar Pichai will be new Google CEO, a branch of Alphabet.
Tue Aug 11 13:27:03 PDT 2015 --  Geno Smith sucker punched by teammate, will miss 6-10 weeks. Wow! Someone is getting fired.
Tue Aug 11 13:25:35 PDT 2015 --  Google’s Alphabet may infringe on a BMW trademark http://for.tn/1DKXVig 
Tue Aug 11 13:12:09 PDT 2015 --  Holy moly guys! I'm approaching a huge new fan #. Thank you so so so much for following me. It warms my 󾬑. I hope... http://fb.me/3OAIOaSnM 
Mon Aug 10 15:58:56 PDT 2015 --  Wow! @google now owned by Alphabet https://abc.xyz/ . this message brought to you by the letter G.
Mon Aug 10 14:51:17 PDT 2015 --  If you can't laugh at yourself, who can you laugh at? #StraightOutta pic.twitter.com/H0ypoERtNK
Mon Aug 10 10:13:21 PDT 2015 --  RT: Wassup @Lani_Stephens @SexyDJdrops @flawlessmarbs @TXST_school @SiscoWhat. DROP a COMMENT on https://goo.gl/3q17B3  by @PhrasesFla
Mon Aug 10 08:14:20 PDT 2015 --  Heading to the Dome Friday for the @AtlantaFalcons preseason game? Save the hassle & buy your parking in advance: https://aaaparking.t2hosted.com/pnw2/ 
Sat Aug 08 16:03:10 PDT 2015 --  Playing #dyinglight
Fri Aug 07 13:45:08 PDT 2015 --  Here’s how the 'Straight Outta Compton' actors compare to their real-life counterparts http://ti.me/1gj1qlj  pic.twitter.com/L4XypMPHSR
Fri Aug 07 13:50:41 PDT 2015 --  Hows everyone doing today?
Fri Aug 07 13:42:34 PDT 2015 --  Maybe instead of candidates debating they should just have their dogs compete for best in show.
Fri Aug 07 13:39:15 PDT 2015 --  The struggle is real. https://instagram.com/p/6GIsCngAhB/ 
Fri Aug 07 12:52:14 PDT 2015 --  Football Pre-Season starts Sunday! #ATL #Falcons #RiseUp #ReadyForFootball
Tue Jun 16 09:25:02 PDT 2015 --  Tupac would have been 44 today. Much respect to him! "But too hardened for a smile, we're too crazy to be humble: we ballin'"
Sat Apr 12 10:28:48 PDT 2014 --  Real dad help out other dad's follow @daddydoinwork #pinkshorts
Sat Jul 13 20:02:12 PDT 2013 --  What's wrong with the world mama!!! #whereIStheLOVE #zimmermanVSamerica
Tue Jul 19 15:56:36 PDT 2011 --  @TonyYNOT916 Driving a manual and tweeting in traffic now thats talent #cachecreektime
Tue Jul 05 12:42:13 PDT 2011 --  Dexter Morgan found another midnight project #CaseyAnthony
Sun Jul 03 15:02:25 PDT 2011 --  Amber Alert: my sister Angela, aka AJ Sisco is missing (again) She was last seen at Ding's in Fairfield last night. If anyone has any info,
Thu Jun 23 01:57:54 PDT 2011 --  Done with the work out now to the top cave ramen
Wed Jun 22 23:24:02 PDT 2011 --  So sleepy but I need to hit the gym
Wed Jun 22 20:10:35 PDT 2011 --  Do you ever feel like sombody is stalking you
Sun Jun 05 18:17:56 PDT 2011 --  @TheOfficialANAK I'm praying for you guys!!! Good luck
Sat Jun 04 17:11:49 PDT 2011 --  T-minus 60 mins till our audition. In all, so blessed to even HAVE the opportunity. Thanks for rockin with us since day one!
Wed Jun 01 15:47:44 PDT 2011 --  NWS has issued a tornado warning for Sacramento and Yolo counties. Possible tornado to hit near Power Balance Pavillion. #herewebuild
Sat May 28 19:59:39 PDT 2011 --  About to go in to the Jamie Foxx concert
Sun May 01 21:04:04 PDT 2011 --  Osama Bin Killed
Wed Apr 27 21:27:16 PDT 2011 --  RT if you thought.̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̸̨̨̨̨̨̨̨̨̨̨̨̨.̸̸̨̨your screen was cracked
Sun Apr 17 12:45:06 PDT 2011 --  Lake Show
Fri Apr 15 13:36:50 PDT 2011 --  When your stressed you eat cake, chocolate and sweets. Why? Because STRESSED spelled backwards is DESSERTS
Tue Apr 12 22:18:49 PDT 2011 --  Giants!!!!!
Fri Apr 08 18:50:16 PDT 2011 --  Don't spend all your time chasing dreams. Chances are you will never catch them. Stop and look around your dream may be trying to catch you
Fri Apr 08 18:24:48 PDT 2011 --  Anyone have hook up on airline tickets
Fri Apr 01 20:22:03 PDT 2011 --  Giants!!!!!!
Fri Mar 25 09:51:25 PDT 2011 --  # #FF 1075KISSFM @livingwithcents @ RoaincoastBooks @kaboom @OhBabymagazine @JVCCanada @JELDWENcanada
Sat Feb 26 16:43:22 PST 2011 --  @Donovan_707 till monday
Sat Feb 26 14:38:24 PST 2011 --  Just got to SD I love it here
Thu Feb 17 16:27:51 PST 2011 --  Weekend bball tournament fundraiser for St. Phils school Mar 13/14 double elimination mens teams. Contact me for more info or to register!
Sun Feb 13 08:11:42 PST 2011 --  Wheat thins with cream cheese is the best snack
Tue Jan 18 22:45:47 PST 2011 --  Back in action with the blackberry
Fri Oct 22 18:26:28 PDT 2010 --  5 Mins and counting!!! then off for the weekend... much needed time for some R&R
Thu Oct 21 14:10:22 PDT 2010 --  The fire burning inside Roseville Galleria is out of control. Firefighters are still not inside. http://ht.ly/2Xohh
Mon Aug 09 19:08:46 PDT 2010 --  @DruOvANAK just seen you in sac on the freeway where
Wed Jul 21 20:50:38 PDT 2010 --  Luck is what happens when preparation meets opportunity http://myloc.me/9yMgO
Sat Jul 17 22:36:24 PDT 2010 --  Headed to dream to kick it with c mills 80's party lookin like a fool http://myloc.me/9onDG
Sat Jul 17 10:33:40 PDT 2010 --  @Antwanski @frannieface right on happy anniversary to my better half @TruWifeyandMama http://myloc.me/9ng5o
Sun Jul 04 22:58:01 PDT 2010 --  RT @TheRealJulius: If they made popsicles that look like penis's I would love those in my mouth. Cocks melt in my mouth..not in my hands
Sat Jul 03 09:45:07 PDT 2010 --  @TheRealJulius :( its such a sad day. http://myloc.me/8LZnk
Thu Jul 01 07:41:02 PDT 2010 --  RT @RevRunWisdom: P U S H. (P)ray (U)ntil (S)omething (H)appens< But don't stop when something does http://myloc.me/8G2hI
Sun Jun 27 09:29:56 PDT 2010 --  Ready for church http://tweetphoto.com/29499296
Sun Jun 20 21:24:53 PDT 2010 --  Apparently everyone in sac is at the drive in today
Sun Jun 20 11:54:02 PDT 2010 --  Happy fathers day 2 all the fathers, grand fathers, god fathers gr8 grand fathers & mentors. Got done w/ church Now time 4 Fujis w/ the fam
Wed Jun 16 20:12:22 PDT 2010 --  Sbarros pizza in arden $10 whole pizza brings back memories http://myloc.me/8iWyc
Mon Jun 14 21:38:49 PDT 2010 --  Kare kare for dinner then halo halo for desert http://myloc.me/8e7gE
Sun Jun 13 18:52:09 PDT 2010 --  RT @SneakyDeee: Kobe goin off! <--- yeah but the rest of the team is playing like garbage com on lakers http://myloc.me/8blkk
Sun Jun 13 15:40:36 PDT 2010 --  @Jaheezyefbaby where at I'm still in the flats http://myloc.me/8b6iF
Tue Jun 08 21:09:01 PDT 2010 --  Paul Pierce said b 4 the game they wld not B going back 2 LA cngrts Paul I think ur right U wont B going back 2 LA #NOLA2BOSTONFLIGHTS
Tue Jun 08 21:01:34 PDT 2010 --  RT @thaREALdSMOOTH: RT @SneakyDeee: Lake show bitches. All u Celtic fans need to get on you knees and do a "Flight to Boston"
Tue Jun 08 13:24:04 PDT 2010 --  RT @Antwanski: "WOOOOW.. You dry merch-CHAY-dees , u mut be very rit!" LMAO @SiscoWhat<lmao http://myloc.me/7YuOq
Sun Jun 06 20:06:42 PDT 2010 --  RT @MikePosner: Anyone else peep that "Shit" by Rondo followed by the N-Bomb dropped by anonymous Celtics bench player. NBA Cares.
Sun Jun 06 17:45:34 PDT 2010 --  RT @thaREALdSMOOTH: RT @SneakyDeee: Let's go Lakers http://myloc.me/7TL6L
Sun Jun 06 16:24:27 PDT 2010 --  #JaylaQuotes "Peace is gone with me" http://myloc.me/7TEYa
Sun Jun 06 10:00:30 PDT 2010 --  Lookin for a pool to swim in http://myloc.me/7Tl1Y
Wed Jun 02 20:51:32 PDT 2010 --  RT @TheOfficialANAK: Help us get to #200 followers! Help spread the word twitter fam! www.TheOfficialANAk.com =) http://myloc.me/7Kg8Y
Tue Jun 01 21:17:08 PDT 2010 --  @Jaheezyefbaby From: @JaheezyefbabySent: Jun 1, 2010 9:05pThank you comcast for being on time.... (Insert (cont) http://tl.gd/1kdg7f
Mon May 31 15:22:52 PDT 2010 --  RT @Jaheezyefbaby: Question of the day Tweeps: if you are making a slow jam cd, what is the one song that has to be on it? RT and reply pls.
Mon May 31 15:17:48 PDT 2010 --  @Jaheezyefbaby R Kelly- Down low, H town Knockin the boots, and of course Ant Chedda My Dime @Antwanski
Mon May 31 15:15:53 PDT 2010 --  @Jaheezyefbaby AZ Yet - last nite, Tyreese- have I told u I luv u latley- kc & jojo still wating, shai- comforter, nxt- butta luv
Mon May 31 15:12:52 PDT 2010 --  @Jaheezyefbaby Shai- If I ever fall in love again http://myloc.me/7F0NX
Sun May 30 19:15:46 PDT 2010 --  Yes this is my memorial bbq http://tweetphoto.com/24837002
Fri May 28 08:40:16 PDT 2010 --  RT @_SacramentoCA: 3.4 earthquake, northern California. May 28 8:22am PDT (4m ago, 11km NE of Talmage, depth 7.6km). http://j.mp/b4y1ZU
Fri May 28 07:50:46 PDT 2010 --  Flashback friday mix on 102.5 to get me thru the day thank you @1025KSFMCBS, Charlie ramos and wayne , j & regan show http://myloc.me/7xlyr
Wed May 26 09:17:00 PDT 2010 --  Me: I'm board @TruWifeyandMama: then why don't you go into work and make some money! Me: I think I will. Why do I love her... She gets me
Wed May 26 08:48:13 PDT 2010 --  I'm am sooo sleepy!!! I tried to go to bed early apparently not early enough, I need to go start going to bed before the sun goes down.
Mon May 24 21:46:39 PDT 2010 --  Anyone have a sprint blackberry for sale http://myloc.me/7p6Fo
Mon May 24 14:29:50 PDT 2010 --  @tweetWhiteMike I got you homie
Sun May 23 22:48:11 PDT 2010 --  Just got home for a long drive back from san diego why did the drive home seem to take so much longer http://myloc.me/7oxNY
Sun May 23 14:22:31 PDT 2010 --  Rascoe's house of chicken and waffles @Jaheezyefbaby ill bring you back a two piece and a biscuit son http://tweetphoto.com/23693432
Sun May 23 11:57:18 PDT 2010 --  Rockstar juice guava flavor is the bee's knees http://myloc.me/7nN7H
Sun May 23 11:54:53 PDT 2010 --  Its official blankie is retired http://myloc.me/7nMZI
Sun May 23 11:52:07 PDT 2010 --  @Jaheezyefbaby yeah I hrd my bad abt the last msg I met 2 put U on it but I guess twttr wanted U 2 B special & have yr own
Sun May 23 11:41:59 PDT 2010 --  Thank you to @Jaheezyefbaby for always coming thru when I need you the most. You are irreplaceable thanks brotha http://myloc.me/7nMfZ
Sun May 23 09:46:06 PDT 2010 --  Thank you to all the fam who are holdin it down an the *6 memorial run @djflowyo , @mestiso863 , @Antwanski, + (cont) http://tl.gd/1eq7jd
Sat May 22 19:21:38 PDT 2010 --  Kickin it and drinking /w bbq in action in oceanside. Yeah LG (Life's Good) http://myloc.me/7lTBv
Fri May 21 09:14:19 PDT 2010 --  @famousthreadz http://tweetphoto.com/23331122 right on long drive but I made it
Fri May 21 08:23:36 PDT 2010 --  @frannieface I'm in SD with every everyone paulas been here all week
Fri May 21 06:34:39 PDT 2010 --  16 miles 2 go
Fri May 21 03:57:01 PDT 2010 --  Coming up on the grapevine
Fri May 21 02:00:31 PDT 2010 --  245 miles to LA thank god for music
Thu May 20 15:37:56 PDT 2010 --  @tweetWhiteMike no question just answers be a yes man
Thu May 20 00:33:30 PDT 2010 --  @TruWifeyandMama good night love I will see you soon I miss you. 143 baby
Tue May 18 12:12:40 PDT 2010 --  @tweetWhiteMike right on fam you know your always welcome
Tue May 18 09:43:24 PDT 2010 --  Just got 2 work @TruWifeyandMama just droped me off. She goin on a trip in her favorite rocket ship. I'm gonna miss her. But C U in SD baby
Mon May 17 22:40:22 PDT 2010 --  @TheOfficialANAK dope ill check it out
Mon May 17 22:20:58 PDT 2010 --  #whitemikequotes I have a inney and I'm not talking about my belly button
Sun May 16 22:26:24 PDT 2010 --  RT @Jaheezyefbaby: #whitemikequotes "I wish this was an acme cartoon shit so I can smash u with and anvil!"
Sun May 16 18:25:19 PDT 2010 --  RT @frannieface: Mirror, mirror on the wall..who's the baddest if them all? @therealjulius. that's who..thought (cont) http://tl.gd/1b4juh
Sun May 16 17:36:36 PDT 2010 --  @TheRealJuliusIF... @TheRealJulius = Superman Then Mirror = Crypotinite
Sun May 16 17:34:02 PDT 2010 --  RT @Jaheezyefbaby: @TheRealJulius hey fam just wanted to make sure your ok.// that mans the superman flying off stages of course he's ok
Sun May 16 14:30:13 PDT 2010 --  @freshxsoul tell him to get your name on his ring finger represent
Sun May 16 14:09:04 PDT 2010 --  @freshxsoul is he getting a tat also
Fri May 14 15:14:45 PDT 2010 --  RT @djflowyo: THE FEELGOOD is back in Sac : downtown @ blush : http://tweetphoto.com/21489361
Mon May 10 17:29:59 PDT 2010 --  RT @tweetWhiteMike: Bout 2 get it in wit ths new Madden 2011 Roster!! Taylor Mays let's C wht it do.. // when you ready to get spanked again
Sat May 08 11:22:05 PDT 2010 --  RT @Jaheezyefbaby: Tell me something good people! I just saved a ton of money on my car insurance
Thu May 06 17:41:42 PDT 2010 --  RT @Antwanski: thx 4 luv everybody!!!!! Let me know if u need car, health, & home insurance from now on! LOL u set it up & ill write it 4 U
Mon May 03 22:03:10 PDT 2010 --  RT @tweetWhiteMike: Jus hit this square for the 50!! http://twitpic.com/1ktr2q just let me know when you down to get spanked again
Mon May 03 19:55:48 PDT 2010 --  Just had ice cream with the fam now my wife is cooking dinner no doubt she knows the way to my heart... I LOVE HER
Sat May 01 11:35:55 PDT 2010 --  @tweetWhiteMike where you at tonight for the fight
Fri Apr 30 15:00:13 PDT 2010 --  RT @Antwanski: I don't know why dey so mean toe me.. Maybe cuh im Biet-No-Me ladee!! LOL @SiscoWhat .. From Mo-Det-toe! LOL / lmao
Tue Apr 27 19:58:11 PDT 2010 --  RT @Antwanski: Just saw a big ass tree branch fall on a parked truck / hope he's covered under "other than collision" that's a test question
Sat Apr 24 12:38:07 PDT 2010 --  RT @Jaheezyefbaby: I bumped an old ladies boob with my hand...awwwwwwwwkward. #FML pervert lmao
Fri Apr 23 18:26:31 PDT 2010 --  @djflowyo where u havin that?!? U say food, I come running!! LoL
Wed Apr 21 08:51:39 PDT 2010 --  RT @RevRunWisdom: Try and fail but dont fail to try!
Tue Apr 20 22:02:05 PDT 2010 --  RT @TheRealJulius: TUESDAY MIX IN FULL EFFECT HAPPY 420!!! RT PLEASE (Broadcasting live at http://ustre.am/ddMB)
Tue Apr 20 08:46:14 PDT 2010 --  RT @RevRunWisdom: R I P Guru. One of a kind Poet & hip hops finest,, U'll be greatly missed
Sun Apr 18 13:32:16 PDT 2010 --  @Donjuanavin un-edited version of travie mccoy billionaire
Sun Apr 18 13:19:21 PDT 2010 --  My phone started playing music during the priest homily today we were in the very front row #Fail
Sun Apr 18 11:42:04 PDT 2010 --  @iFollowBigAl you should play that billionaire song by travie mccoy
Sun Apr 18 11:40:06 PDT 2010 --  Wow its nice today... Gonna roll out to davis to take pictures of my wife and kids. Maybe even feed the ducks. Finally spring is here
Sat Apr 17 11:46:03 PDT 2010 --  Sat sucks at work
Fri Apr 16 12:25:16 PDT 2010 --  RT @Antwanski: "I never sleep, cuz sleep is the cousin of death.. " PRE:MONTH so does that make napping deaths 2nd cousin twice removed
Thu Apr 15 22:36:47 PDT 2010 --  RT @TruWifeyandMama: Gona make fundraiser goodies 4 march of dimes If u wnt 2 support a gd cause & buy turkey lumpia! 25pcs 4 $20! Paulamade
Thu Apr 15 19:30:15 PDT 2010 --  RT @Antwanski: Pls. RT/ RT HEEEEEEEEEEEY VOTE @Thisisdutch for 106 KMEL #BayAreaFreshmenTop10 @djamen3000
Thu Apr 15 19:10:46 PDT 2010 --  @Antwanski who's freddy roach and the john madden
Tue Apr 13 20:06:33 PDT 2010 --  @JimCarrey I'm not offended I think the things you say are hilarious people get ofended because the truth hurts lmao
Tue Apr 13 08:57:37 PDT 2010 --  RT @tweetWhiteMike: E40 & Sick wid it Presents @CousinFik debut #NOGRAVITY GET IT NOW FREE--> http://tiny.cc/yhcre No Catch jus SLAP & RT!
Mon Apr 12 22:59:09 PDT 2010 --  @Antwanski whr did U hear that I thin we R gonna have 1 soon but its more speculation I think in a week we will have 1. pray that wr safe
Sun Apr 11 00:08:20 PDT 2010 --  @tweetWhiteMike I was hitting you cause brenda wanted to go to club tre and was wondering if you would be there
Sun Apr 11 00:07:21 PDT 2010 --  @tweetWhiteMike when ever man you know my home is always open to you
Sat Apr 10 22:32:56 PDT 2010 --  @tweetWhiteMike you chllin in sac tonight
Sat Apr 10 17:59:28 PDT 2010 --  @boombaclot congratulations!!! @MsKerstin has made a honest man out of you
Sat Apr 10 17:27:27 PDT 2010 --  The little yoda http://tweetphoto.com/17972476
Tue Apr 06 21:56:04 PDT 2010 --  @JimCarrey any new movies coming out
Fri Apr 02 16:35:48 PDT 2010 --  RT @JimCarrey: I got an idea! y dont all of us bewildered Catholics skip church ths year, & rent 'Jesus Christ Superstar'! Sssss'awesome!!!
Fri Apr 02 00:02:06 PDT 2010 --  Usher - papers
Thu Apr 01 21:38:48 PDT 2010 --  @Jaheezyefbaby daddy huh drop the kids off at the pool
Thu Apr 01 14:59:34 PDT 2010 --  Leaving work at 2pm laid off due to customer shortage man this economy sucks
