Fri Aug 28 22:21:46 PDT 2015 --  Work early tomorrow so set all @NBCSportsSoccer games to record! #EPL @ChelseaFC
Mon Aug 17 17:05:05 PDT 2015 --  The #Supercopa has now had four winners in the last four years: Real Madrid in 2012; Barcelona in 2013; Atlético in 2014; Athletic in 2015.
Mon Aug 17 16:54:28 PDT 2015 --  The best Ross since Geller. The MIB SHOW tonight at 11pm ET on @NBCSports cc: @RBarkley20 pic.twitter.com/9tmoKekrKS
Mon Aug 17 16:05:05 PDT 2015 --  No question Man City are in top form and Chelsea are in some disarray. Something not quite right. Look flat and off pace. But why ?
Mon Aug 17 15:42:57 PDT 2015 --  MATCH-REPORT: #Swans U21s earn first win in #BU21PL over @OfficialBHAFC >> http://po.st/UD7o15  pic.twitter.com/sEH5K9naQt
Mon Aug 17 15:13:25 PDT 2015 --  Jack Grealish scores for #AVFC under-21s this evening. Carles Gil and Adama Traore also get a run out for the development side
Mon Aug 17 13:49:12 PDT 2015 --  30 million man Pedro https://vine.co/v/epjIKpeHjnn 
Mon Aug 17 05:29:15 PDT 2015 --  RETWEET if @JackButland_One was your #SCFCMOTM from last weekend's draw against @SpursOfficial pic.twitter.com/OFHsz2itlV
Mon Aug 17 05:31:18 PDT 2015 --  He certainly made an impact after coming on. RETWEET if Stephen Ireland gets your vote for #SCFCMOTM pic.twitter.com/GpNmRlqkEW
Sat Jun 27 02:54:46 PDT 2015 --  Why people keep saying Welcome Back Shinji? This not Kagawa you racist sons-of-bitches!! pic.twitter.com/2GCR0T9JmF
Sun Aug 16 13:44:14 PDT 2015 --  Besiktas U12. Take a bow son. pic.twitter.com/4bN8zuZSbc
Sun Aug 16 09:12:15 PDT 2015 --  John Terry: Has been substituted off in a Premier League match for the first time since May 2013 (vs Aston Villa) #cfc
Sat Aug 15 18:23:30 PDT 2015 --  @MenInBlazers just heard ESPN Sportscenter call Lukaku, "Loo-koo-koo" 4 times in a row. #smh
Sat Aug 15 14:13:02 PDT 2015 --  #LCFC have won 28 #BPL points since 1 April; more than any other side... pic.twitter.com/WvknVSShKw
Sat Aug 15 14:45:07 PDT 2015 --  Leicester City have taken an incredible 28 points from the last 33 available in the Premier League. WWWWLWWDWWW pic.twitter.com/Oy2S8pgD3R
Sat Aug 15 08:40:56 PDT 2015 --  So far this season Im very content with the @SwansOfficial summer transfers. #Swans #SWANEW @AyewAndre could be another @EuropaLeague soon!
Sat Aug 15 08:21:17 PDT 2015 --  Antoine Griezmann has been handed a pay rise & the minimum release clause in his contract 'significantly increased'. pic.twitter.com/hgs9H15mjB
Sat Aug 15 08:33:50 PDT 2015 --  #Surprise of the season @LCFC so far are picking up where they left off last season. @Mahrez22 #WhuLei https://twitter.com/LCFC/status/632568822667563008 …
Fri Aug 14 17:39:18 PDT 2015 --  Good idea! You go to games for the atmosphere and experience, stay at home for the view. #BuLi @BVB #payattention https://twitter.com/FOXSoccer/status/632347242850988032 …
Fri Aug 14 15:41:58 PDT 2015 --  What a tie!! Some one great is going to get knocked out #DBFcup @VfL_Wolfsburg are a legit top 4 team in the #BuLi https://twitter.com/FCBayernEN/status/632303214159884289 …
Fri Aug 14 15:02:29 PDT 2015 --  Not in a million years I would have seen this coming but never count out #msn. Congrats to @AthleticClub https://twitter.com/goal_intl/status/632310002653491200 …
Thu Aug 13 20:09:43 PDT 2015 --  This squad makes me sick. Dunga is holding back numerous players. @Phil_Coutinho had a great season with #LFC https://twitter.com/ESPNFC/status/632024870130290688 …
Thu Aug 13 18:06:49 PDT 2015 --  FT: @NYCFC defeat @DCUnited 3-1 behind @guaje7villa's 14th goal of the season. http://soc.cr/QSWUK  pic.twitter.com/V8a0aoscQg
Thu Aug 13 16:34:38 PDT 2015 --  Beast.. American football players sit out weeks with this and they say their game is "the roughest" game out there https://twitter.com/ESPNFC/status/631969741314265088 …
