Sat Aug 29 12:51:15 PDT 2015 --  pic.twitter.com/9l0b7TqiWV
Fri Aug 21 17:47:14 PDT 2015 --  🏻️ pic.twitter.com/o40RCfFsu0
Tue Aug 25 19:11:09 PDT 2015 --  You're as sweet as candy. pic.twitter.com/RQDtyD1TGb
Wed Aug 26 06:48:31 PDT 2015 --  pic.twitter.com/pBvXU72uou
Thu Aug 27 17:59:26 PDT 2015 --  "Would you like to get a cup of moffe with kee?" - Amy Poehler pic.twitter.com/3GPF9jhKM4
Wed Aug 26 18:46:12 PDT 2015 --  Cute hand tattoos I did. To get tattooed by me you can book on my website! pic.twitter.com/e5l4sWjUAY
Wed Aug 26 13:03:18 PDT 2015 --  Sheer beauty. Close up of a precious embroidery with floral embellishments masterfully han… http://ift.tt/1MVcVO2  pic.twitter.com/9Hn6zxBYfV
Wed Aug 26 12:57:03 PDT 2015 --  "No sabes si el sentimiento es real hasta que lloras."
Wed Aug 26 12:56:55 PDT 2015 --  Голая Кара Делевинь рекламирует помаду http://www.intermedia.ru/news/282684 
Wed Aug 26 08:00:04 PDT 2015 --  Спорить с женщиной — всё равно, что пытаться утопить воду, сжечь огонь, закопать землю, поймать воздух.
Wed Aug 26 09:29:06 PDT 2015 --  Угадайте, что это? Хорошо знакомые вам продукты в их "настоящем" виде: http://www.anews.com/p/29471764/?source_id=top … pic.twitter.com/SjQLcw5s2v
Sat Aug 22 20:55:34 PDT 2015 --  Zendaya is at the show! #1989TourLA pic.twitter.com/lkuKciVapN
Thu Aug 13 12:45:35 PDT 2015 --  Очень не хочется терять время и свою энергию впустую... https://twitter.com/aizaadolmatova/status/631542993011347456 …
Tue Aug 11 04:49:27 PDT 2015 --  И о тебе я напишу красивый роман, в котором я останусь с тобой. Где никому тебя не отдам, ты мой, только мой.
Wed Aug 12 05:52:08 PDT 2015 --  Надоело кому-то что-то доказывать. Мне этого совсем не нужно. Отстаньте! P.S. афигенная накидка от phraseologyla) pic.twitter.com/Ylu6AV6eFO
Wed Aug 12 06:13:46 PDT 2015 --  Я не стала любить тебя меньше, просто решила, что стоит ценить себя больше.
Sun Aug 23 09:07:52 PDT 2015 --  Tons of stars hit up @taylorswift13's show last night, including @ninadobrev & @Zendaya! http://jus.tj/r2y  pic.twitter.com/15kQBfJ99f
Sat Aug 22 23:28:49 PDT 2015 --  good night...sleep tight...wake up in GOD's sunlight xo
Mon Aug 24 12:34:01 PDT 2015 --  Star Tracks: Monday, August 24, 2015 - ROLLING AROUND http://www.people.com/people/gallery/0,,20947208_30378013,00.html … via @People
Tue Aug 25 08:17:02 PDT 2015 --  Не дайте одиночеству толкнуть Вас в объятия человека, к которому не лежит душа. Рано или поздно эти объятия Вас задушат.
Mon Aug 24 13:02:45 PDT 2015 --  Не будьте горды с теми, с кем ваша душа, желает сходить с ума
Tue Aug 25 11:04:15 PDT 2015 --  Я люблю тебя ЖИЗНЬ - моя непутёвая. Обе дуры мы с тобой, но такие клёвые... pic.twitter.com/vUnrnbm2Yc
Sat Feb 28 02:25:26 PST 2015 --  Некоторым людям так и хочется подарить открытку с надписью: «Двуличность — не значит многогранность».
Sat Feb 28 03:46:00 PST 2015 --  Я тебя люблю.
Wed Mar 04 06:26:06 PST 2015 --  “ @Sweet_Pathos: - А ты замуж когда? - Я?! Ведьмы замуж не выходят. Они котов заводят. Чаще чёрных. pic.twitter.com/U9y0ggfD8C” @AizaDolmatova
