Thu Aug 27 08:25:30 PDT 2015 --  The weather at Gillette is going to be on point for Saturday's show 🏻 #CountryFest
Tue Apr 14 17:02:19 PDT 2015 --  E:60 Dream on
Thu Apr 09 07:29:52 PDT 2015 --  Super anxious to get out of work and watch the masters
Mon Apr 06 14:05:14 PDT 2015 --  The new nike golf commercial of a young Rory mcilroy watching tiger play is the best commercial of all time.
Sun Mar 29 08:18:04 PDT 2015 --  Keegan Bradley and Luke Donald golfed and played hoops with Michael Jordan and Tom Brady. http://bit.ly/1Elcvwi  pic.twitter.com/8LBzuK2rPT
Fri Mar 27 11:24:58 PDT 2015 --  They just asked Hernandez wife what time she woke up march 17th 2013. I can't remember what I ate for breakfast.
Fri Mar 20 01:32:14 PDT 2015 --  After one day of the tournament, only 272 perfect brackets remain from the 11.57 million that were filled out on http://ESPN.com 
Thu Mar 19 11:51:54 PDT 2015 --  100% convinced that if Joe Maiella was coaching Iowa State, they would have won that game by 30.
Wed Mar 18 18:08:11 PDT 2015 --  Oklahoma to the final four baby! #sooners
Tue Mar 17 12:25:17 PDT 2015 --  I keep second guessing my brackets and I know it's gonna end up biting me in the ass.
Fri Mar 13 11:05:20 PDT 2015 --  Free agent RB Reggie Bush is visiting the Patriots today, per @FieldYates.
Thu Mar 12 10:15:03 PDT 2015 --  When you're playing best ball and your squad pars a par 5 pic.twitter.com/iKBleQBJVO
Tue Mar 10 18:33:17 PDT 2015 --  I will never understand this move by the jets. Ya lets shell out a quick 70 million when Geno smith is still our quarterback.
Mon Mar 09 04:07:26 PDT 2015 --  Didn't want to call out of work but I slept for about 27 minutes last night and feel like I got poisoned #5sickdaysleft
Sun Mar 08 14:24:37 PDT 2015 --  I've had two bowls of ice cream, a slice of chocolate cake, a slice of apple pie, a whole sleeve of Oreos and about 4 sodas today #eatclean
Sun Mar 08 09:30:33 PDT 2015 --  On the verge of passing away any minute now...
Tue Mar 03 12:10:14 PST 2015 --  Basement goals pic.twitter.com/LYM5ZbZAY0
Tue Mar 03 06:39:56 PST 2015 --  Fun fact of the day: When Devin Murphy was 3 he got so mad he bit @biggaymurph dick while he was sleeping and still hasn't apologized.
Sun Mar 01 07:43:39 PST 2015 --  Sunday funday at 12 Cambridge ave
Thu Feb 26 15:54:04 PST 2015 --  My parents are leaving tomorrow to head to Aruba for a week. Another vacation I wasn't invited too...
Wed Feb 11 16:14:30 PST 2015 --  Can't wait to win 550 million after I smash these powerball numbers #guaranteed
Mon Feb 09 14:50:47 PST 2015 --  So if you live in Boston I guess you just don't exist tomorrow?
Sun Feb 08 11:22:08 PST 2015 --  Snowboarding all weekend has completely destroyed me physically and mentally.
Sun Feb 08 03:50:41 PST 2015 --  Flan was almost a criminal lol
Fri Feb 06 12:01:40 PST 2015 --  Just missed my exit on 93 because the worlds most popular Jew had a funeral line about 90 cars deep. #legend
Tue Feb 03 14:51:49 PST 2015 --  Convinced my heart is going to pop like a balloon if I keep taking this same preworkout #cocaineinabottle
Mon Feb 02 14:02:48 PST 2015 --  I have never been more genuinely happy for someone who I don't even know in my entire life #TB12
Sun Feb 01 15:02:38 PST 2015 --  Revis for MVP LOCK IT UP BABY! #24
Sat Jan 31 08:47:13 PST 2015 --  Shreddin powdah
Thu Jan 29 05:37:58 PST 2015 --  The traffic in the city is absolutely absurd this morning
Mon Jan 26 16:45:45 PST 2015 --  All the moms from my neighborhood are turning up in my kitchen and I am counting down the minutes until they all leave and never come back.
Sun Jan 25 05:56:51 PST 2015 --  There aren't many things more enjoyable to me than sleeping in and making a bomb breakfast #ItsTheLittleThings
Sun Jan 18 11:47:39 PST 2015 --  11 yrs ago today: Ty Law picks off Peyton Manning 3 times in the AFC Championship to send the Pats to SB 38. pic.twitter.com/ipAWQmReFs
Fri Jan 16 04:30:38 PST 2015 --  8 more hours of work until I bring out my inner bobby light #dirtygirls #club550 @Mr_Flantastic_
Thu Jan 15 05:09:26 PST 2015 --  At least everyone has an excuse as to why they were late to work today... Anyone wanna get breakfast?
Wed Jan 14 05:58:24 PST 2015 --  Call me crazy but as long as I have my coffee, I honestly don't mind sitting in traffic during the morning commute.
Sat Jan 10 11:40:23 PST 2015 --  Don't play @DerekSneed in trivia crack unless you have him under supervision because he cheats and uses google on his laptop #growup
Fri Jan 09 09:04:43 PST 2015 --  Can't wait to not do alcohol tonight. #cleansingmysoul
Thu Jan 08 18:03:34 PST 2015 --  Was so bored I found myself going through my facebook posts from 2007 and I have no idea why I thought what I was posting was acceptable.
Tue Jan 06 06:34:38 PST 2015 --  There's gonna be one less Ph.D given out at Harvards graduation this summer if they don't stop sprinting like wild animals across the street
Sat Jan 03 05:27:00 PST 2015 --  Waking up not hungover on a Saturday is a whole new world.
Thu Jan 01 14:40:55 PST 2015 --  I literally can't wait to not drink for 3 months and actually feel like a normal person again #wetbrain
Tue Dec 30 10:22:51 PST 2014 --  All I can think about is slugging about 45 6 oz. beers and throwing all my fun coupons on the roulette wheel at Foxwoods #NewYearsEve2K14
Thu Dec 25 07:28:34 PST 2014 --  If you would rather watch a Christmas story over Jingle all the way ... Your an idiot.
Wed Dec 24 15:43:06 PST 2014 --  Me and Dan are gonna go to the strip club because our families hate us if anyone wants to join
Sun Dec 21 07:16:42 PST 2014 --  There's only room at the top for one of us... @FriZZbeee
Thu Dec 18 16:01:35 PST 2014 --  Having to be responsible at a party for the first time in my life should be very interesting #companyholidayparty
Sun Dec 14 17:00:40 PST 2014 --  They stopped the game to congratulate Kobe Bryant passing Michael Jordan. This is ironic cuz Kobe never listens when someone says "stop."
Sun Dec 07 05:08:30 PST 2014 --  Kicking the nephew-flu feels like someone just handed me the keys to the 1961 Ferrari 250 GT California. I'm back, baby! Fantasy Zone 704.
Thu Nov 27 07:56:04 PST 2014 --  Any girls out there wanna pretend to be my girlfriend today so my whole family doesn't think I'm gay still.
Sun Nov 23 19:10:00 PST 2014 --  I'm already hungover...
Sun Nov 23 18:05:18 PST 2014 --  That was easily the best catch I have ever seen in my life
Fri Nov 21 20:07:14 PST 2014 --  Murph kisses dudes
Mon Nov 17 16:28:23 PST 2014 --  Walking off the green after a birdie like https://vine.co/v/O5U5g1FPApF 
Thu Nov 13 14:03:32 PST 2014 --  There are few things in this world that make me happier than Elia's chicken salad.
Sun Nov 09 17:35:22 PST 2014 --  Foxwoods took a serious toll on my body and soul.
Sat Nov 08 20:40:41 PST 2014 --  Adam Siegel is way cooler than eric Siegel
Sat Nov 08 04:36:59 PST 2014 --  I physically can't sleep in anymore.
Fri Nov 07 14:28:00 PST 2014 --  #Boston. 2 nights at @GilletteStadium sold out in 12 min?! So ready for you guys. #TheBigRevivalTour #NoShoesNation pic.twitter.com/68Tke0P19v
Fri Nov 07 06:14:50 PST 2014 --  Woke up naked and afraid. #alcohol
Fri Nov 07 05:15:42 PST 2014 --  I should probably never drink again...
Thu Nov 06 11:51:16 PST 2014 --  Fastest way to get a six pack pic.twitter.com/W25I8eL1ML
Sun Nov 02 16:16:19 PST 2014 --  Rob Gronkowski pic.twitter.com/g0gsJQgwbo
Sun Nov 02 16:53:50 PST 2014 --  Gronk>AnyTightEnd
Sun Nov 02 16:52:48 PST 2014 --  Brady>Peyton.
Sun Nov 02 06:51:34 PST 2014 --  Hot damn I wish I was going to the pats game today!
Fri Oct 31 15:56:03 PDT 2014 --  My dad is having way too much fun handing out candy and trying to scare every single kid.
Thu Oct 30 16:13:40 PDT 2014 --  About time Looch got his hands dirty
Tue Oct 28 07:54:05 PDT 2014 --  I still feel super loopy from sunday...
Fri Oct 24 14:21:03 PDT 2014 --  Every Friday I need to take a nap after work if I want to make it out at night #oldman
Wed Oct 15 16:06:26 PDT 2014 --  Thank you to everybody for the birthday wishes!
Sun Oct 12 05:31:46 PDT 2014 --  Honestly fuck Starbucks and all the hipsters that go there I just paid 4 bucks for a coffee the size of a shot glass
Thu Oct 09 16:58:56 PDT 2014 --  Went out to dinner with the family for my moms birthday and I came to the conclusion that I genuinely enjoy wine with dinner #imsoft
Wed Oct 08 04:14:56 PDT 2014 --  The Bruins tonight, Colts/Texans tomorrow, weekend lineup has me fired up
Sun Oct 05 17:36:47 PDT 2014 --  He's baaccckkkk!!! #TB12
Thu Oct 02 16:27:56 PDT 2014 --  My parents are goin to foxwoods tomorrow night, someone call alan-Michael for some 30 racks!!! #highschoolalloveragain
Wed Oct 01 06:54:16 PDT 2014 --  Just ordered a pumpkin coffee at dunkins and I immediately felt like all the other guys in line were so let down...
Sun Sep 28 07:01:07 PDT 2014 --  Hey @RickieFowlerPGA you got walked all over by @McIlroyRory today. #youmadcauseyourbad
Sun Sep 28 06:51:52 PDT 2014 --  Team Europe is about to put an absolute beatdown on USA #embarrassing
Wed Sep 24 14:52:26 PDT 2014 --  I think I've liked about 12 random tweets and facebook statuses by accident today #butterfingers
Wed Sep 17 04:32:29 PDT 2014 --  I have the attitude of a teenage chick in the morning until I get my coffee
Mon Sep 08 13:14:18 PDT 2014 --  If you can eat a nature valley bar without getting crumbs all over the place I have nothing but #respect for you
Sat Sep 06 13:58:47 PDT 2014 --  Sharknadoooo
Wed Sep 03 07:07:51 PDT 2014 --  I would love nothing more than to skip class today and drink all day like a cool college kid #collegewasfun #worksoverrated
Mon Sep 01 19:38:33 PDT 2014 --  Depressing Fact: @McIlroyRory's swing at age 3 was better than mine now https://vine.co/v/MYxzv7wdIW0 
Thu Aug 21 16:07:38 PDT 2014 --  My parents are out drinking with their friends from the neighborhood and I'm sitting here on my couch watching tv like a loser...
Sat Aug 16 15:33:22 PDT 2014 --  Can't decide if I love or hate the fact that Kevin Crowe is in Wilmington for the night?
Sat Aug 16 09:04:22 PDT 2014 --  Wilmington charity wiffle ball tournament for the day #townies
Fri Aug 15 13:55:04 PDT 2014 --  Not even remotely sad the summer is coming to an end... It's football season.
Mon Aug 11 20:20:15 PDT 2014 --  Thank you New England. Last night was amazing. I will never forget it. Love y'all.
Mon Aug 11 14:49:24 PDT 2014 --  I'm paying for it now but this weekend was well worth every minute of depression today #postcountryfestblues
Mon Aug 11 07:09:39 PDT 2014 --  Flan got put in protective custody....lol
Mon Aug 11 06:37:52 PDT 2014 --  Gonna be an absolute bum all day
Sun Aug 10 23:07:29 PDT 2014 --  Unbelievable concert
Sun Aug 10 21:01:58 PDT 2014 --  Luke was out of control tonight #freeflan
Sun Aug 10 06:59:11 PDT 2014 --  I'm going to be that can't talk-can't walk,drunk piece of shit at the concert in 2 hours
Thu Aug 07 18:44:52 PDT 2014 --  Fake life with the trio of Murphy meatheads
Thu Jul 31 07:08:29 PDT 2014 --  I think i saw Tim Kurkjian's side of the table raise a couple inches after he broke the news of the Red Sox trade on sportscenter
Thu Jul 31 07:07:39 PDT 2014 --  I don't like the trade... I love it!
Mon Jul 28 17:05:27 PDT 2014 --  I love how fired up the market basket employees get when I beep and drive by #ArtieTmynigga
Thu Jul 24 07:53:44 PDT 2014 --  Happy birthday to the real party boy himself! Enjoy the day buddy @ItsMyGuy
Sun Jul 20 09:52:11 PDT 2014 --  Driving in Dylan's car is absolutely terrifying
Sat Jul 19 08:40:05 PDT 2014 --  Billerica absolutely blows
Fri Jul 18 13:22:19 PDT 2014 --  Caught some new kid at work just casually take a sip of my coffee when he thought I wasn't around and I didn't say anything #powermove
Wed Jul 16 18:15:48 PDT 2014 --  Drake is the most awkward host I have ever seen in my entire life
Sun Jul 13 17:58:41 PDT 2014 --  Going straight edge.
Sat Jul 12 12:58:15 PDT 2014 --  Number 1 perk of living at home is having my mom iron my clothes before I go out because I can't iron for shit
Sat Jul 12 11:23:16 PDT 2014 --  Never go golfing with Dylan reed he loses all your clubs #scumoftheearth
Sat Jul 12 08:09:48 PDT 2014 --  Lone survivor might be one of the best movies I've ever seen #humbling
Thu Jul 10 15:29:25 PDT 2014 --  Anyone else trying to crush drinks at the golden ginger tonight?
Sun Jul 06 09:40:14 PDT 2014 --  This family party today might be the last one I can possibly deal with until Christmas #hungover #fakesleepingallday
Fri Jul 04 07:04:43 PDT 2014 --  JOEY CHESTNUT!!!
Tue Jul 01 18:40:57 PDT 2014 --  If your one of the people at the jay-z concert and you don't tweet or Instagram a picture of the stage, did you actually go?
Mon Jun 30 18:48:26 PDT 2014 --  Does anyone else not have work tomorrow that wants to drink and do cool shit with me and @DerekSneed ?
Mon Jun 30 06:17:13 PDT 2014 --  I'm gonna be pretty upset if It rains on the 4th
Sun Jun 29 18:21:16 PDT 2014 --  Nathan for you is absolutely hilarious #dryhumor
Sat Jun 28 18:46:54 PDT 2014 --  Being sober on the train ride into Boston is a miserable experience
Fri Jun 27 12:46:35 PDT 2014 --  Out of work #LetsGetWeird
Fri Jun 27 07:33:26 PDT 2014 --  All I can taste is coogans dollar drafts, 3 can't come soon enough
Fri Jun 27 06:40:06 PDT 2014 --  Words can't explain how happy I am that it's Friday
Thu Jun 26 17:19:58 PDT 2014 --  Celtics need to pick cleanthony early #absolutestud
Sun Jun 22 19:16:35 PDT 2014 --  Sunday nights are depressing
Sun Jun 22 06:34:46 PDT 2014 --  I should be put down after my performance yesterday #onalcohol #2beerqueer
Sat Jun 21 15:35:58 PDT 2014 --  American kids by Kenny Chesney #absolutejam
Fri Jun 20 08:09:12 PDT 2014 --  8 more hours of work and then I'm gonna be an absolute drunk all weekend #longweek
Thu Jun 19 16:44:12 PDT 2014 --  Happy birthday to the one and only second boy @cbruno20 #missyoubud
Tue Jun 17 19:05:07 PDT 2014 --  Working til 3 in the morning should be fun...
Tue Jun 17 14:05:07 PDT 2014 --  Has anyone else got their invite in the mail for Hacheys summer pool party? Because I think mine got lost this year #pissed
Mon Jun 16 03:19:33 PDT 2014 --  Back on the work grind after a nice little break, this is gonna suck so much!!!
Sun Jun 15 10:20:37 PDT 2014 --  If you go golfing and decide to walk instead of getting a cart you can't be trusted
Sat Jun 14 14:38:59 PDT 2014 --  I wish there was a Coogans in Wilmington, walking distance from my house #milliondollaridea
Wed Jun 11 14:09:13 PDT 2014 --  First time back at the gym after destroying my body for 5 days is going to be a miserable experience
Tue Jun 10 09:35:24 PDT 2014 --  Undoubtedly had the best 5 days/nights of my life in Las Vegas #solong #untilnextyear
Sun Jun 08 11:09:59 PDT 2014 --  Thought we were rich last night #light #bottleservice #funtownUSA @club_bonica pic.twitter.com/ynDe1aYIiI
Fri Jun 06 15:38:19 PDT 2014 --  @DanDell24 please don't die... I need you on the weekends.. #DidYouDieTodayStu
Fri Jun 06 15:35:48 PDT 2014 --  I know what happens in Vegas stays in vegas... But you guys could at least send me some snap chats... #jealous @DanDell24 @Mr_Flantastic_
Wed Jun 04 17:20:41 PDT 2014 --  Trying to hopefully sleep for a few hours , Vegas in the morning baby!
Mon Jun 02 18:07:58 PDT 2014 --  Crushing mixies with my favorite roommate because were both going on vacation this week #FatherSonbonding
Wed May 28 08:25:30 PDT 2014 --  6 more work days stand in between me and Las Vegas #checkedoutalready
Mon May 26 14:40:35 PDT 2014 --  No better feeling than the shower after the beach
Fri May 23 15:11:27 PDT 2014 --  Worst saying ever "there's no such thing as a bad question". Yes there is ppl ask dumb fucking questions all the time
Fri May 23 07:12:26 PDT 2014 --  Holy duncaroos it's Friday!
Wed May 21 09:31:52 PDT 2014 --  Got offered tickets to the sox game tonight but I can't go because I'll be stuck at work #miserable
Sun May 18 13:03:19 PDT 2014 --  He may not have the most talent but he sure does dress the part @fitzwittitz pic.twitter.com/wEdyW6HYLd
Sun May 18 08:54:22 PDT 2014 --  I hate the black lobster @cbruno20 @biggaymurph Bruno you good bro ? pic.twitter.com/7BtBgL1JhK
Sun May 18 08:47:36 PDT 2014 --  Anyone wanna golf later on today ?
Sun May 18 05:37:52 PDT 2014 --  5 hazel family breakfast!!! Thanks joe joe! @joeyB_316 @DanDell24 @biggaymurph @cbruno20 @ItsMyGuy @RachaelMelanson
Sat May 17 10:05:10 PDT 2014 --  Few more hours of being a college boiiiii pic.twitter.com/J3cLHLxqQk
Sat May 17 14:52:27 PDT 2014 --  The cool boy is officially a college graduate @DanDell24
Sat May 17 11:41:15 PDT 2014 --  @DanDell24 graduated from college today after finishing in only 3 years and remaining a virgin so his wedding night is special #saint
Sat May 17 11:32:47 PDT 2014 --  If @DanDell24 doesn't put his name down on the pronunciation sheet as "cool dan" then he seriously dropped the ball #graduationboii
Sat May 17 07:42:20 PDT 2014 --  Gonna try my hardest to get kicked out of graduation today after I get my diploma #seeyanever #SalemState14
Fri May 16 18:21:41 PDT 2014 --  So does this mean it's swiggas turn to get thrown around on a chair tomorrow at the black lobster like last year? @ItsMyGuy
Fri May 16 06:04:30 PDT 2014 --  @DanDell24 @rsearles175 #fakelife pic.twitter.com/xkaEzyeONO
Tue May 13 07:54:55 PDT 2014 --  Some little old lady at the ATM told me she was absolutely terrified because some guy on a bike is riding around Wilmington stealing purses
Sun May 11 17:31:16 PDT 2014 --  Can't wait to be down the cape #countingdownthedays
Sun May 11 09:58:07 PDT 2014 --  Mother's Day is cool and all but I honestly can't wait to get out of here and crush beers on the golf course #brutallyhonest
Sun May 11 08:04:24 PDT 2014 --  About to start drinking again because 8 hours of family activities must be the leading cause of suicide in 2014
Sat May 10 09:00:25 PDT 2014 --  If you could be one person in the world and you don't pick Johnny Manziel... Don't talk to me ever again because your an idiot.
Thu May 08 17:21:54 PDT 2014 --  That dude who got jacked up by clowney must want to kill himself every time that highlight gets shown on national tv
Thu May 08 08:24:44 PDT 2014 --  I wonder how many girls on this nice day are gonna tweet that they're bumping country music with their windows down?
Wed May 07 05:15:33 PDT 2014 --  In the morning the gym is full of roided out fathers #juicemonkeys
Tue May 06 04:55:05 PDT 2014 --  Taking a pre workout this early in the morning was a terrible idea
Mon May 05 17:13:29 PDT 2014 --  $32M for 36 minutes. I'm waiting for the PPV numbers to come in so I can make another $38M on the back-end. Making it a grand total of $70M.
Mon May 05 07:50:07 PDT 2014 --  Can't see shit for the first two hours after I wake up until my Allegra kicks in #allergyseason
Thu May 01 11:59:37 PDT 2014 --  Cant wait to get Dutch Wasted
Thu May 01 07:42:46 PDT 2014 --  Sweet prank phone call last night at least u did a great job of disguising your voice @KaylaNoellee
Wed Apr 30 14:07:58 PDT 2014 --  I have 10 crazy Dutch college kids in my house all bumping rick Ross and crushing booze in my kitchen #thedutcharewild
Wed Apr 30 07:47:35 PDT 2014 --  The Dutch are really comin today though
Sun Apr 27 12:49:40 PDT 2014 --  I've been pretty useless all day to say the least
Sat Apr 26 14:03:57 PDT 2014 --  Cause you got the soul and you know how to use it
Sat Apr 26 10:31:17 PDT 2014 --  Is Buchholz fucking serious? Dude can't fucking get anyone out the Blue Jays suck
Fri Apr 25 09:29:07 PDT 2014 --  Starting early and enjoying my last weekend of college.. And then I get to move home and get slapped in the face by reality #collegewasfun
Fri Apr 25 05:27:09 PDT 2014 --  Once I'm done writing this paper I'm hitting the alcohol #2weeksleft #fuckit
Wed Apr 23 16:54:30 PDT 2014 --  Well that was awkward ay?
Tue Apr 22 18:27:58 PDT 2014 --  One time blue jays one time!!!!
Tue Apr 22 06:31:28 PDT 2014 --  Allergies are back and in full force #miserable #eyesclosedshut
Mon Apr 21 18:08:59 PDT 2014 --  I'm never betting on sports ever again
Mon Apr 21 10:31:31 PDT 2014 --  Solo HR over the Green Monster for Rossy makes it 6-4! First homer of the year for #BlueWolf.
Sun Apr 20 17:07:44 PDT 2014 --  Curious as to how this new tv show #Salem is tonight #Salemtownie
Sun Apr 20 15:43:59 PDT 2014 --  #BostonStrong pic.twitter.com/44kXNDpWx6
Sun Apr 20 15:52:37 PDT 2014 --  There is absolutely no way the Red Sox lose this game the night before the marathon #BostonStrong
Sun Apr 20 09:35:31 PDT 2014 --  Can't wait to be asked the same questions by each and every aunt and uncle today ... Girlfriend? Job? How's school?
Sun Apr 20 07:12:38 PDT 2014 --  Wish I could call out sick from Easter dinner
Sun Apr 20 06:57:32 PDT 2014 --  Church should be a blast today ... Gonna be in the confession booth for a few hours.
Sat Apr 19 14:15:34 PDT 2014 --  Salem state tonight, why not? @DanDell24 @nick_strangie
Sat Apr 19 09:11:13 PDT 2014 --  Can't wait to meet up with the boys at the sox @DanDell24 @n_grassa3 @joeyB_316 @DMX @FloydMayweather @RobGronkowski
Sat Apr 19 09:03:56 PDT 2014 --  Bunch of degenerates in the bars drinking already for @t_conigs234 birthday Lets Go Sox
Sat Apr 19 09:07:06 PDT 2014 --  Sox game with the boys #america
Thu Apr 17 19:17:09 PDT 2014 --  Just took a sip of dip spit in a bud light bottle by accident and projectiled vomit all over my kitchen sink #sicklife
Thu Apr 17 19:15:36 PDT 2014 --  Thursday night, I am your disc jockey. Murphy's, let's party
Thu Apr 17 19:15:05 PDT 2014 --  Just took a sip of dip spit in a bud light bottle and just threw up everywhere #sicklife
Thu Apr 17 15:21:07 PDT 2014 --  Howling wolf for dinner #feedme
Thu Apr 17 08:51:59 PDT 2014 --  60 and sunny Saturday at Fenway #cantwait
Wed Apr 16 18:16:30 PDT 2014 --  I tell myself every day I'm gonna stop gambling but there's no chance that's gonna happen anytime soon #letsgoredsox
Tue Apr 15 19:36:39 PDT 2014 --  Watching this E:60 tribute of the marathon bombings really makes you realize bad things happen to great people #BostonStrong
Tue Apr 15 14:52:14 PDT 2014 --  I hate when people say "woof" it really grinds my gears
Mon Apr 14 14:24:23 PDT 2014 --  Couple casuals with homework never hurt anybody #2weeksleftfuckit
Mon Apr 14 09:50:00 PDT 2014 --  Hipster coffee shops make me feel uncomfortable
Mon Apr 14 06:10:23 PDT 2014 --  Nice weather tweet.
Mon Apr 14 05:17:33 PDT 2014 --  Well now that I know king Joffrey got smoked last night looks like I don't have to watch last nights episode #scumbags
Sun Apr 13 17:16:16 PDT 2014 --  Gonna sleep like a baby tonight
Sun Apr 13 14:28:06 PDT 2014 --  Dessert first!!! @Mr_Flantastic_ @DanDell24
Sun Apr 13 13:26:37 PDT 2014 --  That was the best meal I've ever had in my life #smokeybones for the win!
Sun Apr 13 10:45:00 PDT 2014 --  Merrimack outlets and smokey bones #sundayfunday
Sun Apr 13 08:39:58 PDT 2014 --  Club Pez was out of control last night @A_PEZ930
Sat Apr 12 20:47:31 PDT 2014 --  Ldc for life @biggaymurph pic.twitter.com/4IHuzIV2Po
Sat Apr 12 16:50:40 PDT 2014 --  Repost from last night #studs @dandell24 clubbonica @joeyb_316 @mr_flantastic_ http://instagram.com/p/mtXbYhy-Df/ 
Sat Apr 12 15:41:34 PDT 2014 --  Salem crew #college pic.twitter.com/TdpWYl1eNY
Sat Apr 12 13:07:55 PDT 2014 --  Kegs, country and backyard games
Sat Apr 12 09:27:31 PDT 2014 --  Day drinking, bruins, Red Sox, golf,and degening all day @club_bonica @Mr_Flantastic_
Fri Apr 11 07:22:45 PDT 2014 --  On a serious snapchat rampage this morning #snapsnap #happybird
Fri Apr 11 06:12:40 PDT 2014 --  This lady at the gym just started balling her eyes out because she couldn't do a pull-up #freakshow
Thu Apr 10 15:53:27 PDT 2014 --  After doing one assignment for 6 straight hours I need to do some alcohol
Thu Apr 10 09:42:12 PDT 2014 --  @DanDell24 can't wait to get outta work in the summer and drink beers, grill and listen to country music with Ron after work
Thu Apr 10 09:34:47 PDT 2014 --  Damn does it feel good to drive home with the windows down
Wed Apr 09 07:38:44 PDT 2014 --  Early birds get the worm #daboiz #golf @cbruno20 @DanDell24 @t_conigs234 pic.twitter.com/AoBmzzRpbk
Tue Apr 08 16:26:35 PDT 2014 --  My confidence level just took a serious drop thanks to @RachaelMelanson telling me I look like a pizza delivery boy...
Tue Apr 08 08:28:05 PDT 2014 --  I'm absolutely starving and all I have to eat is canned tuna or frozen chicken #toughgo... bagel world it is.
Sun Apr 06 12:13:18 PDT 2014 --  Happy birthday to the biggest gayest friend I'll ever have @biggaymurph
Sun Apr 06 08:17:16 PDT 2014 --  Today has some serious potential
Sat Apr 05 10:36:12 PDT 2014 --  Boston Burger company for the win!
Sat Apr 05 10:08:24 PDT 2014 --  Rene Rancourt is such a boozebag I love it #legend
Sat Apr 05 08:44:03 PDT 2014 --  Exactly two months from today boys.. Getting rich in the desert @Mr_Flantastic_ @club_bonica @rsearles175
Sat Apr 05 05:41:16 PDT 2014 --  Nothing better than waking up to breakfast already on the table #RiseandShine
Fri Apr 04 10:42:50 PDT 2014 --  Came pretty close to shedding a few tears watching the Red Sox ceremony #humbling #BostonFire
Thu Apr 03 12:27:55 PDT 2014 --  Off to Foxwoods with some studs @n_grassa3 @nick_strangie @DanDell24 @thejetisback @IamDJBillyC
Thu Apr 03 08:57:05 PDT 2014 --  Can we skip over spring and go straight to summer? Need the cape or will die.
Thu Apr 03 08:11:05 PDT 2014 --  If you don't like the cookie dough flavored iced coffee from dunkins we can't be friends
Wed Apr 02 18:54:57 PDT 2014 --  JA RULE CONCERT AT THE HOUSE OF BLUES MAY 7th. "Where would I be without my baby" @DanDell24 @biggaymurph @DirtyGramirez @DavioManuel
Wed Apr 02 08:47:35 PDT 2014 --  Sam hunt- (raised on it) needed to be released in two months and it would have been the summer jam for sure
Tue Apr 01 18:35:44 PDT 2014 --  Hot tub time machine gets better every time I watch it #GreatWhiteBuffalo #Kvals
Mon Mar 31 12:32:08 PDT 2014 --  Waddaya say now jonnyy lestahhh!
Sun Mar 30 20:06:08 PDT 2014 --  The wind and rain are absurdly loud I can't fall asleep
Sun Mar 30 20:00:32 PDT 2014 --  Good luck on the big test tomorrow cool boy @rsearles175 #NstarLegend in the making.
Sun Mar 30 07:22:21 PDT 2014 --  Took me about 3 minutes to realize I was showering with my boxers still on #onalcohol
