Tue Aug 25 09:54:46 PDT 2015 --  #thestrugle to keep your eyes open the first week of school. #eyeswontstayopen
Tue Aug 18 08:10:30 PDT 2015 --  I'm starting to think that Eph just has no shame. Cheated on his wife with Nora, Cheated on Nora with this lady. #TheStrain #controlyourself
Tue Aug 18 07:55:43 PDT 2015 --  No offense... But I would like to know why the Angel storyline is important. Just wondering! #TheStrain
Tue Aug 18 07:53:32 PDT 2015 --  Zack was like "why the fuck you calling me Z-man?" #TheStrain
Mon Aug 17 21:22:36 PDT 2015 --  Is love supposed to be madly passionate? Or can it be playful and peaceful? Love can be so crazy or a perfect oasis. #random
Mon Aug 17 20:54:42 PDT 2015 --  “Oh no. Don't smile. You'll kill me. I stop breathing when you smile.” #Lito #Sense8 pic.twitter.com/izMylN8iov
Mon Aug 17 20:55:29 PDT 2015 --  it's crazy how accurate this is pic.twitter.com/uwdttU2gse
Wed Aug 12 20:39:30 PDT 2015 --  I won't judge you because im a little fucked up myself
Sat Aug 15 18:56:10 PDT 2015 --  the human body has 7 trillion nerves and some people manage to get on every single fucking one of them
Sat Aug 15 18:57:26 PDT 2015 --  Female Things: I want to get hot but like I dont wanna stop living off junk food Motivational Speaker: You've got to want it. Be it.
Sat Aug 15 16:44:47 PDT 2015 --  Tonight kicks off @DoctorWho_BBCA's #DoctorsFinest and @FunctionalNerd breaks down "Blink" and "Waters of Mars." http://nerdi.st/1HLXgIE 
Sat Aug 15 17:36:28 PDT 2015 --  Kevin Hart is a beast pic.twitter.com/AZeF5l7YX2
Sat Aug 15 11:22:14 PDT 2015 --  The principal found her COLLARBONES too provocative for school. Something really needs to change. pic.twitter.com/LwnybXY27S
Fri Aug 14 18:46:54 PDT 2015 --  Can we talk about that performance by @IaMmECrew to the sounds of @PTXofficial #yaaaaaas
Fri Aug 14 03:10:01 PDT 2015 --  #HitTheQuan pic.twitter.com/iIp1HsvAFe
Fri Aug 14 11:05:54 PDT 2015 --  Ugh I really want to hurry and get my galaxy S6 edge! Like I want it now. #impatient #GalaxyS6edge
Fri Aug 14 10:55:46 PDT 2015 --  I'm not even gonna lie.. I'm low key obsessed with @KylieJenner #iwatchhersnapchats #sheissodorky #loveyoukylie
Tue Aug 11 11:13:57 PDT 2015 --  "Lemme hit the quan real quick" pic.twitter.com/KlxVkXlkjX
Tue Aug 11 14:32:44 PDT 2015 --  I wish I could solve my problems by throwing them off of a train. #TheStrain
Tue Aug 11 14:25:07 PDT 2015 --  Oh yes Fet... Please stick your face in that hole where a vamp could be. That's so wise.... #TheStrain #nope
Tue Aug 11 14:06:14 PDT 2015 --  Yaaaaas finally!!! They got rid of Ephs toupee! #TheStrain #goodbyehair
Tue Aug 11 14:03:06 PDT 2015 --  Eph should not be drinking before this very important mission... Or with scissors in his hand. #TheStrain #watchimcuthimself
Tue Aug 11 14:01:11 PDT 2015 --  Seriously Zack? You want to wait for your vampire mother? #stupidboy #TheStrain
Tue Aug 11 13:53:51 PDT 2015 --  Those feelers are fast and creepy AF. And that poor cop. They should have just told him he was infected.... #TheStrain
Tue Aug 11 02:09:01 PDT 2015 --  I've come to the conclusion that I am clueless in life. Like in all seriousness I don't know what to do about anything. #lostinlife #help
Mon Aug 10 22:43:52 PDT 2015 --  I need a motivational personal trainer. To text/tweet me to get out of bed and get my sweet ass to the gym. #anyvolunteers #tweetme
Thu Aug 06 23:19:46 PDT 2015 --  Late night natural hair selfies! Sometimes I'm just bored lol #selfie #latenightpics pic.twitter.com/XUzxzR3vdb
Thu Aug 06 17:47:33 PDT 2015 --  Can I just say that @SUPERCR3W gives me life!!!!! I'm so in love with them. They inspire me as I teach dance to kids. #abdc #borntodance
Thu Aug 06 08:05:34 PDT 2015 --  But no lies though. It's pays to be the oldest sometimes. Like being the first to get a car and have no curfew. #freedom #donthate
Thu Aug 06 08:04:47 PDT 2015 --  Example: I wake up at 7am to drive my sister to school, M-F. My bro gets to sleep in. #hethemiddlechild #nobeautysleepforme
Thu Aug 06 08:03:26 PDT 2015 --  Being the oldest child is some bullshit! It's like being born to work. I'm always taking care of somebody. #borntowork #nochillzone
Thu Aug 06 08:01:25 PDT 2015 --  Is it bad that I got excited when I hit 600 followers? My sister is like 15 and had 1,500 followers. #dafuck
Thu Aug 06 08:00:13 PDT 2015 --  I hate chairs with handles. My ass and hips are always getting me stuck. #icantgetup #stucklikechuck
Thu Aug 06 07:58:26 PDT 2015 --  But then again, I don't have any really marketable skills... So I guess that answers that question #dontquitmydayjob #followerforlife
Thu Aug 06 07:57:12 PDT 2015 --  I look at all these people getting twitter/insta/youtube famous and I'm like "how did you do that????" #iwannabefamous #loveme
Wed Aug 05 20:39:07 PDT 2015 --  Rt this if you love manny #MANNYACS
Sat Jul 25 23:42:00 PDT 2015 --  Upgrading from ya ex ain't about looks, it's about finding someone who can make you happier and shit
Mon Aug 03 23:28:25 PDT 2015 --  The feelers are so ridiculously creepy! AND SHE IS GETTING TOO CLOSE!!!! #TheStrain
Mon Aug 03 23:26:43 PDT 2015 --  Nora really needs to leave Eph. He is a complete douche. Let's be honest. AND an alcoholic. #TheStrain
Mon Aug 03 23:24:42 PDT 2015 --  I'm very confused about where the loyalties lie in this show. Plus they took my baby Fet!!! #thestrain
Mon Aug 03 23:22:23 PDT 2015 --  I know that Eph wants to prove that his infection works, but ain't nobody looking for infected vamps at night. NOPE! #TheStrain
Mon Aug 03 23:14:13 PDT 2015 --  so....the professor can read minds now? "i'm not gonna change my mind." "yes you will, you already have." #TheStrain
Mon Aug 03 23:09:49 PDT 2015 --  Can we talk about how the newscaster thought the vampires were protesters? She heard screaming and thought "Hmm, protesters." #TheStrain
Mon Aug 03 23:05:24 PDT 2015 --  Can we talk about how they have a giant flat screen in their Vampire Slayer Cave? I know who I want to be with when vamps come. #thestrain
Mon Aug 03 23:03:14 PDT 2015 --  New Zach is pissing me off. He is being a little brat. Your mom is a vampire who wants to kill you, and you want to find her? #TheStrain
Mon Aug 03 21:49:03 PDT 2015 --  🏼pissed tho https://vine.co/v/eHWWIaa2WEF 
Mon Aug 03 22:58:51 PDT 2015 --  Aww that's not even fair! Don't make Gus kills his own mother! #vampsdontplayfair #TheStrain
Mon Aug 03 22:57:09 PDT 2015 --  that little boy is the luckiest little boy ever! Luck be a young boy who can run. #luckyduck #thestrain
Mon Aug 03 22:50:20 PDT 2015 --  so you warned the old couple that they would go after their son once they were turned, and are then surprised once he does? #thestrain
Mon Aug 03 22:21:02 PDT 2015 --  So now here I am, sleeping on the couch, instead of waiting for my impending doom. #spiders #afraidformylife
Mon Aug 03 22:19:01 PDT 2015 --  on top of that, we can't find it. So then I start thinking about the spiders revenge. This motherfucker is gonna kill me. #imtooyoungtodie
Mon Aug 03 22:16:20 PDT 2015 --  She went to hit it with her chancla, but the spider was in an awkward corner and instead of killing it, it fell on my floor! #nope #bye
Mon Aug 03 22:14:35 PDT 2015 --  I was about to go to sleep in my room when I saw a spider in the corner. I yelled to my mother to come and kill it, before it got me. #nope
Mon Aug 03 22:13:19 PDT 2015 --  So something not so chill happened right now... This is the story of why I'm sleeping on the couch tonight. #nochillzone #beginning
Mon Aug 03 17:25:54 PDT 2015 --  I liked the @KINJAZ but I can't wait to see what else they bring to the table. #abdc
Mon Aug 03 17:21:03 PDT 2015 --  The @Elektrolytes were really good. I'm afraid of the big bad wolf! #ABDC
Mon Aug 03 17:15:33 PDT 2015 --  I expected no less from @IaMmECrew :) like T-pain said it best... They are amazing! #ABDC
Mon Aug 03 17:11:01 PDT 2015 --  Omg @SUPERCR3W brought it! They were #superclean in their dance! #ABDC
Sun Aug 02 19:44:57 PDT 2015 --  "No drinks allowed by the pool" pic.twitter.com/eojDhg6VWd
Mon Aug 03 17:04:57 PDT 2015 --  So excited about #ABDC being back. I know I'm late but hey #danceislife
