Thu Aug 13 06:24:58 PDT 2015 --  #TheNextBigThing is achieving #zerohunger. https://twitter.com/CSRwire/status/631801642870902784 …
Mon Apr 06 20:26:09 PDT 2015 --  Wisconsin teletubby?
Mon Apr 06 19:45:38 PDT 2015 --  Can't wait to tell my kids about tonight when they watch "I Hate Grayson Allen" in 25 years.
Mon Apr 06 08:04:52 PDT 2015 --  Jeb Bush is about as Hispanic as Elizabeth Warren is Native American. pic.twitter.com/4TgAa6byCn
Mon Apr 06 07:41:08 PDT 2015 --  Jeb Bush claimed he was actually Hispanic in 2009 voter registration application http://huff.to/1MYeefT 
Thu Mar 19 15:49:27 PDT 2015 --  When twitter sends you this pic.twitter.com/i7vtXvVRBJ
Thu Mar 19 15:39:42 PDT 2015 --  Am I the only one excited for #PixelsMovie ?
Thu Mar 12 13:56:43 PDT 2015 --  That @Eagles backfield is officially LOADED (via @Rapsheet): http://at.nfl.com/8s2QIFT  pic.twitter.com/rJpWKqdxcQ
Thu Mar 12 07:24:01 PDT 2015 --  Tuesday at 4 p.m. was wild. Today won’t touch that. But it’s going to come close #WaitingforDeMarco
Wed Mar 11 07:40:59 PDT 2015 --  Remember when we were 9-3 and thinking first round bye? How long ago does THAT seem?!
Wed Mar 11 06:49:16 PDT 2015 --  " @ESPNStatsInfo: Worst Total QBR-- Since start of 2010 Chad Henne 36.9 Mark Sanchez 40.4 Sam Bradford 40.7" Fucking yay
Tue Mar 10 17:48:18 PDT 2015 --  Darrelle Revis' agents announce he has agreed to terms with the Jets.
Tue Mar 10 13:58:33 PDT 2015 --  YOU get an Eagle and YOU get an Eagle and YOU get an Eagle! pic.twitter.com/pFqr4VfVXe
Tue Mar 10 13:44:44 PDT 2015 --  Scroll scroll scroll #refresh
Tue Mar 10 13:43:18 PDT 2015 --  " @MalcolmJenkins: Calm down people... Just let the mad scientist go to work. #woosah" you may be next. Watch out!
Tue Mar 10 13:19:43 PDT 2015 --  Exclusive look at Eagles fans reactions to Nick Foles trade: pic.twitter.com/c4EeUEqNcU
Tue Mar 10 13:08:30 PDT 2015 --  What we received for Foles/McCoy is disgusting compared to what we SHOULD have gotten for Foles/McCoy. Period.
Tue Mar 10 13:02:56 PDT 2015 --  " @bomani_jones: i don't like that qb trade for either side. at all." Hell no. No effin way does that ease eagle fans' pain and suffering.
Tue Mar 10 12:58:19 PDT 2015 --  BREAKING: Everyone in the NFL has been traded for everyone.
Tue Mar 10 12:31:36 PDT 2015 --  Press conf was good 4 Hillary cuz showed she can take a beating from infantile press over utter bullshit and thats all our politics is about
Tue Mar 10 12:37:39 PDT 2015 --  How to get laid: pic.twitter.com/ys1oIF57Ds
Mon Feb 23 18:18:38 PST 2015 --  My alarm clock after drake pic.twitter.com/38Bjn3tw7s
Tue Mar 10 09:10:51 PDT 2015 --  i created my ex's new boyfriend on 2k and I've been dunking on him from the free throw line for like 3 hours now.
Mon Mar 09 17:35:34 PDT 2015 --  Apple released New iWatch today. MUST BUY THIS #LOL #IFAG pic.twitter.com/4sxr9Uk7kH
Mon Mar 09 13:00:46 PDT 2015 --  Bring out your inner fire. Show us what it means to #BeLikeMike. pic.twitter.com/WaF8DFdKow
Wed Mar 04 07:34:45 PST 2015 --  You won't believe this... I just had a nightmare where the Eagles traded LeSean McCoy to Buffalo for another Oregon player! Oh wait.
Wed Mar 04 05:37:40 PST 2015 --  Love this RT @nashmax73: BREAKING: Chip Kelly to rename team & change logo. pic.twitter.com/MfzEF2PX5M
Wed Feb 25 09:42:22 PST 2015 --  Come on, Friday. Quit playin'! pic.twitter.com/cd26y8YHNA
Sat Feb 21 07:44:58 PST 2015 --  Comin home after a party like.. . https://vine.co/v/OxDeqgEKjYj 
Sat Feb 21 04:41:51 PST 2015 --  Huge if true pic.twitter.com/3ONjePepOb
Thu Feb 12 14:21:08 PST 2015 --  Eagles celebrate Black History Month with an interesting selection | pic.twitter.com/ZlEZZj6D70
Wed Feb 04 05:30:18 PST 2015 --  When you hand your daughter the aux cord but she plays iggy pic.twitter.com/wbp6fQjJfm
Sun Feb 01 19:18:28 PST 2015 --  When your best Pokemon faints: pic.twitter.com/1t498MCS8U
Fri Feb 06 05:00:15 PST 2015 --  How Feminist Twitter woke up this morning when their feminist senses told them what Chris Paul said pic.twitter.com/DZeGRjWX3s
Thu Feb 05 17:25:40 PST 2015 --  VIDEO: @StephenCurry30 and @KlayThompson team up to form the Mario-themed “Super Splash Bros” http://ble.ac/1C41Cv0  pic.twitter.com/sjRghBqkCl
Tue Feb 03 02:30:10 PST 2015 --  if u wear cowboy clothes are u ranch dressing
Wed Feb 04 15:00:21 PST 2015 --  UPS logic... pic.twitter.com/Y8wYL4mjlo
Wed Feb 04 13:47:31 PST 2015 --  Packers DT Letroy Guion was arrested and found w/ 357 grams of marijuana and $190k in cash » http://es.pn/1vt9BCw  pic.twitter.com/8P3CvNgp6A
Wed Feb 04 14:11:39 PST 2015 --  #SplashBrothers RT @ESPNNBA: Who is the best shooter in the NBA? #KiaNBACountdown pic.twitter.com/HnylI2hfcV
Thu Feb 05 10:19:11 PST 2015 --  Think about it... pic.twitter.com/8hA8YiQjc8
Wed Feb 04 19:25:01 PST 2015 --  No chill lmao pic.twitter.com/jn6LzoaHx1
Wed Feb 04 10:56:56 PST 2015 --  . @FierceWireless You missed the most important stat!! @TMobile was the fastest in Phoenix Stadium! pic.twitter.com/sMiTAkVUaL
Wed Feb 04 07:37:39 PST 2015 --  BYU’s Motekiai Langi is a mountain in a football uniform http://cbsprt.co/1u8M0pR  pic.twitter.com/M4PUBNAJKM
Tue Feb 03 08:30:05 PST 2015 --  Brain during the day vs. Brain at night... pic.twitter.com/SuE6rvr85s
Sun Feb 01 19:45:26 PST 2015 --  Pete Caroll should've asked Madden pic.twitter.com/K1MVKQ4bMj
Sun Feb 01 18:49:20 PST 2015 --  What a fucking game
Sat Jan 31 09:01:05 PST 2015 --  " @Ballislife: All-Star Kyrie Irving celebrating the Raptors OT win over the Nets: http://bit.ly/16aJLrG  http://twitter.com/Ballislife/status/561562803669336064/photo/1pic.twitter.com/Lw1f2pnZVw " WHAT?
Thu Jan 29 09:54:24 PST 2015 --  Check out the first official trailer for Ted 2 here: http://unvrs.al/TD2TRLR 
Wed Jan 28 12:53:34 PST 2015 --  Stephen Curry vs John Wall in H-O-R-S-E: happening over NBA All-Star Weekend http://es.pn/1EQ3FDH 
Wed Jan 28 05:57:36 PST 2015 --  All the time pic.twitter.com/RXhfioQcFw
Tue Jan 27 08:03:19 PST 2015 --  pic.twitter.com/SrMFiQki5L
Tue Jan 27 06:15:40 PST 2015 --  Report: Stephen Curry, Klay Thompson, and Kyle Korver headline NBA's 3-point shooting contest http://ble.ac/1z5Spkz  pic.twitter.com/51kqs7AeYV
Sun Jan 25 12:16:05 PST 2015 --  Fuck whiteside
Sun Jan 25 11:37:48 PST 2015 --  Where's the fucking defense???
Sun Jan 25 07:30:13 PST 2015 --  He's been called Latino America's Walter Cronkite and he sends a shiver through the G.O.P. http://nyti.ms/1CLtkeZ  pic.twitter.com/I1Jll5bAqj
Sun Dec 28 21:50:14 PST 2014 --  Scroll down really fast and it turns into a panda You're an idiot
Thu Jan 22 07:23:20 PST 2015 --  Things guys do to piss off girls pic.twitter.com/EHd8XjdIX7
Sat Jan 24 10:00:32 PST 2015 --  Trying to figure out if Klay Thompson is white
Sat Jan 24 07:39:54 PST 2015 --  Klay Thompson last night ... pic.twitter.com/7BCdqQxalc
Sat Jan 24 07:05:16 PST 2015 --  WATCH every bucket of @KlayThompson's 37 point quarter -9/9 3FG, 13/13 FG: http://youtu.be/Sc3m3BwfylA  #Splash
Fri Jan 23 18:42:51 PST 2015 --  Tweeting from my new Note 4!
Fri Jan 23 03:04:09 PST 2015 --  Blake Griffin has no chill on his trainer https://vine.co/v/OITWelrtIKO 
Wed Jan 21 17:34:42 PST 2015 --  When you realize that Kyle Korver's dunk was his first since 2012-13... pic.twitter.com/52HACTsp3L
Wed Jan 21 18:55:24 PST 2015 --  Knicks win BACK-TO-BACK! pic.twitter.com/5dTLwno6dZ
Wed Jan 21 19:24:21 PST 2015 --  THE TRUTH!!!
Wed Jan 21 07:27:07 PST 2015 --  Boston Common Coffee Co. is selling #DeflateGate Cookies today. (pic @Brian_Messenger) pic.twitter.com/jWFI3ef2hs
Tue Jan 20 19:09:37 PST 2015 --  ""I know cause I won both of them"" Obama is B Rabbit and the Republicans are Papa Doc #SOTU pic.twitter.com/8fUcydocX3
Tue Jan 20 19:08:30 PST 2015 --  "I know, because i won both of them". That was awesome. And why they hate him. Well, one reason why they hate him, ahem.
Tue Jan 20 05:39:04 PST 2015 --  Derrick Rose on the Bulls' recent struggles: "It's f*cking irritating." http://trib.al/o2MJAX2 
