Fri Aug 28 20:20:30 PDT 2015 --  rt/fav if you like my hair down pic.twitter.com/gA5FCFDwV8
Wed Jul 08 18:43:44 PDT 2015 --  I still listen to the o2l song it brings back memories in a good way I love you guys @KianLawley
Tue Jul 07 23:17:59 PDT 2015 --  I went off living my life not being considerate or all the girls I've helped out with being more positive...
Tue Jun 23 16:38:15 PDT 2015 --  OMG REALLY THANK YOU SO MUCH CHRIS I LOVE YOUUU pic.twitter.com/jqmKnIXGEt
Sun Jun 21 18:00:09 PDT 2015 --  I forget how much just a fav or mention can mean to some of you and I'm trying to get better about that
Sun Jun 21 19:03:37 PDT 2015 --  How do i do the not single anymore thing?
Sun Jun 21 17:49:20 PDT 2015 --  I need to start following more people. Fan account or not you all deserve a follow. I'll sacrifice a good follow ratio to make you all happy
Sun Jun 21 11:35:43 PDT 2015 --  Having notifs on will be very helpful in a little bit ;)
Sun Jun 21 11:18:28 PDT 2015 --  ReTweet my previous tweet for a follow
Sun Jun 21 10:20:19 PDT 2015 --  happy father's day to my dad that doesn't have a twitter but creeps on mine all the time lol
Thu Jun 04 12:59:52 PDT 2015 --  rt for a dm (:
Sat May 30 11:24:33 PDT 2015 --  I gotta DJ and perform so please rock with me hahaha.... We got this haha shits gonna be lit
Tue May 26 13:13:49 PDT 2015 --  Go watch Mikey's new video!!! @ItsMikeyMurphy pic.twitter.com/om0EmBt8mZ
Tue May 26 03:50:12 PDT 2015 --  Really tired of this school thing
Sun May 24 18:21:20 PDT 2015 --  OMGGG!!!! I just got a call from @AnnaMurphy1994 and @ItsMikeyMurphy!!!! I frickin love you guys!!!
Sun May 17 11:26:37 PDT 2015 --  I loved this video so much!!' Love you Ricky! You should make more stuff like this. Everyone go watch Stars!! pic.twitter.com/wl8YzHIEYk
Sun May 03 12:23:33 PDT 2015 --  Why do people hate thunderstorms? They're so cool!! Like don't stay inside next time go out! Wait that's dangerous... but still. 🏻
Fri Apr 24 14:31:13 PDT 2015 --  if you see this, favorite it. I'm paying close attention to this tweet for active followers :)
Thu Apr 23 15:35:47 PDT 2015 --  Twitter is hella inactive today
Mon Apr 20 16:39:38 PDT 2015 --  "One Night STAND ft Joey Kidney" RT for a fancy selfie ;) http://youtu.be/gZdZdq_Abns?a 
Mon Apr 20 03:52:12 PDT 2015 --  I'm going to have the biggest cuddle with Nala when I get home x
Sun Apr 19 12:10:23 PDT 2015 --  So heres the situation I currently do not have a video for tomorrow. I also currently have multiple awesome ideas that would take too long.
Sun Apr 19 09:34:34 PDT 2015 --  This weekend was amazing now off to the next adventure
Sun Apr 19 09:28:56 PDT 2015 --  Tried to run downstairs in my underwear this mornin to grab a snack only to find that my front door was wide open as my neighbor waved to me
Sun Apr 19 08:25:21 PDT 2015 --  ... @louislyxx @AaronCarpenter @jackgilinsky that's a follow
Sun Apr 19 07:40:16 PDT 2015 --  . @AlexisGZall THIS WAS BASED ON A TRUE STORY HAHAHA the delivery guy could not deal with the fact that you were not home
Sat Apr 18 17:02:49 PDT 2015 --  Seriously all I can think about is food
Sat Apr 18 17:02:03 PDT 2015 --  time to pack
Sat Apr 18 16:24:46 PDT 2015 --  Very hot outside
Fri Apr 17 12:07:03 PDT 2015 --  Makala- It's me! Macie! I'm did that we can't hang this weekend but I still love you I'll kill you just kidding Kay bye From Macie
Thu Apr 16 16:10:55 PDT 2015 --  . @Grahamftdallas *gives you virtual hug
Wed Apr 15 17:34:56 PDT 2015 --  i cant believe how hard it is to stay awake right now lol my eyes are so heavy and my head is pounding, my body wants to sleep so bad omg
Wed Apr 15 17:42:16 PDT 2015 --  Well I'm going to go to bed night. @JackDail
Wed Apr 15 17:36:50 PDT 2015 --  WHY IS @JackDail GOALS?!
Wed Apr 15 17:31:17 PDT 2015 --  JACK DAIL IS GOALS AFFF. LIKE, I SERIOUSLY LOVE YOU. @JackDail
Wed Apr 15 17:29:19 PDT 2015 --  . @edenn30 thank you so much :))
Wed Apr 15 17:27:18 PDT 2015 --  who has my notifications on??!!
Tue Apr 14 13:14:25 PDT 2015 --  In LA I could go out like this, but in UK it's unacceptable pic.twitter.com/GRy7POoHXH
Mon Apr 13 17:02:17 PDT 2015 --  Soooo, what happened was another Youtuber stole your tweet? In so lost. @ItsMikeyMurphy
Mon Apr 13 16:55:15 PDT 2015 --  If #HandwrittenAtMidnight gets 1mil mentions & album hits #1 on iTunes Shawn will release Aftertaste vid this week! pic.twitter.com/LehAPr1sbz
Mon Apr 13 13:09:59 PDT 2015 --  When @ItsMikeyMurphy is too hot to handle pic.twitter.com/fcL0Fd22Nh
Mon Apr 13 07:03:49 PDT 2015 --  @LukeKorns hi my name is mikey and I have had the same disease since 9th grade
Mon Apr 13 13:03:23 PDT 2015 --  NEW VIDEO IN 30 MINUTES FAVORITE THIS IF YOUR BODY IS READY!
Mon Apr 13 13:04:37 PDT 2015 --  Hey guys!! When @ItsMikeyMurphy new vid comes out you should go like it and Subscribe cause he's amazing!!🏿️
Sun Apr 12 18:48:52 PDT 2015 --  hey my name is luke thomas korns and i suffer from a condition commonly known as... SENIORITIS <3 <3 <3
Sun Apr 12 15:53:54 PDT 2015 --  Fav if you're online! Might get a little hashtag started and talk to you guys
Sun Apr 12 10:31:22 PDT 2015 --  GOOD EVENING FROM ME AND MY UNAMUSED CAT pic.twitter.com/QLxHnj0Nca
Thu Apr 09 16:22:48 PDT 2015 --  One last time I need to be the one that takes you home
Sat Apr 11 00:33:07 PDT 2015 --  Just gonna go ahead and let you guys know this weeks video is gonna be late but it will be worth it...hopefully :))
Sat Apr 11 07:58:29 PDT 2015 --  My voice is not cooperating at the momment so the new video might be up Monday is that okay??
Sat Apr 11 15:33:38 PDT 2015 --  Working super hard on a big project that I'll be announcing soon!!!
Sat Apr 11 15:52:51 PDT 2015 --  Who has instagram post notifications on for me?? I'm curious to know
Tue Apr 07 20:47:30 PDT 2015 --  When someone doesn't belong to you but you get mad when they interact with other species of life
Tue Apr 07 19:44:26 PDT 2015 --  #carteriskingofflopnation https://twitter.com/kindareynolds/status/585632289029226497 …
Tue Apr 07 19:42:55 PDT 2015 --  When @JackDail is too freak get perfect and he hasn't noticed you yet.
Tue Apr 07 19:39:23 PDT 2015 --  I swear you drive me up the wall, but you're worth the fight.
Tue Apr 07 19:39:01 PDT 2015 --  . @hdbgrier AHHHHH I CANT WAIT
Tue Apr 07 19:36:59 PDT 2015 --  I'll eat sunflower seeds until my tongue is raw hahaha
Tue Apr 07 19:36:07 PDT 2015 --  I want to go to #TXSpringFest so darn bad!
Tue Apr 07 19:31:32 PDT 2015 --  Spring break vacation with the fam :) pic.twitter.com/NthFJSNLcZ
Tue Apr 07 19:21:50 PDT 2015 --  Oh hey
Tue Apr 07 13:09:04 PDT 2015 --  I'm kidding I learned the hard way that any girl after success there is a 90% chance she's using you for things... I don't need that
Tue Apr 07 06:11:10 PDT 2015 --  I gotta pee but the bathroom is downstairs oh no
Mon Apr 06 20:17:50 PDT 2015 --  we try things we aren't supposed to be trying to become a person that we think is who we are supposed to be. woh.
Mon Apr 06 20:31:37 PDT 2015 --  my name is articuno, I love koalas, fruit is my passion. and tomatoes have feelings. thank you for your time
Mon Apr 06 21:17:35 PDT 2015 --  Hopefully all my beautiful guys and gals had a good day today! Sleep peacefully
Mon Apr 06 21:35:12 PDT 2015 --  ok so who's giving me the award for most typos and failed tweets¿
Mon Apr 06 21:55:01 PDT 2015 --  everybody is more powerful than they think.....
Mon Apr 06 22:38:23 PDT 2015 --  People who are constantly suffering from emotional wounds tend to easily get annoyed with others for no apparent reason.
Mon Apr 06 19:50:42 PDT 2015 --  . @Makeupbyalexisx hey! happy you're in my life too :)
Mon Apr 06 19:53:01 PDT 2015 --  @MistaGraham hey andrew have I told you today yet that I am jealous? if i havent, IM JEALOUS
Sun Apr 05 17:41:14 PDT 2015 --  you all would be down for a video about happiness right?
Sun Apr 05 17:57:45 PDT 2015 --  make yourself a happier person by searching "animals stuck in odd places but don't seem to mind" on google images.
Sun Apr 05 18:02:39 PDT 2015 --  wow cool your jawline is your best feature now how about your personality
Mon Apr 06 10:21:39 PDT 2015 --  Cameras = Packed pic.twitter.com/gyBxWUIERX
Mon Apr 06 19:38:25 PDT 2015 --  tryna take a photobooth selfie but chicken wings guy keeps sneaking in
Mon Apr 06 19:32:35 PDT 2015 --  Little goodbye with my sisters at the driving range pic.twitter.com/kS5GY6loha
Mon Apr 06 19:31:46 PDT 2015 --  I feel like can trust people who have read receipts on. I want to be a trustworthy person. I am turning mine on. Here I come.
Mon Apr 06 18:38:14 PDT 2015 --  problem on this flight #672: they made the back of the plane 50° F & the front 90° F so half of us are freezing and the other half sweating
Mon Apr 06 18:38:09 PDT 2015 --  Joey your video made me cry of happiness, seriously though. @joeykidney I LOVE YOU SO FREAKING MUCH.
Mon Apr 06 11:27:50 PDT 2015 --  @PressPlayDavid @ifyouwouldbang how does it feel to know that 13 people wanna bang you, which is most likely illegal
Mon Apr 06 11:28:39 PDT 2015 --  More than just eyes @DontSayBeads
Mon Apr 06 11:30:59 PDT 2015 --  @PressPlayDavid not if i rt'd yours
Mon Apr 06 11:58:45 PDT 2015 --  Maybe we're just kids in love
Mon Apr 06 12:30:14 PDT 2015 --  I am extremely nervous about this video. I don't know how you'll react, or your response. But I guess we will find out soon enough eh
Mon Apr 06 13:57:21 PDT 2015 --  A lot of people are still asking me and are confused about what I am....MY POINT IS THAT IT DOESN'T MATTER. You are you, no matter what. :)
Mon Apr 06 13:59:20 PDT 2015 --  There is no wrong is saying what you are. I am straight, but does that define me? No No matter the sexuality or the judgement, you are you
Mon Apr 06 14:09:27 PDT 2015 --  @itsTaylorBaxter TOEY doesn't need a sexuality, it just needs toes
Mon Apr 06 14:38:24 PDT 2015 --  You need to watch the video to understand the video..
Mon Apr 06 15:51:14 PDT 2015 --  I'm happy making you happy :')
Mon Apr 06 14:15:43 PDT 2015 --  When I was three I put my brothers hamster in a batmobile toy car and was remote controlling it and it hit a wall (cuz I was 3) and he died
Mon Apr 06 14:14:27 PDT 2015 --  I love sports
Mon Apr 06 14:10:49 PDT 2015 --  am I the only one who just eats croutons
Mon Apr 06 13:39:06 PDT 2015 --  OMG, I THOUGHT YOU DIED. @JackMatthew
Mon Apr 06 13:37:40 PDT 2015 --  Hiii twitta sorry I've been neglecting you today I miss u
Mon Apr 06 13:19:24 PDT 2015 --  Fav if you want a younow right now
Mon Apr 06 13:17:27 PDT 2015 --  He's mine @JackDail pic.twitter.com/KTfvH0sCA6
Mon Apr 06 12:55:11 PDT 2015 --  Be happy for the people around you. Jealousy is failure.
Mon Apr 06 13:14:48 PDT 2015 --  Furniture shopping all day for the new place i feel old
Mon Apr 06 13:03:58 PDT 2015 --  New Video // The Honest Truth: https://youtu.be/EnQ30wEpU-0 
Mon Apr 06 13:12:39 PDT 2015 --  we crashed the site already! you guys are insane! we're working on it and it should be up soon
Mon Apr 06 13:13:17 PDT 2015 --  Like if you don't love Joey Kidney then your wrong. Like the door is right there USE IT. @joeykidney
Mon Apr 06 13:11:00 PDT 2015 --  i may be ugly but my taste in music is better than yours
Mon Apr 06 13:11:11 PDT 2015 --  Today's new video features my grandpa and it's great
Mon Apr 06 13:06:35 PDT 2015 --  YOU GUYS HE SAID IT WAS A JOKE. CALM DOWN. @JackDail
Mon Apr 06 12:55:48 PDT 2015 --  HOLY CRAP HE SAID IT WAS A JOKE PLEASE GET OVER YOURSELF @JackDail
Sun Apr 05 19:21:42 PDT 2015 --  Happy Easter from Hawaii https://instagram.com/p/1HdTu0jiQj/ 
Sun Dec 21 20:29:45 PST 2014 --  I just wanna be your favorite
Sun Apr 05 18:44:11 PDT 2015 --  Jake Gyllenhaal is such an amazing actor i cant breathe
Sun Apr 05 18:34:52 PDT 2015 --  RT for a foooolllloooooww!
Sun Apr 05 18:27:29 PDT 2015 --  LET THE GAMES BEGIN IN T-MINUS 5 MINUTES!!!
Sun Apr 05 17:24:02 PDT 2015 --  probably start in like an hour!
Sun Apr 05 16:43:43 PDT 2015 --  I'm doing something tonight which may or may not involve me following hundreds of people
Sun Apr 05 15:41:41 PDT 2015 --  RT AND FOLLOW EVERYONE WHO RTS! MAKE FRIENDS #PressPlayPals
Sun Apr 05 15:46:05 PDT 2015 --  RT AND FOLLOW EVERYONE WHO RTS,.,.,,., MAKE FRIENDS #PressPlayPals
Sun Apr 05 15:44:42 PDT 2015 --  Internet friends are the best friends, get connected! There are some amazing people out there :) #PressPlayPals follow each other be friends
Sun Apr 05 15:41:10 PDT 2015 --  RT AND FOLLOW EVERYONE WHO RTS! MAKE FRIENDS! #PressPlayPals
Sun Apr 05 15:41:34 PDT 2015 --  RT AND FOLLOW EVERYONE WHO RTS! MAKE FRIENDS! #PressPlayPals
Sun Apr 05 15:48:47 PDT 2015 --  ANYWAYS... RT AND FOLLOW EVERYONE WHO RTS,.,.,,., MAKE FRIENDS #PressPlayPals
Sun Apr 05 15:42:10 PDT 2015 --  CAN YOU PLEASE CONFIRM MIRBY IS REAL?! @ItsMikeyMurphy @kirbyisaboss
Sun Apr 05 14:41:42 PDT 2015 --  okay winnie the pooh is the cutest thing
Sun Apr 05 14:41:20 PDT 2015 --  NEW YOUTUBE VIDEO W/ @CrawfordCollins https://youtube.com/watch?v=hQhVs3uLZPs … RT?
Sun Apr 05 14:41:00 PDT 2015 --  GO CHECK THE NEW VINE WITH NASH! Maybe give it a thumbs up if u like it
Sun Apr 05 14:38:06 PDT 2015 --  EVERYONE GO LIKE AND SUBSCRIBE TO @WeeklyChris LAST VIDEO http://youtu.be/hQhVs3uLZPs  pic.twitter.com/piz6YF7w0n
